Region,Region code,Province  ,Province code,Municipality/City  ,Municipality/City Code,Poverty Incidence_2009,Poverty Incidence_2012,Poverty Incidence_2015,Coefficient of Variation_2009,Coefficient of Variation_2012,Coefficient of Variation_2015,90% Confidence Interval_2009 Lower Limit,90% Confidence Interval_2009 Upper Limit,90% Confidence Interval_2012 Lower Limit,90% Confidence Interval_2012 Upper Limit2,90% Confidence Interval_2015 Lower Limit,90% Confidence Interval_2015 Upper Limit,Longitude,Latitude,
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Tondo I/II,PH133901000,2.9,3.1,5.6,27.5,20.4,10.7,1.6,4.2,2.1,4.2,4.6,6.6,120.9654,14.6188,
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Binondo,PH133902000,1.0,1.5,3.5,68.0,41.9,22.8,0.0,2.2,0.5,2.5,2.2,4.8,120.9754,14.6011,
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Quiapo,PH133903000,2.1,2.1,7.1,42.4,28.1,17.9,0.6,3.5,1.1,3.1,5.0,9.2,120.9859,14.5985,
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,San Nicolas,PH133904000,2.4,3.0,6.7,57.0,53.6,27.2,0.1,4.7,0.4,5.5,3.7,9.7,120.9680,14.5990,
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Santa Cruz,PH133905000,1.7,1.5,4.7,32.5,19.5,12.7,0.8,2.5,1.0,2.0,3.7,5.7,120.9846,14.6207,
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Sampaloc,PH133906000,1.3,0.8,2.7,23.6,24.7,9.2,0.8,1.8,0.5,1.1,2.3,3.1,121.0036,14.6053,
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,San Miguel,PH133907000,1.4,1.2,7.2,67.4,73.1,27.7,0.0,2.9,0.0,2.6,3.9,10.4,120.9955,14.5973,
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Ermita,PH133908000,1.5,0.9,5.3,68.7,47.8,17.1,0.0,3.1,0.2,1.6,3.8,6.7,120.9823,14.5838,
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Intramuros,PH133909000,2.5,2.5,10.2,48.0,49.6,29.0,0.5,4.5,0.5,4.5,5.3,15.1,120.9753,14.5904,
National Capital Region (NCR),PH130000000,"NCR, City of Manila, First District (Not a Province)",PH133900000,Malate,PH133910000,1.8,1.3,4.2,29.1,26.7,13.4,0.9,2.6,0.7,1.9,3.2,5.1,120.9907,14.5683,
