Region,Region code,Province,Province code,Notes,"2015*_Annual Per Capita Poverty Threshold 
(in Pesos)","2018_Annual Per Capita Poverty Threshold 
(in Pesos)",2015* Estimate_Poverty Incidence among Families (%),2018 Estimate_Poverty Incidence among Families (%),2015*_CV,2018_CV,2015*_Standard Error ,2018_Standard Error ,2015*_90% CI_Lower limit,2015*_90% CI_Upper limit,2018_90% CI_Lower limit,2018_90% CI_Upper limit,"2015*_Estimate_Magnitude of Poor Families
(in thousands)","2018_Estimate_Magnitude of Poor Families
(in thousands)",2015*_Standard Error,2018_Standard Error,2015*_90% CI_Lower limit ,2015*_90% CI_Upper limit ,2018_90% CI_Lower limit ,2018_90% CI_Upper limit 
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PH133900000,"b/,c/","25,188","28,682",3.6,1.9,25.4,30.8,0.9,0.6,2.1,5.1,1.0,2.9,13.6,9.0,3.7,2.8,7.5,19.8,4.3,13.7
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, SECOND DISTRICT (Not a Province)",PH137400000,"b/,c/","25,188","28,682",1.9,1.4,20.6,20.1,0.4,0.3,1.3,2.6,1.0,1.9,22.3,16.5,5.1,3.4,13.9,30.6,10.9,22.0
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, THIRD DISTRICT (Not a Province)",PH137500000,c/,"25,188","28,682",3.4,2.3,21.0,13.4,0.7,0.3,2.2,4.6,1.8,2.8,24.0,15.8,5.2,2.3,15.5,32.5,12.0,19.6
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,,"25,188","28,682",3.1,0.7,19.6,14.3,0.6,0.1,2.1,4.1,0.5,0.9,26.2,7.2,5.5,1.0,17.1,35.3,5.5,8.9
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,ABRA,PH140100000,,"21,294","23,595",19.9,15.0,14.8,8.6,2.9,1.3,15.1,24.7,12.9,17.1,12.2,8.4,3.7,0.8,6.1,18.3,7.1,9.7
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,APAYAO,PH148100000,c/,"23,310","23,135",38.1,16.0,24.5,13.8,9.3,2.2,22.7,53.4,12.3,19.6,8.4,4.3,3.7,0.7,2.3,14.5,3.1,5.4
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,BENGUET,PH141100000,c/,"21,776","24,136",2.5,4.3,23.6,14.0,0.6,0.6,1.5,3.5,3.3,5.3,4.7,9.2,1.3,1.3,2.5,6.9,7.0,11.3
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,IFUGAO,PH142700000,,"25,133","26,424",34.9,9.8,20.0,15.2,7.0,1.5,23.5,46.4,7.4,12.3,14.7,4.4,4.9,0.7,6.6,22.7,3.3,5.5
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,KALINGA,PH143200000,,"21,348","24,193",34.5,9.3,16.3,12.4,5.6,1.2,25.2,43.7,7.4,11.2,14.6,4.1,4.8,0.5,6.7,22.5,3.2,4.9
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,MOUNTAIN PROVINCE,PH144400000,,"24,536","27,726",33.1,17.2,17.3,10.3,5.7,1.8,23.7,42.6,14.3,20.1,12.8,6.3,4.5,0.6,5.5,20.2,5.3,7.4
