earlier_count,earlier_period,later_count,later_period,month,revision
1445,2024-Q2,1445,2024-Q3,2023-01,0
1291,2024-Q2,1291,2024-Q3,2023-02,0
2076,2024-Q2,2076,2024-Q3,2023-03,0
1237,2024-Q2,1237,2024-Q3,2023-04,0
1250,2024-Q2,1250,2024-Q3,2023-05,0
1518,2024-Q2,1518,2024-Q3,2023-06,0
1554,2024-Q2,1554,2024-Q3,2023-07,0
1572,2024-Q2,1572,2024-Q3,2023-08,0
1569,2024-Q2,1569,2024-Q3,2023-09,0
1501,2024-Q2,1501,2024-Q3,2023-10,0
1277,2024-Q2,1277,2024-Q3,2023-11,0
952,2024-Q2,952,2024-Q3,2023-12,0
1083,2024-Q2,1083,2024-Q3,2024-01,0
1162,2024-Q2,1162,2024-Q3,2024-02,0
1161,2024-Q2,1161,2024-Q3,2024-03,0
1219,2024-Q2,1219,2024-Q3,2024-04,0
1335,2024-Q2,1335,2024-Q3,2024-05,0
2767,2024-Q2,2766,2024-Q3,2024-06,-1
1445,2024-Q3,1443,2025-Q1,2023-01,-2
1291,2024-Q3,1289,2025-Q1,2023-02,-2
2076,2024-Q3,2076,2025-Q1,2023-03,0
1237,2024-Q3,1236,2025-Q1,2023-04,-1
1250,2024-Q3,1249,2025-Q1,2023-05,-1
1518,2024-Q3,1516,2025-Q1,2023-06,-2
1554,2024-Q3,1553,2025-Q1,2023-07,-1
1572,2024-Q3,1570,2025-Q1,2023-08,-2
1569,2024-Q3,1567,2025-Q1,2023-09,-2
1501,2024-Q3,1499,2025-Q1,2023-10,-2
1277,2024-Q3,1277,2025-Q1,2023-11,0
952,2024-Q3,950,2025-Q1,2023-12,-2
1083,2024-Q3,1081,2025-Q1,2024-01,-2
1162,2024-Q3,1159,2025-Q1,2024-02,-3
1161,2024-Q3,1161,2025-Q1,2024-03,0
1219,2024-Q3,1218,2025-Q1,2024-04,-1
1335,2024-Q3,1334,2025-Q1,2024-05,-1
2766,2024-Q3,2762,2025-Q1,2024-06,-4
1654,2024-Q3,1652,2025-Q1,2024-07,-2
1577,2024-Q3,1574,2025-Q1,2024-08,-3
1364,2024-Q3,1362,2025-Q1,2024-09,-2
1443,2025-Q1,1443,2025-Q2,2023-01,0
1289,2025-Q1,1289,2025-Q2,2023-02,0
2076,2025-Q1,2076,2025-Q2,2023-03,0
