experiment_id,family,one_year_status,annual_status,lifted_status,stock_consistency_status,candidate_mae,carry_forward_mae,r10_reference_mae,decision,kept_claim,artifact_path
BM-00,R11_observation_first_sparse_state_space_reconciliation,not_applicable,not_applicable,not_applicable,pass,,,,keep_as_contract,benchmark_lock,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/benchmark_manifest.json
BM-01,R11_observation_first_sparse_state_space_reconciliation,not_applicable,not_applicable,not_applicable,pass,,,,keep_as_contract,split_lock,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/split_manifest.json
BM-02,R11_observation_first_sparse_state_space_reconciliation,not_applicable,not_applicable,not_applicable,pass,,,,keep_as_benchmark,horizon_matched_r10_reference,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r10_horizon_matched_replay_report.json
R12-00,multi_horizon_weighted_process,pass,not_applicable,fail,pass,0.3620179568964221,0.5512035229281876,0.11345837623390577,promote_as_next_research_reference,next_wave_reference_not_publication_champion,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r12_00_promoted_r11_28_reference_report.json
R12-01,r12_long_horizon_stock_shape_process,pass,not_applicable,fail,fail,0.3701748709075723,0.5512035229281876,0.11345837623390577,reject_for_reference_regression,diagnostic_only,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r12_01_long_horizon_stock_shape_report.json
R12-02,r12_da_process_split_transition,pass,not_applicable,fail,pass,0.39033596655017583,0.5512035229281876,0.11345837623390577,reject_for_reference_regression,diagnostic_only,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r12_02_da_process_split_transition_report.json
R12-03,r12_da_residual_source_process,pass,not_applicable,fail,pass,0.39188528508027876,0.5512035229281876,0.11345837623390577,reject_for_reference_regression,diagnostic_only,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r12_03_da_residual_source_process_report.json
R12-04,source_lineage_evaluation_ablation,not_applicable,not_applicable,diagnostic_only,not_applicable,0.20094587028307648,,0.12253583498568615,keep_as_observation_lineage_diagnostic,single_lineage_exclusion_can_flip_r10_failure,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r12_04_source_lineage_evaluation_ablation_report.json
R12-05,lineage_stratified_training_evaluation_contract,not_applicable,not_applicable,diagnostic_only,not_applicable,0.3584765806206862,,0.12253583498568615,keep_as_lineage_stratified_observation_operator_contract,lineage_stratified_operator_underpowered_and_does_not_remove_three_year_failure,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r12_05_lineage_stratified_training_evaluation_contract_report.json
R12-06,doh_quarterly_support_adequacy_adjudication,diagnostic_only,not_applicable,diagnostic_only,not_applicable,0.13992875065996646,0.14881001385117149,0.09530345873034501,keep_as_doh_quarterly_support_adequacy_adjudication,doh_quarterly_is_short_horizon_evaluable_but_not_three_year_claim_grade,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r12_06_doh_quarterly_support_adequacy_adjudication_report.json
R12-07,horizon_specific_evidence_router,diagnostic_only,not_applicable,diagnostic_only,not_applicable,0.16240422796561713,0.26129357360735933,0.11345837623390577,keep_as_horizon_specific_evidence_router,nowcast_route_supported_but_trajectory_route_still_r10_blocked,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r12_07_horizon_specific_evidence_router_report.json
R12-08,r12_route_aware_two_head_process,pass,not_applicable,fail,fail,0.16240422796561713,0.26129357360735933,0.11345837623390577,keep_as_route_aware_nowcast_candidate,route_aware_nowcast_head_supported_but_trajectory_head_still_r10_blocked,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r12_08_route_aware_two_head_candidate_report.json
R12-09,r12_stock_cone_safe_annual_trajectory_process,pass,not_applicable,fail,pass,0.12614716742326404,0.26129357360735933,0.11345837623390577,keep_as_route_aware_two_head_candidate,route_aware_two_head_supports_nowcast_and_trajectory_claims,/media/gaurav/New_Volume/EpiGraph_PH/src/epigraph_ph/Phase3(dynamic)/artifacts/runs/p3d-r12-stock-cone-annual-trajectory-20260430-s03/analysis/r12_09_stock_cone_safe_annual_trajectory_candidate_report.json
