priority,experiment_id,title,layer,family,candidate_family,row_scope,candidate_mean_mae,carry_forward_mean_mae,candidate_minus_carry_forward,r10_comparable_candidate_mean_mae,r10_reference_mae,candidate_minus_r10,carry_gate,r10_gate,decision,kept_claim,blocker_count
1,R13-001,Conserved annual incidence/death/PLHIV gate on R19,annual_official_measurement,official_annual_challenge_gate,r19_joint_service_cascade_process,official_annual_q4,0.3966555315147762,0.5924720011390459,-0.19581646962426963,,,,pass,not_applicable,promote_for_next_wave,conserved_annual_gate_passes,0
2,R13-002,Two-factor monthly program nowcast on DOH program evidence,monthly_program_state,r14_two_factor_program_process,,program,0.09651501760480778,0.17638042981766966,-0.07986541221286188,0.09651501760480778,0.09530345873034501,0.0012115588744627676,pass,fail,keep_as_diagnostic,beats_carry_forward_but_not_all_promotion_gates,1
3,R13-003,Locked R11-28 full-support research reference,reference_lock,multi_horizon_weighted_process,,all,0.3620179568964221,0.5512035229281876,-0.18918556603176556,0.15751218208858528,0.11345837623390577,0.04405380585467951,pass,fail,keep_as_diagnostic,beats_carry_forward_but_not_all_promotion_gates,1
4,R13-004,Stock-cone-safe annual-anchor trajectory replay,annual_anchor_route,r12_stock_cone_safe_annual_trajectory_process,,annual_anchor,0.04770596651932397,0.23199231665715123,-0.18428635013782727,0.04770596651932397,0.12253583498568615,-0.07482986846636219,pass,pass,promote_for_next_wave,candidate_passes_priority_gate,0
5,R13-005,DOH quarterly short-horizon adequacy under R11-28,support_adequacy,multi_horizon_weighted_process,,doh_quarterly,,,,,0.09530345873034501,,fail,fail,blocked,not_evaluable,3
6,R13-006,R19 joint ART/VL/suppression service process stress test,program_route,r19_joint_service_cascade_process,,program,0.5074996079580492,0.7518898350543525,-0.24439022709630331,0.16400437707779986,0.12253583498568615,0.0414685420921137,pass,fail,keep_as_diagnostic,beats_carry_forward_but_not_all_promotion_gates,1
7,R13-007,D/A process-split transition on full support,transition_process,r12_da_process_split_transition,,all,0.13749147938055595,0.3143181195956349,-0.17682664021507893,0.13749147938055595,0.11345837623390577,0.024033103146650178,pass,fail,keep_as_diagnostic,beats_carry_forward_but_not_all_promotion_gates,1
8,R13-008,D/A residual-source process replay,lineage_residual,r12_da_residual_source_process,,all,0.1409165028345135,0.3143181195956349,-0.17340161676112137,0.1409165028345135,0.11345837623390577,0.027458126600607743,pass,fail,keep_as_diagnostic,beats_carry_forward_but_not_all_promotion_gates,1
9,R13-009,Era-stratified D/A transition baseline,transition_process,era_datv_transition_process,,all,0.1388491989466932,0.3143181195956349,-0.17546892064894168,0.1388491989466932,0.11345837623390577,0.025390822712787434,pass,fail,keep_as_diagnostic,beats_carry_forward_but_not_all_promotion_gates,1
10,R13-010,Non-era D/A transition baseline,transition_process,datv_transition_process,,all,0.1705167828786267,0.3143181195956349,-0.14380133671700818,0.1705167828786267,0.11345837623390577,0.057058406644720935,pass,fail,keep_as_diagnostic,beats_carry_forward_but_not_all_promotion_gates,1
11,R13-011,Diagnosis-flow lagged stock process,diagnosis_flow,diagnosis_lag_stock_process,,all,0.17931097628770412,0.3067771075638811,-0.12746613127617698,0.17931097628770412,0.11345837623390577,0.06585260005379835,pass,fail,keep_as_diagnostic,beats_carry_forward_but_not_all_promotion_gates,1
