experiment_id,family,row_scope,reference_scope,decision,horizon_count,covered_horizons,missing_required_horizons,max_candidate_minus_strict_r10,mean_candidate_minus_strict_r10,status,blockers
R13-021,support_partition_calibration,all,all_mapped,promote_for_next_wave,1,h1,"h3,h5",-0.012493760806632781,-0.012493760806632781,fail,missing_required_horizons_h3_h5
R13-049,multi_horizon_weighted_process,all,all_mapped,keep_as_diagnostic,1,h1,"h3,h5",-0.0096430325867006,-0.0096430325867006,fail,missing_required_horizons_h3_h5
R13-024,linkage_lag_plus_support_partition,all,all_mapped,reject,1,h1,"h3,h5",0.01022251174605368,0.01022251174605368,fail,missing_required_horizons_h3_h5;strict_r10_gate_failed
R13-050,r19_joint_service_cascade_process,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.010242920123925553,-0.006962516864666636,fail,strict_r10_gate_failed
R13-023,linkage_lag_kernel,all,all_mapped,keep_as_diagnostic,1,h1,"h3,h5",0.03491233247187593,0.03491233247187593,fail,missing_required_horizons_h3_h5;strict_r10_gate_failed
R13-007,r12_da_process_split_transition,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.059204094719155914,0.02261175685369157,fail,strict_r10_gate_failed
R13-008,r12_da_residual_source_process,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.06091377980012794,0.026036780307649155,fail,strict_r10_gate_failed
R13-009,era_datv_transition_process,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.06190995521624318,0.023969476419828824,fail,strict_r10_gate_failed
R13-022,transition_shrinkage,all,all_mapped,reject,1,h1,"h3,h5",0.08227522851171319,0.08227522851171319,fail,missing_required_horizons_h3_h5;strict_r10_gate_failed
R13-019,local_level_filter,all,all_mapped,reject,1,h1,"h3,h5",0.0916249070276678,0.0916249070276678,fail,missing_required_horizons_h3_h5;strict_r10_gate_failed
R13-003,multi_horizon_weighted_process,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.10559675777392799,0.042632459561720897,fail,strict_r10_gate_failed
R13-011,diagnosis_lag_stock_process,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.11574465706753037,0.06443125376083976,fail,strict_r10_gate_failed
R13-013,support_era_diagnosis_flow_process,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.11694238692244383,0.06504781543633918,fail,strict_r10_gate_failed
R13-010,datv_transition_process,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.13046876501766064,0.05563706035176232,fail,strict_r10_gate_failed
R13-015,art_horizon_selector_process,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.1406823499968064,0.06953037169746422,fail,strict_r10_gate_failed
R13-037,constrained_trajectory_shape_head,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.17558972714292415,0.0869528508258093,fail,strict_r10_gate_failed
R13-036,r12_route_aware_two_head_process,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.17648950400324642,0.07683815190241743,fail,strict_r10_gate_failed
R13-039,trajectory_shape_head,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.2351347047229868,0.11345328626362405,fail,strict_r10_gate_failed
R13-038,horizon_adaptive_constrained_shape_head,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.2465401745584586,0.11595021178141222,fail,strict_r10_gate_failed
R13-018,r10_style_readout_teacher,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.24864393684492914,0.11746714499015676,fail,strict_r10_gate_failed
R13-014,diagnosed_reporting_bias_process,all,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.2544824063590985,0.1012611560388732,fail,strict_r10_gate_failed
R13-020,support_reporting_bias,all,all_mapped,reject,1,h1,"h3,h5",0.25708960403864406,0.25708960403864406,fail,missing_required_horizons_h3_h5;strict_r10_gate_failed
R13-017,back_half_conditional_rates,all,all_mapped,promote_for_next_wave,3,"h1,h3,h5",,0.33051813795593354,0.1467741117748177,fail,strict_r10_gate_failed
R13-012,stock_flow_reconciliation_process,all,all_mapped,reject,3,"h1,h3,h5",,0.4288977981060685,0.31695532368038387,fail,strict_r10_gate_failed
R13-004,r12_stock_cone_safe_annual_trajectory_process,annual_anchor,all_mapped,promote_for_next_wave,2,"h3,h5",h1,-0.06939363414927469,-0.07424943094637443,fail,missing_required_horizons_h1
R13-025,r12_long_horizon_stock_shape_process,annual_anchor,all_mapped,promote_for_next_wave,2,"h3,h5",h1,-0.05550522565944644,-0.060361022456546176,fail,missing_required_horizons_h1
R13-033,multi_horizon_weighted_process,common_support,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.10559675777392799,0.042632459561720897,fail,strict_r10_gate_failed
R13-034,multi_horizon_weighted_process,exact_observed,all_mapped,keep_as_diagnostic,3,"h1,h3,h5",,0.10559675777392799,0.042632459561720897,fail,strict_r10_gate_failed
R13-032,multi_horizon_weighted_process,pre_2020,all_mapped,promote_for_next_wave,1,h1,"h3,h5",0.011729785557429068,0.011729785557429068,fail,missing_required_horizons_h3_h5;strict_r10_gate_failed
R13-026,r14_two_factor_program_process,program,program_mapped,keep_as_diagnostic,1,h1,"h3,h5",-0.05482349677507262,-0.05482349677507262,fail,missing_required_horizons_h3_h5
