entry_count,horizon_years,metric_name,policy_id,policy_mean_mae,policy_minus_strict_r10,policy_worst_mae,scope,status,strict_r10_mean_mae,strict_r10_worst_mae
70,3,alive_on_art,carry_forward,0.28526803519923255,0.21412025459529083,0.8754,all_mapped,fail,0.07114778060394171,0.47788
70,3,alive_on_art,positive_velocity,0.12164771418010213,0.05049993357616042,0.50532,all_mapped,fail,0.07114778060394171,0.47788
70,3,alive_on_art,median_velocity,0.12164771418010213,0.05049993357616042,0.50532,all_mapped,fail,0.07114778060394171,0.47788
70,3,alive_on_art,recent_log_linear,0.5383686950667231,0.4672209144627814,7.575845269829477,all_mapped,fail,0.07114778060394171,0.47788
64,3,new_diagnosed_cases_period,carry_forward,0.23575322659773246,0.06277073295474864,0.8125541125541123,all_mapped,fail,0.17298249364298382,0.6476456231636116
64,3,new_diagnosed_cases_period,positive_velocity,0.12925509015227146,-0.04372740349071236,0.5599567099567099,all_mapped,pass,0.17298249364298382,0.6476456231636116
64,3,new_diagnosed_cases_period,median_velocity,0.19232676256882927,0.019344268925845454,0.6892857142857141,all_mapped,fail,0.17298249364298382,0.6476456231636116
64,3,new_diagnosed_cases_period,recent_log_linear,0.14334326607350628,-0.02963922756947754,0.6134127145514306,all_mapped,pass,0.17298249364298382,0.6476456231636116
101,5,alive_on_art,carry_forward,0.30554584467181334,0.24695273275780444,0.8383023255813951,all_mapped,fail,0.058593111914008886,0.6071860465116277
101,5,alive_on_art,positive_velocity,0.12999163818710713,0.07139852627309824,0.4916511627906975,all_mapped,fail,0.058593111914008886,0.6071860465116277
101,5,alive_on_art,median_velocity,0.12999163818710713,0.07139852627309824,0.4916511627906975,all_mapped,fail,0.058593111914008886,0.6071860465116277
101,5,alive_on_art,recent_log_linear,0.6992210364066661,0.6406279244926573,23.790528391168504,all_mapped,fail,0.058593111914008886,0.6071860465116277
93,5,new_diagnosed_cases_period,carry_forward,0.2577872354371583,0.07529993032133517,0.8125541125541126,all_mapped,fail,0.18248730511582315,0.8828513918674469
93,5,new_diagnosed_cases_period,positive_velocity,0.1612794631319681,-0.021207841983855058,0.6491341991341992,all_mapped,pass,0.18248730511582315,0.8828513918674469
93,5,new_diagnosed_cases_period,median_velocity,0.1953159211815758,0.012828616065752668,0.6892857142857143,all_mapped,fail,0.18248730511582315,0.8828513918674469
93,5,new_diagnosed_cases_period,recent_log_linear,0.18488488827923605,0.002397583163412903,1.0931584555460896,all_mapped,fail,0.18248730511582315,0.8828513918674469
46,3,alive_on_art,carry_forward,0.29727766987992604,0.2118079789306338,0.8754,program_mapped,fail,0.08546969094929226,0.47788
46,3,alive_on_art,positive_velocity,0.13506822259092094,0.04959853164162868,0.50532,program_mapped,fail,0.08546969094929226,0.47788
46,3,alive_on_art,median_velocity,0.13506822259092094,0.04959853164162868,0.50532,program_mapped,fail,0.08546969094929226,0.47788
46,3,alive_on_art,recent_log_linear,0.7324184406969145,0.6469487497476223,7.575845269829477,program_mapped,fail,0.08546969094929226,0.47788
64,3,new_diagnosed_cases_period,carry_forward,0.23575322659773246,0.06277073295474864,0.8125541125541123,program_mapped,fail,0.17298249364298382,0.6476456231636116
64,3,new_diagnosed_cases_period,positive_velocity,0.12925509015227146,-0.04372740349071236,0.5599567099567099,program_mapped,pass,0.17298249364298382,0.6476456231636116
64,3,new_diagnosed_cases_period,median_velocity,0.19232676256882927,0.019344268925845454,0.6892857142857141,program_mapped,fail,0.17298249364298382,0.6476456231636116
64,3,new_diagnosed_cases_period,recent_log_linear,0.14334326607350628,-0.02963922756947754,0.6134127145514306,program_mapped,pass,0.17298249364298382,0.6476456231636116
62,5,alive_on_art,carry_forward,0.2835186591716387,0.2286961913027593,0.5852324037184595,program_mapped,fail,0.05482246786887941,0.27783720930232547
62,5,alive_on_art,positive_velocity,0.12133493029481104,0.06651246242593163,0.2937906976744185,program_mapped,fail,0.05482246786887941,0.27783720930232547
62,5,alive_on_art,median_velocity,0.12133493029481104,0.06651246242593163,0.2937906976744185,program_mapped,fail,0.05482246786887941,0.27783720930232547
62,5,alive_on_art,recent_log_linear,0.40031424267649873,0.34549177480761933,4.404561203389229,program_mapped,fail,0.05482246786887941,0.27783720930232547
93,5,new_diagnosed_cases_period,carry_forward,0.2577872354371583,0.07529993032133517,0.8125541125541126,program_mapped,fail,0.18248730511582315,0.8828513918674469
93,5,new_diagnosed_cases_period,positive_velocity,0.1612794631319681,-0.021207841983855058,0.6491341991341992,program_mapped,pass,0.18248730511582315,0.8828513918674469
93,5,new_diagnosed_cases_period,median_velocity,0.1953159211815758,0.012828616065752668,0.6892857142857143,program_mapped,fail,0.18248730511582315,0.8828513918674469
93,5,new_diagnosed_cases_period,recent_log_linear,0.18488488827923605,0.002397583163412903,1.0931584555460896,program_mapped,fail,0.18248730511582315,0.8828513918674469
