Country,2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote, 2021,2021_Footnote, 2022,2022_Footnote, 2024,2024_Footnote
Algeria,,,,,,,45.8,,,,,,,,,,,
Angola,,,,,44,"Source: MICS 2016",,,,,,,,,,,,
Barbados,,,,,,,30.8,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,80,"Source: 2021 DHS",,,,
Cambodia,67.2,"Source: 2014 DHS",,,,,,,,,,,75.6,"Source: 2021 DHS",,,,
Cameroon,,,,,,,,,61.2,"Source: 2018 DHS",,,,,,,,
Chad,,,35.9,"Source: 2014-15 DHS",,,,,,,,,,,,,,
Chile,,,,,39.1,"Source: MICS 2015-2016",,,,,,,,,,,37.7,"National Survey on Health, Sexuality, and Gender (ENSSEX 2022-2023)"
Colombia,,,70.5,"Source: 2015 DHS",,,,,,,,,,,,,,
Cuba,,,,,,,78.9,,,,,,,,,,,
Côte d'Ivoire,,,,,,,,,,,,,47.2,"Source: 2021 DHS",,,33.9,"2021 Demographic Health Survey"
Democratic Republic of the Congo,26.7,"Source: 2013-14 DHS",,,,,,,,,,,,,,,,
Ethiopia,,,,,43.6,"Source: DHS 2016",,,,,,,,,,,,
Gabon,,,,,,,,,,,64.9,"Source: 2019 DHS",,,,,50.9,"2019-2021 Demographic Health Survey"
Gambia,,,,,,,,,,,57.8,"Source: 2019 DHS",,,,,,
Ghana,25.8,"Source: 2014 DHS",,,,,,,,,,,,,,,17.3,"Demographic Health Survey"
Guatemala,,,41,"Source: Nationally Representative Survey 2014-2015",,,,,,,,,,,,,,
Guinea,,,,,,,,,49.7,"Source: 2018 DHS",,,,,,,,
Honduras,,,,,,,84.8,,,,,,,,,,,
India,,,,,40.3,"Source: National Family Health Survey (NFHS) 2015-16",,,,,58.3,"Source: 2019 DHS",,,,,,
Jamaica,,,,,,,,,,,,,,,,,58.7,"Other Behavioural Surveillance Survey"
Kenya,43.9,"Source: DHS 2014",,,,,,,,,,,,,67.9,"Source: 2022 DHS",,
Lesotho,76.3,"Source: 2014 DHS",,,,,,,,,,,,,,,65.2,"2023-24 Demographic Health Survey"
Liberia,,,,,,,,,,,30.9,"Source: 2019 DHS",,,,,,
Madagascar,,,,,,,,,,,,,9.4,"Source: 2021 DHS",,,,
Malawi,,,,,61.9,"Source: 2015-16 DHS",,,,,,,,,,,,
Mali,,,,,,,,,39.1,"Source: 2018 DHS",,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,41.5,"2022-2023 Demographic Health Survey"
Nepal,,,,,,,,,,,,,,,70.2,"Source: 2022 DHS",,
Nigeria,,,,,,,,,64.2,"Source: 2018 DHS",,,,,,,,
Papua New Guinea,,,,,,,,,27.5,"Source:2018 DHS",,,,,,,,
Rwanda,,,54.7,"Source: 2014-15 DHS",,,,,,,69,"Source: 2019 DHS",,,,,,
Senegal,68.9,"Source: 2014 DHS",,,,,,,68.7,"Source: 2018 DHS",70.8,"Source: 2019 DHS",,,,,,
Sierra Leone,,,,,,,,,,,22.5,"Source: 2019 DHS",,,,,,
Thailand,,,,,,,75.7,"Source: 2017 BSS",,,,,,,,,,
Togo,51.3,"Source: 2013-14 DHS",,,,,,,,,,,,,,,,
Ukraine,,,,,,,79.9,"Source: Survey 2017",,,,,,,,,70,"Online survey"
United Republic of Tanzania,,,,,,,37.2,"Source: Tanzania HIV Impact Survey 2016-2017",,,,,,,,,,
Zambia,50.1,"Source: 2013-14 DHS",,,,,,,53,"Source: 2018 DHS",,,,,,,,
Zimbabwe,,,79,"Source: 2015 DHS",,,,,,,,,,,,,,
