Country,2019,2022,2023,2024
Afghanistan,<0.1,<0.1,,
Albania,0.2,0.16,0.2,0.18
Algeria,,,,0.28
Angola,,,2.6,2.4
Antigua and Barbuda,0.5,0.68,,1.1
Argentina,0.6,0.67,0.54,0.6
Armenia,,0.26,0.23,0.25
Austria,,,,0.12
Azerbaijan,0.1,0.1,0.11,0.14
Bahrain,,,0.28,0.25
Bangladesh,,<0.1,<0.1,<0.1
Barbados,,0.27,,0.86
Belarus,0.1,<0.1,<0.1,<0.1
Belgium,,,,0.15
Belize,0.8,,0.4,
Benin,1.3,1.2,1.1,0.77
Bhutan,,0.66,<0.1,0.22
Bolivia (Plurinational State of),,0.58,0.58,0.53
Botswana,3.1,2.6,2.6,2.1
Brunei Darussalam,,0.11,0.1,
Bulgaria,,,,<0.1
Burkina Faso,0.7,1,0.7,0.99
Burundi,,,0.84,0.62
Cambodia,6.1,6.1,,14.7
Cameroon,3,2.5,2.1,1.8
Central African Republic,6.4,9.7,6.1,5.6
Chad,,0.62,0.72,0.51
Chile,0.5,0.36,0.31,0.28
China,<0.1,,,
Colombia,1.6,0.77,0.58,1.1
Comoros,<0.1,,<0.1,0.12
Costa Rica,,0.64,,
Croatia,,,,<0.1
Cuba,0.1,0.13,0.13,0.16
Czechia,,,,<0.1
Côte d'Ivoire,4.3,1.6,1.4,
Democratic Republic of the Congo,2.3,2.8,2.4,2.1
Denmark,,,,0.1
Djibouti,1.5,,0.96,0.97
Dominica,0.3,2.9,11.2,2.6
Dominican Republic,,1.6,1.9,1.4
Ecuador,0.33,0.54,0.57,
Egypt,0.3,0.25,0.18,0.18
El Salvador,0.4,0.28,0.46,0.22
Eritrea,0.21,,0.15,
Estonia,,,,<0.1
Eswatini,6.4,,5,3.1
Ethiopia,0.6,0.51,0.58,0.53
France,,,,0.15
Gabon,8.3,5.9,6.1,7.6
Gambia,,,2.7,2.3
Georgia,0.2,0.12,0.11,0.12
Germany,,,,0.45
Ghana,3.8,2.7,3.1,2.5
Greece,,,,0.48
Grenada,0.3,,,4.2
Guatemala,0.6,0.62,0.49,0.26
Guinea,2,2.2,3.1,3
Guyana,1.4,1.7,0.9,0.76
Haiti,2.8,3.9,3.4,3.5
Honduras,0.7,0.63,0.6,0.49
Hungary,,,,1.2
Iceland,,,,0.24
India,0.4,0.28,0.29,0.26
Indonesia,1.2,1.1,0.93,0.91
Iran (Islamic Republic of),0.1,0.11,0.17,0.16
Jamaica,1.6,1.1,1.1,1.1
Kazakhstan,,0.1,,<0.1
Kenya,1.9,2.4,1.7,1.2
Kiribati,<0.01,,,<0.01
Kyrgyzstan,0.2,0.16,0.13,0.13
Lao People's Democratic Republic,1.4,1.3,1.4,1.4
Latvia,,,,<0.1
Lebanon,,0.71,0.88,1.1
Lesotho,3.3,9.5,9.1,8.1
Liberia,,,2.5,4.2
Luxembourg,,,,0.52
Madagascar,0.3,,1.4,
Malawi,2.8,2.6,2,1.6
Malaysia,0.3,0.21,0.19,0.23
Maldives,,<0.01,<0.01,<0.01
Mali,2.6,2.8,1.8,1.7
Malta,,,,0.4
Marshall Islands,,,,<0.01
Mauritania,0.9,,0.36,
Mexico,0.6,,1.3,
Mongolia,<0.01,<0.01,<0.01,<0.01
Morocco,0.3,0.63,0.49,0.39
Mozambique,4.4,,3.1,2.5
Myanmar,3,2.4,2.3,2.1
Namibia,2.9,1.9,2.1,1.7
Nepal,,0.74,0.23,0.22
Nicaragua,0.2,0.26,0.21,0.18
Niger,0.4,0.6,0.59,0.46
Nigeria,3.2,2.4,1.2,1
North Macedonia,0.16,,,
Oman,0.1,,,
Pakistan,,8.7,,
Palau,,,,0.18
Panama,,0.78,0.6,0.55
Papua New Guinea,2.5,3.6,3.4,3
Paraguay,0.5,0.58,0.93,0.66
Peru,,0.43,0.37,0.4
Philippines,,,5.4,1.4
Portugal,,,,2.9
Qatar,,6.1,29.3,8.2
Republic of Moldova,0.3,0.3,0.27,0.24
Romania,,,,0.5
Rwanda,,0.7,0.83,0.82
Saint Kitts and Nevis,,0.93,0.32,0.61
Saint Lucia,0.9,,0.38,0.47
Saint Vincent and the Grenadines,,,,2
San Marino,<0.01,,,
Sao Tome and Principe,0.8,,,
Senegal,1.2,0.93,0.87,1.1
Serbia,,0.87,0.68,0.57
Seychelles,0.4,0.38,0.44,0.43
Sierra Leone,2.7,3.8,4,4
Singapore,0.2,,0.13,0.12
Slovenia,,,,0.28
Solomon Islands,<0.1,,,0.13
Somalia,0.31,,0.18,
South Africa,4.8,2.7,2.4,2.1
South Sudan,4.2,3.1,2.3,
Sri Lanka,,0.14,<0.1,<0.1
Sudan,1.6,1.9,3.5,2.7
Suriname,1.7,,,
Switzerland,,,,1.3
Tajikistan,0.1,0.11,0.1,<0.1
Thailand,1.5,1.9,1.4,1.4
Timor-Leste,,0.39,,
Togo,3.5,3.1,1.9,2
Tonga,,,,<0.1
Trinidad and Tobago,1.2,1.7,1.5,1.6
Tunisia,0.2,0.27,0.15,0.17
Tuvalu,,,,<0.01
Türkiye,,,,<0.01
Uganda,2.9,2.3,1.9,1.4
Ukraine,1.6,1.3,0.98,0.61
United Republic of Tanzania,,2.2,2,1.2
Uruguay,0.17,0.15,0.14,0.16
Uzbekistan,0.1,<0.1,<0.1,<0.1
Vanuatu,,,,<0.1
Venezuela (Bolivarian Republic of),,,1.9,1.2
Viet Nam,0.7,0.79,0.77,0.65
Zambia,5,4.7,3.2,2
Zimbabwe,5.3,5.5,4.9,3.6
