Country,2018,2019,2020,2021,2022,2023,2024
Antigua and Barbuda,,,,<100,,,
Argentina,,,,510,1900,3900,3900
Armenia,,,,,<100,<100,<100
Australia,,,,,40 000,45 000,
Austria,,,,,,,2200
Azerbaijan,,,,,,<200,<500
Bahamas,<100,,<100,<200,<200,<200,<200
Bangladesh,,,,,<500,,
Barbados,<100,,<100,<100,<100,<100,<100
Belarus,,,,<200,<200,<500,<500
Belgium,,,,,5300,6900,8700
Belize,,,,,<100,<100,<100
Benin,,,,,<500,1400,2000
Bhutan,,,,,,,<100
Botswana,<100,2000,2300,5100,13 000,15 000,18 000
Brazil,8100,15 000,23 000,41 000,56 000,110 000,170 000
Brunei Darussalam,,,,,,<100,
Burkina Faso,,,,<200,590,2200,
Burundi,,,,,,1000,13 000
Cambodia,,<500,510,2200,5000,9000,19 000
Cameroon,,<500,2000,4400,4400,6200,17 000
Canada,,,,,9700,35 000,32 000
Chile,,<500,550,870,1400,1900,3200
Colombia,,,,600,1600,6700,11 000
Congo,,,,,<100,,
Costa Rica,,,,700,,2600,2800
Croatia,,,,,<500,550,690
Cuba,,,,<100,<500,1500,4000
Cyprus,,,,,<100,<100,
Czechia,<100,,<500,,1200,1300,1900
Côte d'Ivoire,,,<500,1300,16 000,,1400
Democratic Republic of the Congo,,,550,,8700,23 000,
Denmark,,,,,,,5200
Djibouti,,,,,<100,<100,<100
Dominica,,,,<100,,<100,<100
Dominican Republic,<200,<500,1500,1000,2700,3700,4600
Ecuador,,,<500,<500,<500,1700,3900
El Salvador,,,,,<200,1300,6000
Eritrea,,,,<100,<100,,
Eswatini,,,9100,,,28 000,31 000
Ethiopia,,,2900,11 000,22 000,16 000,22 000
France,,,,,47 000,53 000,59 000
Gabon,,,,,,,<100
Gambia,,<100,<100,,,,
Georgia,<200,<500,<500,790,960,1700,2600
Germany,,,,,30 000,40 000,40 000
Ghana,,,,2100,8100,7500,7300
Grenada,<100,,,<100,<100,,
Guatemala,<100,<200,<500,930,16 000,3500,1200
Guyana,,,,<100,<100,690,5200
Haiti,,<500,4100,8300,13 000,24 000,33 000
Honduras,,,,,<200,2400,3900
Iceland,,,,,<500,<500,<500
India,,,,,2600,,
Indonesia,,,,,3200,6700,40 000
Iran (Islamic Republic of),,,,<200,<200,<500,<200
Ireland,,,,,3400,5300,6100
Italy,,,,,,12 000,16 000
Jamaica,,,,,<200,<500,600
Kazakhstan,,,,<500,910,5800,12 000
Kenya,31 000,54 000,52 000,120 000,160 000,,160 000
Kuwait,<100,,,,,,
Kyrgyzstan,<100,<100,<100,<200,<500,<500,570
Lao People's Democratic Republic,,,<100,<500,<500,850,1700
Lebanon,,,<500,<500,<200,520,<500
Lesotho,7300,35 000,,16 000,28 000,31 000,28 000
Liberia,,,,,2500,1700,
Lithuania,,,,,<100,<100,
Luxembourg,,,,,560,,680
Madagascar,,,,,<500,680,
Malawi,,<500,,11 000,23 000,72 000,54 000
Malaysia,,,,,,3500,6700
Maldives,,,,,<100,,<100
Mali,,,<500,<100,2900,2400,
Malta,,,,,580,<500,
Mauritius,<100,,,<100,<200,,
Mexico,,,2100,2700,7600,14 000,31 000
Mongolia,<100,<100,,<200,<100,,
Montenegro,,,,,,<100,<100
Morocco,<200,,630,630,740,,
Mozambique,1900,,19 000,58 000,,,360 000
Myanmar,,,,,2700,4500,7600
Namibia,,,,,30 000,50 000,73 000
Nepal,,,<500,3900,5700,7200,8100
Netherlands,,,,,9800,1500,12 000
New Zealand,,,,3800,4600,,
Nicaragua,,,,,,<200,<500
Nigeria,,2700,38 000,1100,380 000,180 000,390 000
Norway,,,,,1200,2400,3500
Panama,,,,,1100,590,740
Papua New Guinea,,,,,,,600
Paraguay,,,,<200,<500,850,1100
Peru,540,,<500,<100,520,1300,5300
Philippines,,,,4100,12 000,22 000,36 000
Poland,,,,,3000,,
Portugal,,,,,4000,4500,6900
Republic of Moldova,<100,<100,<200,<500,<500,560,630
Romania,,,,,,,<500
Rwanda,,,4300,8600,11 000,19 000,22 000
Saint Kitts and Nevis,,,,,,,<100
Saint Lucia,,,,<100,,<100,<100
Senegal,,,<100,3400,3800,4200,1700
Seychelles,<100,<100,<100,<100,<100,<100,<100
Sierra Leone,,,,1300,4500,10 000,
Slovenia,,,,,<500,550,550
South Africa,8200,,110 000,350 000,410 000,800 000,860 000
South Sudan,,,,,<200,,
Spain,,,,,18 000,24 000,34 000
Sri Lanka,,,<100,,,,
Sweden,,,,,2300,2300,4200
Switzerland,,,,,4100,5100,7000
Tajikistan,,,<100,<100,<500,1000,1800
Thailand,2900,,14 000,17 000,15 000,27 000,
Togo,,,,,550,2300,3000
Tunisia,,,,,,,<100
Uganda,7500,,58 000,,200 000,160 000,230 000
Ukraine,<200,1700,2300,5700,9100,13 000,14 000
United Kingdom,,,,,61 000,,97 000
United Republic of Tanzania,,,,41 000,160 000,59 000,130 000
United States,,,,,380 000,300 000,
Uruguay,<100,,,<100,<200,<500,<500
Uzbekistan,,,,,<500,<500,880
Viet Nam,2400,7600,19 000,32 000,51 000,67 000,75 000
Zambia,3800,,110 000,150 000,160 000,180 000,420 000
Zimbabwe,5000,8400,49 000,7100,80 000,30 000,150 000
