Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper, 2022,2022_lower, 2022_upper, 2023,2023_lower, 2023_upper, 2024,2024_lower, 2024_upper
Afghanistan,,,,,,,,,,,,,6 ,2 , 13,,,,,,,,,,2 ,<1 , 4,9 ,3 , 23,10 ,3 , 24,,,,16 ,4 , 40,3 ,<1 , 7,3 ,<1 , 9
Albania,,,,,,,,,,,,,,,,,,,,,,19 ,17 , 21,19 ,17 , 21,55 ,50 , 61,18 ,16 , 20,,,,>98 ,>98 , >98,96 ,86 , >98,94 ,83 , >98
Algeria,,,,35 ,32 , 38,22 ,20 , 24,54 ,50 , 59,27 ,25 , 29,23 ,22 , 25,35 ,33 , 38,66 ,62 , 71,44 ,41 , 47,,,,33 ,30 , 36,,,,,,,,,,21 ,19 , 24
Angola,2 ,2 , 2,3 ,3 , 4,4 ,3 , 4,10 ,9 , 12,,,,4 ,4 , 5,1 ,<1 , 1,<1 ,<1 , <1,1 ,1 , 1,6 ,5 , 7,2 ,2 , 3,3 ,2 , 3,,,,12 ,10 , 14,11 ,9 , 13
Antigua and Barbuda,,,,77 ,68 , 90,15 ,13 , 17,60 ,54 , 69,>98 ,92 , >98,>98 ,>98 , >98,71 ,65 , 80,53 ,48 , 60,97 ,88 , >98,77 ,69 , 87,,,,60 ,53 , 69,,,,,,,66 ,57 , 77
Argentina,,,,11 ,10 , 12,11 ,10 , 12,11 ,10 , 12,48 ,44 , 52,49 ,45 , 54,67 ,61 , 72,69 ,64 , 75,83 ,76 , 90,,,,>98 ,>98 , >98,,,,,,,78 ,72 , 85,94 ,87 , >98
Armenia,,,,23 ,18 , 29,20 ,15 , 25,26 ,21 , 35,57 ,46 , 72,58 ,48 , 71,72 ,61 , 85,71 ,58 , 87,93 ,74 , >98,78 ,61 , >98,70 ,55 , 87,86 ,64 , >98,78 ,55 , >98,65 ,43 , 89,78 ,49 , >98
Australia,,,,,,,62 ,54 , 71,>98 ,>98 , >98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,33 ,26 , 42,61 ,46 , 87,79 ,60 , >98,88 ,70 , >98,>98 ,87 , >98,>98 ,>98 , >98,>98 ,97 , >98,>98 ,>98 , >98,>98 ,92 , >98,>98 ,>98 , >98,,,,>98 ,87 , >98,>98 ,>98 , >98,>98 ,>98 , >98,>98 ,>98 , >98
Bahamas,,,,79 ,72 , 88,73 ,65 , 81,76 ,69 , 84,78 ,70 , 86,84 ,76 , 95,79 ,70 , 87,81 ,72 , 89,88 ,79 , 97,,,,65 ,57 , 72,63 ,56 , 71,68 ,60 , 77,67 ,58 , 75,74 ,65 , 84
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56 ,48 , 64,28 ,23 , 32
Bangladesh,3 ,3 , 4,,,,,,,4 ,3 , 5,20 ,17 , 24,12 ,10 , 14,19 ,16 , 23,15 ,13 , 18,24 ,21 , 29,,,,16 ,14 , 19,12 ,10 , 14,,,,11 ,10 , 13,,,
Barbados,,,,55 ,49 , 61,,,,57 ,50 , 62,92 ,81 , >98,60 ,53 , 69,76 ,65 , 86,62 ,54 , 69,83 ,72 , 94,91 ,79 , >98,64 ,55 , 73,86 ,76 , >98,>98 ,88 , >98,93 ,82 , >98,73 ,63 , 84
Belarus,54 ,43 , 68,51 ,41 , 64,56 ,42 , 73,61 ,46 , 81,55 ,41 , 73,46 ,35 , 60,72 ,56 , 98,72 ,55 , >98,70 ,52 , 97,96 ,74 , >98,84 ,64 , >98,84 ,64 , >98,96 ,68 , >98,>98 ,68 , >98,73 ,49 , >98
Belize,82 ,72 , 93,94 ,84 , >98,69 ,61 , 77,74 ,67 , 84,72 ,64 , 81,93 ,83 , >98,60 ,54 , 67,,,,,,,,,,42 ,38 , 47,,,,80 ,73 , 92,76 ,67 , 88,80 ,72 , 93
Benin,,,,10 ,8 , 12,9 ,7 , 11,12 ,11 , 16,27 ,23 , 34,28 ,24 , 34,27 ,23 , 34,35 ,29 , 42,38 ,32 , 47,53 ,44 , 65,53 ,45 , 65,51 ,42 , 63,56 ,46 , 70,70 ,58 , 87,70 ,58 , 87
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>98 ,88 , >98,,,,,,
Bolivia (Plurinational State of),31 ,25 , 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 ,25 , 34,,,,,,
Bosnia and Herzegovina,,,,,,,>98 ,>98 , >98,>98 ,>98 , >98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
