Country,2010,2010_Footnote, 2011,2011_Footnote, 2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote, 2020,2020_Footnote, 2021,2021_Footnote, 2022,2022_Footnote, 2023,2023_Footnote, 2024,2024_Footnote
Afghanistan,3,,2,,1,,5,,8,,7,,8,,18,,18,,24,,26,,38,,31,,29,,21,
Albania,0,"Children estimates were not available at the time of publication.",0,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication."
Algeria,120,,128,,121,,200,,112,,112,,206,,264,,324,,360,,...,,...,,...,,...,,...,
Angola,3652,,2584,,3175,,5668,,8848,,8398,,7613,,7088,,9633,,15 030,,16 724,,18 693,,19 359,,21 117,,21 542,
Antigua and Barbuda,3,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",4,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",4,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",12,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",14,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",14,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",14,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",14,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",14,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",14,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",8,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",10,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",8,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",8,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",7,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,1626,,1644,,1615,,1664,,1722,,1712,,1646,,1599,,1526,,1396,,1196,,1181,,1097,,1102,,1095,
Armenia,16,,15,,13,,19,,27,,29,,37,,33,,45,,48,,46,,47,,50,,58,,63,
Australia,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Austria,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Azerbaijan,11,"Children estimates were not available at the time of publication.",17,"Children estimates were not available at the time of publication.",23,"Children estimates were not available at the time of publication.",35,"Children estimates were not available at the time of publication.",46,"Children estimates were not available at the time of publication.",56,"Children estimates were not available at the time of publication.",70,"Children estimates were not available at the time of publication.",67,"Children estimates were not available at the time of publication.",56,"Children estimates were not available at the time of publication.",83,"Children estimates were not available at the time of publication.",63,"Children estimates were not available at the time of publication.",53,"Children estimates were not available at the time of publication.",48,"Children estimates were not available at the time of publication.",53,"Children estimates were not available at the time of publication.",53,"Children estimates were not available at the time of publication."
Bahamas,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Bahrain,1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication."
Bangladesh,23,,14,,16,,18,,25,,21,,22,,25,,36,,29,,18,,38,,25,,18,,18,
Barbados,21,"Children estimates were not available at the time of publication.",21,"Children estimates were not available at the time of publication.",24,"Children estimates were not available at the time of publication.",19,"Children estimates were not available at the time of publication.",21,"Children estimates were not available at the time of publication.",15,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",18,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",19,"Children estimates were not available at the time of publication.",13,"Children estimates were not available at the time of publication.",16,"Children estimates were not available at the time of publication.",19,"Children estimates were not available at the time of publication.",17,"Children estimates were not available at the time of publication.",13,"Children estimates were not available at the time of publication."
Belarus,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Belgium,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Belize,53,"Children estimates were not available at the time of publication.",67,"Children estimates were not available at the time of publication.",66,"Children estimates were not available at the time of publication.",46,"Children estimates were not available at the time of publication.",55,"Children estimates were not available at the time of publication.",53,"Children estimates were not available at the time of publication.",38,"Children estimates were not available at the time of publication.",43,"Children estimates were not available at the time of publication.",49,"Children estimates were not available at the time of publication.",40,"Children estimates were not available at the time of publication.",44,"Children estimates were not available at the time of publication.",35,"Children estimates were not available at the time of publication.",33,"Children estimates were not available at the time of publication.",34,"Children estimates were not available at the time of publication.",31,"Children estimates were not available at the time of publication."
Benin,1683,,1411,,1341,,1205,,2099,,4480,,4965,,4360,,4765,,3762,,3950,,3474,,3699,,3523,,3477,
Bhutan,10,"Children estimates were not available at the time of publication.",12,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",6,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication."
Bolivia (Plurinational State of),199,,168,,249,,212,,229,,284,,345,,379,,462,,484,,424,,484,,514,,548,,493,
Bosnia and Herzegovina,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Botswana,10 999,,9940,,12 304,,12 290,,11 047,,11 096,,10 811,,11 934,,12 497,,12 728,,12 171,,10 237,,9419,,8392,,7305,
Brazil,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
Brunei Darussalam,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Bulgaria,10,"Children estimates were not available at the time of publication.",14,"Children estimates were not available at the time of publication.",18,"Children estimates were not available at the time of publication.",20,"Children estimates were not available at the time of publication.",23,"Children estimates were not available at the time of publication.",24,"Children estimates were not available at the time of publication.",23,"Children estimates were not available at the time of publication.",12,"Children estimates were not available at the time of publication.",14,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",15,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication.",17,"Children estimates were not available at the time of publication.",11,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication."
Burkina Faso,2792,,3098,,3228,,3369,,4285,,3000,,3265,,3530,,3795,,4060,,4325,,4590,,4602,,3674,,3402,
Burundi,2617,,2670,,2737,,3084,,3499,,3885,,4518,,4187,,3986,,3623,,3101,,2395,,2264,,1899,,1702,
Cabo Verde,71,,74,,85,,104,,95,,92,,94,,78,,85,,83,,40,,60,,59,,58,,48,
Cambodia,688,,778,,761,,767,,772,,797,,720,,755,,661,,586,,597,,472,,528,,568,,561,
Cameroon,16 342,,15 379,,17 755,,23 173,,22 297,,22 651,,23 005,,23 098,,21 716,,17 068,,16 758,,17 327,,15 952,,13 899,,10 927,
Canada,163,,165,,162,,165,,172,,169,,173,,175,,180,,177,,182,,187,,178,,...,,...,
Central African Republic,2013,,2552,,2742,,1541,,2562,,3896,,3901,,2897,,3186,,4029,,3628,,3959,,3097,,3321,,4064,
Chad,1601,,1930,,2643,,4338,,6086,,4671,,4377,,4776,,5605,,6247,,6131,,6133,,5376,,5446,,5642,
Chile,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,,...,
China,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Colombia,621,,727,,742,,782,,864,,737,,774,,775,,736,,818,,845,,841,,822,,822,,1128,
Comoros,5,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",2,"Children estimates were not available at the time of publication.",1,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",5,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication.",4,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication.",12,"Children estimates were not available at the time of publication.",7,"Children estimates were not available at the time of publication."
