Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_Footnote
Afghanistan,610 ,<500 , 2200,,670 ,<500 , 2500,,680 ,<500 , 2600,,790 ,<500 , 3200,,870 ,<500 , 3500,,950 ,<500 , 3900,,1000 ,<500 , 4300,,1100 ,<500 , 4800,,1100 ,<500 , 5500,,1200 ,<500 , 6200,,1300 ,<500 , 7200,,1400 ,<500 , 7200,,1500 ,<500 , 8100,,1600 ,<500 , 8700,,1800 ,<500 , 10 000,,187,
Albania,<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",15,"Children estimates were not available at the time of publication."
Algeria,1300 ,1000 , 1400,,1200 ,1000 , 1400,,1200 ,1000 , 1400,,1200 ,1000 , 1400,,1300 ,1100 , 1500,,1300 ,1200 , 1600,,1400 ,1200 , 1700,,1500 ,1300 , 1800,,1600 ,1400 , 2000,,1800 ,1400 , 2100,,1900 ,1600 , 2400,,2100 ,1700 , 2700,,2300 ,1900 , 2900,,2600 ,2000 , 3200,,2800 ,2200 , 3500,,124,
Angola,27 000 ,23 000 , 32 000,,28 000 ,24 000 , 32 000,,28 000 ,24 000 , 33 000,,27 000 ,23 000 , 32 000,,27 000 ,23 000 , 31 000,,26 000 ,22 000 , 31 000,,27 000 ,23 000 , 32 000,,27 000 ,23 000 , 32 000,,27 000 ,22 000 , 31 000,,25 000 ,21 000 , 30 000,,25 000 ,21 000 , 30 000,,24 000 ,20 000 , 29 000,,22 000 ,18 000 , 27 000,,21 000 ,17 000 , 26 000,,21 000 ,17 000 , 25 000,,-23,
Antigua and Barbuda,<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",8,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,5400 ,4700 , 6000,,5400 ,4700 , 6000,,5400 ,4700 , 5900,,5400 ,4700 , 5900,,5300 ,4600 , 5900,,5300 ,4600 , 5900,,5300 ,4600 , 5900,,5200 ,4600 , 5900,,5200 ,4500 , 5800,,5200 ,4500 , 5800,,5100 ,4400 , 5800,,5100 ,4300 , 5800,,5000 ,4200 , 5700,,4900 ,4100 , 5700,,4900 ,4000 , 5700,,-10,
Armenia,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , 510,,<500 ,<500 , 550,,<500 ,<500 , 590,,<500 ,<500 , 640,,<500 ,<500 , 670,,510 ,<500 , 720,,520 ,<500 , 790,,530 ,<500 , 840,,540 ,<500 , 920,,550 ,<500 , 1000,,550 ,<500 , 1100,,570 ,<500 , 1200,,610 ,<500 , 1400,,71,
Australia,1000 ,990 , 1100,,1000 ,980 , 1000,,1000 ,970 , 1000,,980 ,950 , 1000,,950 ,910 , 1000,,920 ,870 , 980,,880 ,830 , 940,,840 ,790 , 900,,790 ,720 , 870,,730 ,610 , 860,,660 ,<500 , 880,,580 ,<500 , 970,,<500 ,<200 , 820,,... ,... , ...,,... ,... , ...,,...,
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Azerbaijan,760 ,620 , 930,"Children estimates were not available at the time of publication.",740 ,600 , 890,"Children estimates were not available at the time of publication.",700 ,570 , 850,"Children estimates were not available at the time of publication.",670 ,540 , 820,"Children estimates were not available at the time of publication.",640 ,520 , 790,"Children estimates were not available at the time of publication.",600 ,<500 , 750,"Children estimates were not available at the time of publication.",540 ,<500 , 670,"Children estimates were not available at the time of publication.",570 ,<500 , 720,"Children estimates were not available at the time of publication.",570 ,<500 , 730,"Children estimates were not available at the time of publication.",540 ,<500 , 690,"Children estimates were not available at the time of publication.",<500 ,<500 , 600,"Children estimates were not available at the time of publication.",<500 ,<500 , 560,"Children estimates were not available at the time of publication.",<500 ,<500 , 560,"Children estimates were not available at the time of publication.",<500 ,<500 , 620,"Children estimates were not available at the time of publication.",<500 ,<500 , 540,"Children estimates were not available at the time of publication.",-52,"Children estimates were not available at the time of publication."
