Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote, 2020,2020_Footnote, 2021,2021_Footnote, 2022,2022_Footnote, 2023,2023_Footnote, 2024,2024_Footnote
Afghanistan,9 100 000,"Source:GARPR 2002- 2014",5 300 000,"Source:GARPR 2002- 2014",4 200 000,"Source:GARPR 2015",,,240 000,"Source:GAM_2018",45 000,"Source:GAM_2018",10 100 000,"Source:GAM_2019",,,<100,"Source:GAM_2021",,,<100,"Source:GAM_2023",3 800 000,"Source:GAM_2024",2 600 000,"Source:GAM_2025"
Albania,,,,,,,,,,,,,5 600 000,"Source:GAM_2020",,,<100,"Source:GAM_2021",,,<100,"Source:GAM_2023",,,,
Algeria,6 800 000,"Source:GARPR 2015",12 500 000,"Source:GARPR 2015",17 300 000,"Source:GARPR 2015",,,,,31 900 000,"Source:GAM_2018",,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,10 400 000,"Source:GAM_2021",,,,,,,35 300 000,"Source:GAM_2025"
Antigua and Barbuda,990 000,"Source:GARPR 2002- 2014",1 400 000,"Source:GARPR 2002- 2014",,,,,,,500 000,"Source:GAM_2018",<100,"Source:GAM_2020",1800,"Source:GAM_2020",200 000,"Source:GAM_2022",,,<100,"Source:GAM_2023",730 000,"Source:GAM_2024",,
Argentina,502 000 000,"Source:GARPR 2015",,,717 000 000,"Source:GAM_2019",807 000 000,"Source:GAM_2019",627 000 000,"Source:GAM_2019",,,<100,"Source:GAM_2023",<100,"Source:GAM_2023",<100,"Source:GAM_2023",<100,"Source:GAM_2023",<100,"Source:GAM_2023",,,,
Armenia,5 300 000,"Source:GARPR 2002- 2014",5 000 000,"Source:GARPR 2002- 2014",6 800 000,"Source:GARPR 2015",,,4 200 000,"Source:GAM 2017 validated records",5 600 000,"Source:GAM_2018",,,4 300 000,"Source:GAM_2020",3 400 000,"Source:GAM_2021",3 800 000,"Source:GAM_2022",6 000 000,"Source:GAM_2023",4 600 000,"Source:GAM_2024",5 300 000,"Source:GAM_2025"
Azerbaijan,,,18 600 000,"Source:GARPR 2002- 2014",20 600 000,"Source:GARPR 2015",,,,,,,<100,"Source:GAM_2020",<100,"Source:GAM_2020",<100,"Source:GAM_2021",9 400 000,"Source:GAM_2022",<100,"Source:GAM_2023",14 800 000,"Source:GAM_2024",10 300 000,"Source:GAM_2025"
Bahamas,,,,,,,,,,,,,,,<100,"Source:GAM_2020",<100,"Source:GAM_2021",,,<100,"Source:GAM_2023",,,,
Bangladesh,12 500 000,"Source:GARPR 2002- 2014",21 100 000,"Source:GARPR 2002- 2014",,,12 800 000,"Source:GARPR 2016 pending country verification",9 100 000,"Source:GAM 2017",7 100 000,"Source:GAM_2018",15 100 000,"Source:GAM_2019",,,<100,"Source:GAM_2021",35 100 000,"Source:GAM_2022",8 500 000,"Source:GAM_2023",,,,
Barbados,10 000 000,"Source:GARPR 2002- 2014",16 000 000,"Source:GARPR 2002- 2014",,,,,,,,,,,<100,"Source:GAM_2020",<100,"Source:GAM_2021",4 000 000,"Source:GAM_2022",<100,"Source:GAM_2023",,,,
