Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Barbados,61.5,"Source: Case based surveillance, 2024"
Bolivia (Plurinational State of),68.7,"Source: Programme data, 2024"
Cameroon,73.6,"Source: Behavioral surveillance survey, 2023"
Canada,98.8,"Source: Behavorial surveillance survey, 2024"
Chad,19.4,"Source: Behavioral surveillance survey, 2024"
China,97.1,"Source: National AIDS Comprehensive Response Data Information Management"
Colombia,82.5,"Source: Información reportada a partir de la Cuenta de Alto Costo, 2024"
Cuba,81.1,"Source: Registro Informatizado de VIH/sida, 2024"
Dominican Republic,52.8,"Source: Sistema de Registro Nacional de Atención Integral (SIRNAI)-Modulo FAPPS"
El Salvador,81.5,"Source: Sistema único de monitoreo y evaluación epidemiológica del VIH-SIDA (SUMEVE)."
Guatemala,95.6,"Source: Unidades de Atención Integral del Ministerio de Salud Publica y Asistencia Social (MSPAS), 2024"
Honduras,55.1,
India,71.5,"Source: HSS 2024"
Jamaica,88.7,"Source: Behavioral surveillance survey, 2024"
Kenya,99.3,"Source: Behavioral surveillance survey, 2024"
Mongolia,48,"Source: Routine data of NCCD"
Pakistan,1.3,"Source: Program Data/Health Facility Data"
Panama,88.3,"Source: Clínicas de Terapia Antirretrovirales, 2024"
Peru,100,"Source: SIHCE, 2024"
Philippines,89.8,"Source: HIV/AIDS Registry of the Philippines, 2024"
Rwanda,95,"Source: Behavioral surveillance survey, 2024"
South Africa,63.7,"Source: Thembisa Model 4.7 and JHU PSE"
Tajikistan,91,"Source: Programme data, 2024"
Thailand,80.4,"Source: NAP report, 2024"
Viet Nam,45.8,"Source: HSS+ 2024"
Zimbabwe,100,"Source: OI Green Booklets, 2024"
