Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Albania,13.5,"Source: Behavioral surveillance survey, 2024"
Azerbaijan,3,"Source: BSS, 2020"
Belarus,24.1,"Source: Behavioral surveillance survey, 2024"
Belize,2.7,"Source: HIV INTEGRATED BIOLOGICAL AND BEHAVIORAL SURVEILLANCE SURVEY AMONG MEN WHO HAVE SEX WITH MEN IN BELIZE-2024"
Cameroon,13,"Source: Behavioral surveillance survey, 2023"
Canada,16.3,"Source: Behavioral surveillance survey, 2024"
Chad,13.7,"Source: Behavioral surveillance survey, 2024"
Costa Rica,14.5,"Source: Behavioral surveillance survey, 2024"
Eswatini,24,"Source: BSS, 2020"
India,28.3,"Source: HSS 2024"
Jamaica,17.6,"Source: Behavioral surveillance survey, 2024"
Kenya,6.5,"Source: Behavioral surveillance survey, 2024"
Lao People's Democratic Republic,10.4,"Source: Sentinel surveillance, 2024"
Republic of Moldova,20.1,"Source: Behavioral surveillance survey, 2024"
Rwanda,5.8,"Source: Behavioral surveillance survey, 2024"
Viet Nam,6.7,"Source: HSS+ 2024"
