Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Albania,80.5,"Source: Behavioral surveillance survey, 2024"
Azerbaijan,52.7,"Source: BSS, 2022"
Bangladesh,53.2,"Source: Integrated Biological and Behavioral Surveillance (IBBS) survey, 2020-2021"
Belarus,68.7,"Source: Behavioral surveillance survey, 2024"
Belize,75.8,"Source: HIV INTEGRATED BIOLOGICAL AND BEHAVIORAL SURVEILLANCE SURVEY AMONG MEN WHO HAVE SEX WITH MEN IN BELIZE-2024"
Benin,56.6,"Source: IBBS, 2022"
Bolivia (Plurinational State of),68.1,"Source: BBS, 2021"
Burkina Faso,69.5,"Source: IBBS, 2022"
Cambodia,88.8,"Source: Behavioral surveillance survey, 2023"
Cameroon,67,"Source: Behavioral surveillance survey, 2023"
Chad,46.8,"Source: Behavioral surveillance survey, 2024"
Chile,53.6,"Source: Encuesta Nacional de Salud, Sexualidad y Género (ENSSEX 2022-2023)"
China,87,"Source: Sentinel surveillance, 2024"
Comoros,55,"Source: Behavioral surveillance survey, 2023"
Costa Rica,52,"Source: Behavioral surveillance survey, 2024"
Côte d'Ivoire,75.3,"Source: RAPPORT DE L’EVALUATION RAPIDE DE L’UTILISATION DES PRESERVATIFS ET GELS LUBRIFIANTS (ERUP 2021)"
Democratic Republic of the Congo,56.9,"Source: Rapport de cartographie et estimation de la taille des populations clés dans 9 provinces de la RDC"
Egypt,75.4,"Source: Behavioral surveillance survey, 2024"
El Salvador,48.9,"Source: Sentinel surveillance, 2024"
Eswatini,79.6,"Source: Behavioral Surveillance Survey, 2020"
France,25.8,"Source: ECDC (Etude Rapport au sexe (Eras study))"
Gambia,47.3,"Source: Behavioral surveillance survey, 2023"
Georgia,70.8,"Source: Behavioral surveillance survey, 2023"
Ghana,58,"Source: Behavioral surveillance survey, 2023"
Guinea,82.3,"Source: ESCOMB, 2022"
Haiti,66.4,"Source: IBBS 2023"
Honduras,44.4,"Source: VICITS, 2023"
India,92.6,"Source: HSS 2024"
Indonesia,63,"Source: Behavioral surveillance survey, 2023"
Jamaica,67.4,"Source: Behavioral surveillance survey, 2024"
Kazakhstan,85.3,"Source: Behavioral surveillance survey, 2023"
Kenya,75.7,"Source: Behavioral surveillance survey, 2024"
Kyrgyzstan,47.9,"Source: BSS, 2021"
Lao People's Democratic Republic,64.4,"Source: Sentinel surveillance, 2024"
Lebanon,53.3,"Source: Behavioral surveillance survey, 2023"
Malawi,79.4,"Source: Behavioral Surveillance Survey, 2020"
Malaysia,75,"Source: IBBS, 2022"
Mongolia,80.6,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2022"
Morocco,56,"Source: Behavioral surveillance survey, 2023"
Namibia,54.8,"Source: IBBS 2019"
Nicaragua,56.9,"Source: Estudio de vigilancia de comportamiento sexual en población clave, Nicaragua 2020"
Nigeria,69.8,"Source: Behavioral Surveillance Survey, 2020"
Panama,69,"Source: VICITS, 2024"
Paraguay,83.5,"Source: Prevalencia de VIH Sífilis Hepatitis B y C, conocimientos, prácticas de riesgo y actitudes de hombres que tienen sexo con hombres (HSH) en Asunción, Central y Alto Paraná y Caaguazú. 2023"
Philippines,58.8,"Source: Behavioral surveillance survey, 2023"
Portugal,32,"Source: ECDC (Community based organizations)"
Republic of Moldova,69.3,"Source: Behavioral surveillance survey, 2024"
Rwanda,56.2,"Source: IBBS, 2021"
Serbia,66.3,"Source: BBS, 2021"
Sierra Leone,53.4,"Source: BBSS, 2021"
Singapore,59.3,"Source: Men who have sex with men seroprevalence survey, 2024"
Tajikistan,78.6,"Source: Behavioral Surveillance Survey, 2022"
Thailand,86.4,"Source: Behavioral surveillance survey, 2023"
Togo,65,"Source: Enquête de Surveillance de Seconde Génération (SSG) du VIH couplée de la cartographie programmatique chez les populations clés, 2022"
Ukraine,76.9,"Source: BBS, 2021"
Viet Nam,74.6,"Source: HSS+ 2024"
Zambia,55.1,"Source: IBBS, 2023"
Zimbabwe,92.4,"Source: Programme Data DHIS2, 2024"
