Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Albania,3.3,"Source: Behavioral surveillance survey, 2024"
Algeria,13.4,"Source: Behavioral surveillance survey, 2024"
Azerbaijan,2.9,"Source: BSS, 2022"
Bangladesh,1.7,"Source: Integrated Biological and Behavioral Surveillance (IBSS) survey, 2020-2021"
Belarus,4.4,"Source: Sentinel surveillance, 2024"
Belize,11.3,"Source: HIV INTEGRATED BIOLOGICAL AND BEHAVIORAL SURVEILLANCE SURVEY AMONG MEN WHO HAVE SEX WITH MEN IN BELIZE-2024"
Benin,8.3,"Source: IBBS, 2022"
Bolivia (Plurinational State of),25.8,"Source: BSS, 2021"
Botswana,14.2,"Source: Integrated Behavioural & Biological Survelliance III (IBBSS III)"
Bulgaria,6.2,"Source: ECDC (National programme data, 2023)"
Burkina Faso,27.1,"Source: IBBS, 2022"
Cambodia,5.5,"Source: Behavioral surveillance survey, 2023"
Cameroon,19.2,"Source: Behavioral surveillance survey, 2023"
Central African Republic,3.4,"Source: National programme data, 2021"
Chad,9,"Source: Behavioral surveillance survey, 2024"
China,3.4,"Source: Sentinel surveillance, 2024"
Comoros,1.8,"Source: Behavioral surveillance survey, 2023"
Costa Rica,19.7,"Source: Behavioral surveillance survey, 2024"
Cuba,38.7,"Source: Encuesta de seroprevalencia de VIH, sífilis, VHB, VHC y vigilancia del comportamiento en grupos de población clave HSH y mujeres trans en la Habana"
Cyprus,2.4,"Source: ECDC (Community Data from the Cy Checkpoint CBVCT Centre)"
Czechia,0.5,"Source: ECDC (programme data)"
Côte d'Ivoire,7.7,"Source: IBBS, 2020"
Djibouti,0.7,"Source: Programme data, 2024"
Dominican Republic,7,"Source: Encuesta de Vigilancia de Comportamiento con Vinculación Serológica"
Ecuador,10.2,"Source: ESTUDIO DE PREVALENCIA DE VIH E ITS EN HOMBRES QUE TIENEN SEXO CON HOMBRES (HSH), MUJERES TRANS FEMENINAS (MTF) Y TRA/ES SUALES (TS) EN SEIS PROVINCIAS DEL ECUADOR: PICHINCHA, GUAYAS, AZUAY, ESMERALDAS, EL ORO Y MANABÍ 2021"
Egypt,13.4,"Source: Behavioral surveillance survey, 2024"
El Salvador,8.2,"Source: Sentinel surveillance, 2024"
