Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Algeria,8000,"Region: Annaba, Alger, Tiaret, Tamanrasset et Oran; Methods: Unique object multiplier; Source: Enquête IBBS 2024"
Austria,100 000,"Region: National; Methods: % of adult (15-75); Source: ECDC"
Azerbaijan,21 900,"Region: 3 cities; Method: Capture-recapture, multiplier; Source: Size estimation, 2022"
Bangladesh,116 500,"Region: 22 districts; Method: Unknown; Source: Mapping and Size Estimation of Key Populations and HIV Risk Behaviors in Bangladesh 2023"
Belarus,32 000,"Region: National; Methods: Multiplier and experts' opinion;"
Belize,3800,"Region: Nationa; Methods: RDS-SS; Source: HIV INTEGRATED BIOLOGICAL AND BEHAVIORAL SURVEILLANCE SURVEY AMONG MEN WHO HAVE SEX WITH MEN IN BELIZE-2024"
Cambodia,94 000,"Region: National; Method: Service multiplier; Source: IBBS, 2023"
Cameroon,21 600,"Region: 10 capitales régionales et 3 villes satellites (Dschang, Kribi, Limbé).; Methods: Wisdom of the crowds, unique object and service multiplier; Source: Behavioral surveillance survey, 2023"
Canada,432 000,"Region: National; Methods: % of adult population;"
Chad,6200,"Region: 9 cities; Methods: Capture-recapture; Source: Behavioral surveillance survey, 2024"
Chile,122 600,"Region: National; Methods: Multiplier; Source: Estudio de tamaño poblacional de poblaciones clave de Hombres que tienen Sexo con Hombres (HSH) y Trans Femeninas en Chile, 2021"
Colombia,576 100,"Region: National; Method: % of adult population;"
Cuba,29 100,"Region: La Habana; Methods: Bayesian and SS-PSE; Source: Encuesta de seroprevalencia de VIH, sífilis, VHB, VHC y vigilancia del comportamiento en grupos de población clave HSH y mujeres trans 2024"
Czechia,156 000,"Region: National; Methods: % of adult (15+); Source: ECDC"
Côte d'Ivoire,56 000,"Region: Ouangolo, Man, Korhogo, Divo, Issia, Abengourou, Yakro, Gagnoa, San Pedro, Bouaké, Abidjan; Methods: Triangulation;"
Denmark,60 000,"Region: National; Methods: % of adult (18-75) population; Source: ECDC, 2022"
Djibouti,1500,"Region: Djibouti ville; Method: Unknown; Source: Behavioral surveillence survey, 2023"
Dominican Republic,145 700,"Region: National; Methods: Literature review and population growth;"
Ecuador,89 400,"Region: National; Methods: Multiplier; Source: Estimación del tamaño poblacional en grupos de población clave (GPC) en Ecuador Hombres que tienen sexo con hombres y mujeres Trans, 2021."
Egypt,491 500,"Region: National; Methods: Unique object and service multiplier; Source: Population size estimate, 2024"
El Salvador,61 300,"Region: National ; Method: RDS-SS; Source: ESTUDIO DE ESTIMACIÓN DE TAMAÑO DE POBLACIÓN DE ALTA PREVALENCIA EN VIH, SUS COMPORTAMIENTOS, ACTITUDES, PRÁCTICAS SEXUALES Y CONDICIONANTES SOCIALES EN EL SALVADOR, 2023/2024"
Estonia,9000,"Region: National ; Methods: Multiplier method, capture-recapture method and additionally successive sampling method ; Source: ECDC"
Eswatini,4000,"Region: National; Methods: SS-PSE; Source: BSS, 2020"
Finland,100 000,"Region: National; Methods: Survey; Source: ECDC (The Healthy Finland Survey)"
France,2 203 500,"Region: National; Methods: Telephone survey; Source: ECDC (https://anrs.fr/en/all-news/first-results-national-survey-contexts-of-sexualities-in-france-2023/)"
Georgia,23 300,"Region: National; Method: NSUM, Network based Capture-Recapture, Service Multiplier, Unique Object Multiplier, mobile Apps and Websites Service Multiplier, Handcock’s RDS Network-Based and Wisdom of the Crowd; Source: Population Size Estimation Among Men Who Have Sex with Men"
Guatemala,66 500,"Region: Guatemala; Methods: Census and enumeration, capture-recapture, multiplier and projection to the actual year; Source: Estimación del tamaño de la población de hombres que tienen sexo con hombres de Guatemala projected with results from the XII Censo Nacional de Población y VII de Vivienda"
Haiti,48 900,"Region: Cap-Haitien / Carrefour / Cayes / Gonaives / Hinche / jacmel / Ouanaminthe / Pétiion-Ville / Saint-Marc; Method: Unique object, SS-RDS, Hotspot and programmatic mapping; Source: Enquête IBBS 2023"
Honduras,47 000,"Region: National; Methods: Extrapolation of program mapping data; Source: Estudio Estimación de Tamaño de población clave con mayor exposición al VIH en Honduras"
India,351 000,"Region: 654 districts; Methods: Programmatic Mapping; Source: PROGRAMMATIC MAPPING AND POPULATION SIZE ESTIMATION (p-MPSE) OF HIGH-RISK GROUPS"
Indonesia,847 300,"Region: National; Method: Service multiplier, program data and extrapolation; Source: PSE report, 2023"
Ireland,117 400,"Region: National ; Methods: % of adult; Source: ECDC"
Jamaica,27 000,"Region: National; Methods: % of adult population; Source: Behavioral surveillance survey, 2024"
Kazakhstan,71 000,"Region: National; Method: Multiplier;"
Kenya,164 700,"Region: National; Methods: RDS-SS; Source: Behavioral surveillance survey, 2024"
Kiribati,360,"Region: National; Methods: 3 Sources Capture Recapture; Source: ESTIMATION OF THE SIZE OF KEY POPULATIONS IN THE MULTI-COUNTRY WESTERN PACIFIC, 2022"
Lao People's Democratic Republic,64 200,"Region: National; Methods: AEM model; Source: AEM model"
Liechtenstein,390,"Region: National; Methods: % of adult male population; Source: Schmidt AJ, Altpeter E. Sex Transm Infect 2019;95:291"
Luxembourg,16 300,"Region: National ; Methods: % of adult population; Source: ECDC"
Malawi,50 000,"Region: National; Methods: Triangulation and adjustment; Source: KP workbook"
Mali,26 100,"Region: National; Methods: Small area estimation; Source: Spectrum and SAE"
Marshall Islands,1400,"Region: National; Methods: 3 Sources Capture Recapture; Source: ESTIMATION OF THE SIZE OF KEY POPULATIONS IN THE MULTI-COUNTRY WESTERN PACIFIC, 2022"
Mauritania,7600,"Region: Les 6 grandes villes du pays; Methods: Cartographie; Source: Note technique de triangulation des données d'estimation de taille des populations clés en Mauritanie"
Netherlands,312 900,"Region: National ; Methods: % of adult; Source: ECDC"
New Zealand,40 000,"Region: National; Methods: ; Source: Estimating the number of men who have sex with men who could be prioritised for mpox vaccination in New Zealand"
Nicaragua,40 100,"Region: National; Method: Programmatic mapping; Source: Estimación del tamaño de poblaciones clave alcanzables mediante la metodología de Mapeo Programático"
Niger,53 700,"Region: National; Methods: % of adult population;"
Palau,40,"Region: National; Methods: 3 Sources Capture Recapture; Source: ESTIMATION OF THE SIZE OF KEY POPULATIONS IN THE MULTI-COUNTRY WESTERN PACIFIC, 2022"
Panama,20 000,"Region: Bocas del Toro, Coclé, Colón, Chiriquí,  Darién, Herrera, Los Santos, Panamá, Veraguas Comarca Guna Yala and Ngäbe-Buglé.; Methods: Capture-recapture and extrapolation; Source: Estimación del tamaño de la población de hombres que tienen sexo con hombres (HSH), mujeres trans (Trans) y trabajadoras sexuales (TS) de 18 años y más, caracterización de esta población, uso de servicios de salud, uso de condón, discriminación y violencia en la República de Panamá para el año 2018"
