Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Afghanistan,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , 560,,<500 ,<200 , 610,,<500 ,<200 , 690,,<500 ,<200 , 850,,<500 ,<200 , 970,,<500 ,<200 , 1000,,<500 ,<200 , 1200,,<500 ,<200 , 1500,,<500 ,<200 , 1600,,510 ,<200 , 1800,,560 ,<200 , 2000,,610 ,<500 , 2200,,610 ,<500 , 2400,,720 ,<500 , 2900,,800 ,<500 , 3200,,870 ,<500 , 3600,,930 ,<500 , 3800,,980 ,<500 , 4300,,1000 ,<500 , 4800,,1100 ,<500 , 5500,,1200 ,<500 , 6500,,1300 ,<500 , 6400,,1400 ,<500 , 7800,,1500 ,<500 , 8600,,1600 ,<500 , 9800,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication."
Algeria,<100 ,<100 , <100,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,510 ,<500 , 530,,590 ,560 , 620,,670 ,640 , 710,,770 ,730 , 820,,880 ,830 , 930,,1000 ,940 , 1100,,1100 ,980 , 1200,,1200 ,970 , 1300,,1100 ,950 , 1400,,1100 ,880 , 1200,,1000 ,880 , 1200,,1000 ,880 , 1200,,1000 ,890 , 1200,,1100 ,930 , 1200,,1100 ,980 , 1300,,1200 ,1000 , 1400,,1300 ,1100 , 1500,,1400 ,1200 , 1600,,1500 ,1200 , 1800,,1600 ,1300 , 2000,,1800 ,1400 , 2200,,1900 ,1600 , 2400,,2100 ,1700 , 2600,,2300 ,1900 , 2900,
Angola,6200 ,4000 , 9100,,7000 ,4700 , 9600,,8200 ,5800 , 11 000,,8900 ,6500 , 12 000,,9600 ,7200 , 13 000,,10 000 ,8100 , 14 000,,11 000 ,8800 , 14 000,,12 000 ,9300 , 15 000,,12 000 ,9900 , 15 000,,13 000 ,11 000 , 16 000,,13 000 ,11 000 , 16 000,,14 000 ,12 000 , 16 000,,15 000 ,12 000 , 17 000,,16 000 ,13 000 , 18 000,,16 000 ,13 000 , 18 000,,17 000 ,14 000 , 19 000,,16 000 ,14 000 , 19 000,,17 000 ,14 000 , 20 000,,18 000 ,15 000 , 21 000,,18 000 ,15 000 , 21 000,,17 000 ,15 000 , 21 000,,18 000 ,15 000 , 21 000,,18 000 ,15 000 , 21 000,,17 000 ,15 000 , 21 000,,17 000 ,15 000 , 21 000,,17 000 ,14 000 , 21 000,,17 000 ,14 000 , 21 000,,17 000 ,15 000 , 21 000,,17 000 ,15 000 , 21 000,,17 000 ,15 000 , 21 000,,17 000 ,15 000 , 21 000,,17 000 ,14 000 , 21 000,,16 000 ,13 000 , 20 000,,16 000 ,13 000 , 20 000,,15 000 ,12 000 , 19 000,
Antigua and Barbuda,<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,4700 ,4400 , 4900,,5000 ,4700 , 5400,,5100 ,4800 , 5500,,5100 ,4800 , 5500,,5100 ,4900 , 5400,,5200 ,5000 , 5400,,5200 ,5000 , 5400,,5200 ,5000 , 5400,,5200 ,5100 , 5400,,5200 ,5100 , 5400,,5200 ,5100 , 5300,,5200 ,5100 , 5400,,5200 ,5100 , 5400,,5200 ,5100 , 5400,,5200 ,5000 , 5400,,5200 ,5000 , 5400,,5200 ,5000 , 5400,,5100 ,5000 , 5400,,5100 ,5000 , 5400,,5100 ,4900 , 5300,,5100 ,4900 , 5300,,5100 ,4900 , 5300,,5100 ,4900 , 5300,,5000 ,4800 , 5200,,5000 ,4800 , 5200,,5000 ,4700 , 5200,,5000 ,4600 , 5200,,4900 ,4600 , 5200,,4900 ,4500 , 5200,,4800 ,4500 , 5100,,4800 ,4400 , 5100,,4800 ,4300 , 5100,,4700 ,4100 , 5100,,4600 ,4000 , 5100,,4600 ,3900 , 5100,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , 530,,<500 ,<500 , 570,,<500 ,<500 , 590,,<500 ,<500 , 660,,<500 ,<500 , 720,,<500 ,<500 , 770,,<500 ,<500 , 840,,<500 ,<500 , 940,,500 ,<500 , 1000,,520 ,<500 , 1100,,550 ,<500 , 1300,
Australia,840 ,760 , 990,,730 ,660 , 850,,650 ,580 , 750,,590 ,530 , 690,,560 ,510 , 660,,550 ,<500 , 650,,560 ,510 , 660,,580 ,530 , 690,,610 ,560 , 730,,650 ,590 , 780,,690 ,630 , 840,,730 ,670 , 900,,770 ,700 , 960,,810 ,730 , 1000,,840 ,760 , 1100,,860 ,770 , 1100,,880 ,790 , 1100,,900 ,800 , 1100,,910 ,810 , 1100,,920 ,820 , 1200,,920 ,820 , 1200,,910 ,810 , 1100,,900 ,800 , 1100,,890 ,790 , 1100,,860 ,770 , 1100,,830 ,730 , 1000,,800 ,700 , 1000,,760 ,660 , 960,,720 ,610 , 890,,660 ,540 , 850,,600 ,<500 , 830,,530 ,<200 , 880,,<500 ,<200 , 740,,... ,... , ...,,... ,... , ...,
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 650,"Children estimates were not available at the time of publication.",570 ,<500 , 900,"Children estimates were not available at the time of publication.",690 ,<500 , 1000,"Children estimates were not available at the time of publication.",800 ,530 , 1100,"Children estimates were not available at the time of publication.",860 ,610 , 1200,"Children estimates were not available at the time of publication.",860 ,640 , 1200,"Children estimates were not available at the time of publication.",830 ,640 , 1100,"Children estimates were not available at the time of publication.",810 ,630 , 1000,"Children estimates were not available at the time of publication.",780 ,620 , 970,"Children estimates were not available at the time of publication.",750 ,610 , 930,"Children estimates were not available at the time of publication.",740 ,600 , 920,"Children estimates were not available at the time of publication.",730 ,580 , 890,"Children estimates were not available at the time of publication.",720 ,570 , 880,"Children estimates were not available at the time of publication.",720 ,580 , 880,"Children estimates were not available at the time of publication.",690 ,570 , 830,"Children estimates were not available at the time of publication.",670 ,550 , 810,"Children estimates were not available at the time of publication.",630 ,510 , 760,"Children estimates were not available at the time of publication.",600 ,<500 , 730,"Children estimates were not available at the time of publication.",580 ,<500 , 710,"Children estimates were not available at the time of publication.",540 ,<500 , 660,"Children estimates were not available at the time of publication.",<500 ,<500 , 590,"Children estimates were not available at the time of publication.",510 ,<500 , 630,"Children estimates were not available at the time of publication.",510 ,<500 , 650,"Children estimates were not available at the time of publication.",<500 ,<500 , 610,"Children estimates were not available at the time of publication.",<500 ,<500 , 530,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 540,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication."
