Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Afghanistan,<500 ,<100 , <500,,<500 ,<100 , 600,,<500 ,<200 , 790,,540 ,<200 , 980,,650 ,<500 , 1100,,760 ,<500 , 1400,,870 ,<500 , 1600,,990 ,<500 , 1900,,1100 ,<500 , 2200,,1300 ,570 , 2500,,1300 ,650 , 2700,,1500 ,740 , 3100,,1700 ,850 , 3700,,1900 ,990 , 4300,,2100 ,1100 , 5200,,2400 ,1200 , 6200,,2700 ,1300 , 6800,,2900 ,1400 , 7600,,3200 ,1500 , 8700,,3500 ,1600 , 10 000,,3900 ,1700 , 11 000,,4300 ,1800 , 13 000,,4700 ,2000 , 15 000,,5200 ,2100 , 17 000,,5700 ,2200 , 20 000,,6300 ,2300 , 22 000,,6800 ,2500 , 25 000,,7500 ,2700 , 30 000,,8100 ,2800 , 33 000,,8800 ,3000 , 35 000,,9700 ,3300 , 38 000,,10 000 ,3400 , 43 000,,11 000 ,3600 , 49 000,,12 000 ,3700 , 55 000,,13 000 ,3700 , 63 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 550,"Children estimates were not available at the time of publication.",560 ,<500 , 630,"Children estimates were not available at the time of publication.",630 ,550 , 710,"Children estimates were not available at the time of publication.",710 ,610 , 790,"Children estimates were not available at the time of publication.",780 ,670 , 870,"Children estimates were not available at the time of publication.",860 ,730 , 960,"Children estimates were not available at the time of publication.",940 ,800 , 1000,"Children estimates were not available at the time of publication.",1000 ,860 , 1100,"Children estimates were not available at the time of publication.",1100 ,930 , 1200,"Children estimates were not available at the time of publication.",1100 ,980 , 1300,"Children estimates were not available at the time of publication.",1200 ,1000 , 1300,"Children estimates were not available at the time of publication.",1300 ,1100 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication."
Algeria,<500 ,<500 , 520,,560 ,510 , 610,,660 ,600 , 720,,780 ,720 , 840,,920 ,850 , 980,,1100 ,1000 , 1200,,1300 ,1200 , 1400,,1500 ,1400 , 1600,,1800 ,1700 , 1900,,2100 ,2000 , 2200,,2500 ,2400 , 2600,,3000 ,2800 , 3100,,3500 ,3300 , 3600,,4100 ,3900 , 4300,,4800 ,4500 , 5000,,5600 ,5200 , 5900,,6500 ,6100 , 6800,,7500 ,7000 , 7900,,8500 ,7900 , 9000,,9500 ,8800 , 10 000,,10 000 ,9700 , 11 000,,11 000 ,11 000 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 13 000,,14 000 ,13 000 , 14 000,,14 000 ,14 000 , 15 000,,16 000 ,15 000 , 16 000,,17 000 ,16 000 , 18 000,,18 000 ,17 000 , 19 000,,19 000 ,18 000 , 21 000,,21 000 ,19 000 , 23 000,,23 000 ,20 000 , 25 000,,24 000 ,22 000 , 27 000,,27 000 ,24 000 , 30 000,,29 000 ,25 000 , 33 000,
Angola,30 000 ,18 000 , 49 000,,36 000 ,22 000 , 58 000,,43 000 ,27 000 , 66 000,,51 000 ,33 000 , 75 000,,59 000 ,39 000 , 83 000,,67 000 ,47 000 , 93 000,,76 000 ,55 000 , 100 000,,85 000 ,62 000 , 110 000,,93 000 ,71 000 , 120 000,,100 000 ,79 000 , 130 000,,110 000 ,86 000 , 140 000,,120 000 ,94 000 , 150 000,,130 000 ,100 000 , 160 000,,140 000 ,110 000 , 170 000,,150 000 ,120 000 , 180 000,,160 000 ,130 000 , 190 000,,170 000 ,140 000 , 190 000,,170 000 ,150 000 , 200 000,,190 000 ,160 000 , 210 000,,200 000 ,170 000 , 230 000,,210 000 ,180 000 , 230 000,,220 000 ,190 000 , 250 000,,230 000 ,200 000 , 260 000,,240 000 ,210 000 , 270 000,,250 000 ,220 000 , 280 000,,260 000 ,230 000 , 290 000,,270 000 ,240 000 , 310 000,,280 000 ,250 000 , 320 000,,290 000 ,250 000 , 330 000,,290 000 ,260 000 , 330 000,,300 000 ,270 000 , 340 000,,310 000 ,270 000 , 350 000,,310 000 ,280 000 , 360 000,,320 000 ,280 000 , 360 000,,330 000 ,290 000 , 370 000,
Antigua and Barbuda,<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , 520,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",500 ,<500 , 550,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",530 ,<500 , 570,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",560 ,<500 , 600,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",580 ,510 , 630,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",610 ,540 , 660,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",640 ,580 , 700,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",670 ,600 , 730,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",690 ,630 , 760,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",720 ,640 , 790,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",740 ,660 , 820,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",770 ,680 , 860,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",800 ,700 , 900,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,17 000 ,15 000 , 19 000,,22 000 ,20 000 , 24 000,,26 000 ,23 000 , 29 000,,31 000 ,27 000 , 33 000,,35 000 ,31 000 , 37 000,,38 000 ,34 000 , 41 000,,42 000 ,37 000 , 45 000,,45 000 ,40 000 , 48 000,,48 000 ,42 000 , 51 000,,51 000 ,46 000 , 55 000,,55 000 ,49 000 , 59 000,,59 000 ,52 000 , 62 000,,62 000 ,56 000 , 66 000,,66 000 ,60 000 , 70 000,,70 000 ,63 000 , 74 000,,74 000 ,67 000 , 78 000,,77 000 ,70 000 , 82 000,,81 000 ,73 000 , 86 000,,85 000 ,77 000 , 90 000,,88 000 ,80 000 , 94 000,,92 000 ,84 000 , 98 000,,96 000 ,87 000 , 100 000,,99 000 ,90 000 , 110 000,,100 000 ,93 000 , 110 000,,110 000 ,96 000 , 110 000,,110 000 ,99 000 , 120 000,,110 000 ,100 000 , 120 000,,120 000 ,110 000 , 130 000,,120 000 ,110 000 , 130 000,,120 000 ,110 000 , 130 000,,130 000 ,110 000 , 140 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 140 000,,140 000 ,120 000 , 150 000,,140 000 ,130 000 , 150 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , 510,,<500 ,<500 , 670,,580 ,<500 , 860,,760 ,520 , 1100,,960 ,680 , 1400,,1200 ,860 , 1600,,1500 ,1100 , 2000,,1700 ,1300 , 2300,,2000 ,1600 , 2600,,2400 ,1900 , 3000,,2700 ,2200 , 3300,,3100 ,2600 , 3700,,3500 ,2900 , 4100,,3800 ,3300 , 4500,,4200 ,3600 , 4900,,4600 ,3900 , 5500,,5000 ,4300 , 6100,,5400 ,4500 , 6500,,5800 ,4800 , 7100,,6300 ,5100 , 8000,,6900 ,5500 , 9100,,7300 ,5700 , 10 000,
Australia,10 000 ,9900 , 11 000,,10 000 ,9900 , 11 000,,10 000 ,9800 , 11 000,,10 000 ,9600 , 11 000,,9800 ,9300 , 10 000,,9500 ,9000 , 10 000,,9600 ,9100 , 10 000,,10 000 ,9400 , 11 000,,11 000 ,9900 , 11 000,,11 000 ,10 000 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 13 000,,13 000 ,12 000 , 14 000,,14 000 ,13 000 , 15 000,,15 000 ,14 000 , 16 000,,16 000 ,15 000 , 17 000,,17 000 ,16 000 , 18 000,,18 000 ,16 000 , 19 000,,18 000 ,17 000 , 20 000,,19 000 ,18 000 , 21 000,,20 000 ,19 000 , 22 000,,21 000 ,19 000 , 23 000,,22 000 ,20 000 , 24 000,,23 000 ,21 000 , 25 000,,23 000 ,22 000 , 25 000,,24 000 ,22 000 , 26 000,,25 000 ,23 000 , 27 000,,26 000 ,24 000 , 28 000,,27 000 ,25 000 , 29 000,,28 000 ,25 000 , 30 000,,29 000 ,26 000 , 31 000,,29 000 ,26 000 , 32 000,,30 000 ,27 000 , 33 000,,30 000 ,27 000 , 34 000,,31 000 ,27 000 , 34 000,
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,<500 ,<100 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , 530,"Children estimates were not available at the time of publication.",<500 ,<200 , 640,"Children estimates were not available at the time of publication.",<500 ,<500 , 800,"Children estimates were not available at the time of publication.",680 ,<500 , 1100,"Children estimates were not available at the time of publication.",960 ,560 , 1500,"Children estimates were not available at the time of publication.",1300 ,780 , 2000,"Children estimates were not available at the time of publication.",1900 ,1100 , 2800,"Children estimates were not available at the time of publication.",2500 ,1600 , 3600,"Children estimates were not available at the time of publication.",3200 ,2000 , 4400,"Children estimates were not available at the time of publication.",3900 ,2500 , 5400,"Children estimates were not available at the time of publication.",4500 ,3100 , 6100,"Children estimates were not available at the time of publication.",5100 ,3700 , 6900,"Children estimates were not available at the time of publication.",5600 ,4200 , 7500,"Children estimates were not available at the time of publication.",6100 ,4700 , 8000,"Children estimates were not available at the time of publication.",6400 ,5000 , 8400,"Children estimates were not available at the time of publication.",6700 ,5300 , 8500,"Children estimates were not available at the time of publication.",7000 ,5600 , 8700,"Children estimates were not available at the time of publication.",7200 ,5800 , 9000,"Children estimates were not available at the time of publication.",7400 ,6000 , 9200,"Children estimates were not available at the time of publication.",7600 ,6100 , 9300,"Children estimates were not available at the time of publication.",7800 ,6300 , 9400,"Children estimates were not available at the time of publication.",7900 ,6500 , 9600,"Children estimates were not available at the time of publication.",8100 ,6700 , 9800,"Children estimates were not available at the time of publication.",8200 ,6800 , 9900,"Children estimates were not available at the time of publication.",8400 ,7000 , 9900,"Children estimates were not available at the time of publication.",8500 ,7200 , 10 000,"Children estimates were not available at the time of publication.",8600 ,7400 , 10 000,"Children estimates were not available at the time of publication.",8800 ,7600 , 10 000,"Children estimates were not available at the time of publication.",9100 ,7800 , 11 000,"Children estimates were not available at the time of publication.",9200 ,8000 , 11 000,"Children estimates were not available at the time of publication.",9400 ,8000 , 11 000,"Children estimates were not available at the time of publication.",9600 ,8100 , 11 000,"Children estimates were not available at the time of publication.",9700 ,8200 , 11 000,"Children estimates were not available at the time of publication.",9800 ,8300 , 11 000,"Children estimates were not available at the time of publication."
