Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Afghanistan,<500 ,<100 , <500,,<500 ,<100 , 560,,<500 ,<200 , 750,,500 ,<200 , 920,,600 ,<500 , 1100,,710 ,<500 , 1300,,810 ,<500 , 1500,,920 ,<500 , 1800,,1000 ,<500 , 2100,,1200 ,520 , 2400,,1200 ,580 , 2600,,1400 ,650 , 2900,,1600 ,780 , 3500,,1800 ,920 , 4300,,2000 ,990 , 4900,,2200 ,1100 , 5700,,2500 ,1200 , 6700,,2700 ,1300 , 7500,,3000 ,1400 , 8500,,3300 ,1500 , 9600,,3600 ,1600 , 11 000,,4000 ,1700 , 13 000,,4400 ,1800 , 14 000,,4800 ,1800 , 16 000,,5300 ,2000 , 19 000,,5800 ,2100 , 21 000,,6300 ,2300 , 24 000,,6900 ,2500 , 26 000,,7500 ,2600 , 29 000,,8200 ,2800 , 32 000,,8900 ,2900 , 35 000,,9400 ,3100 , 40 000,,10 000 ,3100 , 46 000,,11 000 ,3100 , 51 000,,12 000 ,3100 , 59 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",510 ,<500 , 560,"Children estimates were not available at the time of publication.",560 ,510 , 610,"Children estimates were not available at the time of publication.",610 ,560 , 660,"Children estimates were not available at the time of publication.",660 ,600 , 710,"Children estimates were not available at the time of publication.",710 ,640 , 770,"Children estimates were not available at the time of publication.",750 ,680 , 810,"Children estimates were not available at the time of publication.",790 ,720 , 860,"Children estimates were not available at the time of publication.",820 ,750 , 890,"Children estimates were not available at the time of publication.",850 ,770 , 920,"Children estimates were not available at the time of publication.",880 ,800 , 950,"Children estimates were not available at the time of publication.",910 ,830 , 990,"Children estimates were not available at the time of publication.",950 ,850 , 1000,"Children estimates were not available at the time of publication.",980 ,860 , 1100,"Children estimates were not available at the time of publication.",1000 ,880 , 1100,"Children estimates were not available at the time of publication.",1000 ,890 , 1200,"Children estimates were not available at the time of publication."
Algeria,<500 ,<500 , <500,,520 ,<500 , 560,,610 ,560 , 660,,720 ,670 , 770,,850 ,790 , 900,,1000 ,940 , 1100,,1200 ,1100 , 1200,,1400 ,1300 , 1400,,1600 ,1600 , 1700,,2000 ,1900 , 2000,,2300 ,2200 , 2400,,2700 ,2600 , 2800,,3200 ,3100 , 3300,,3700 ,3600 , 3900,,4400 ,4200 , 4500,,5100 ,4800 , 5300,,5900 ,5600 , 6100,,6800 ,6400 , 7000,,7700 ,7300 , 8000,,8500 ,8000 , 8900,,9300 ,8800 , 9800,,10 000 ,9500 , 10 000,,11 000 ,10 000 , 11 000,,11 000 ,11 000 , 12 000,,12 000 ,11 000 , 12 000,,13 000 ,12 000 , 13 000,,13 000 ,13 000 , 14 000,,14 000 ,13 000 , 15 000,,15 000 ,14 000 , 16 000,,16 000 ,15 000 , 17 000,,17 000 ,16 000 , 19 000,,18 000 ,17 000 , 21 000,,20 000 ,18 000 , 22 000,,21 000 ,19 000 , 24 000,,23 000 ,20 000 , 26 000,
Angola,28 000 ,16 000 , 44 000,,34 000 ,20 000 , 52 000,,40 000 ,25 000 , 62 000,,47 000 ,30 000 , 71 000,,54 000 ,37 000 , 78 000,,62 000 ,44 000 , 85 000,,70 000 ,50 000 , 93 000,,78 000 ,57 000 , 100 000,,86 000 ,65 000 , 110 000,,94 000 ,73 000 , 120 000,,100 000 ,81 000 , 130 000,,110 000 ,87 000 , 140 000,,120 000 ,96 000 , 150 000,,130 000 ,100 000 , 150 000,,140 000 ,110 000 , 160 000,,140 000 ,120 000 , 170 000,,150 000 ,130 000 , 180 000,,160 000 ,140 000 , 190 000,,170 000 ,150 000 , 200 000,,180 000 ,160 000 , 200 000,,190 000 ,170 000 , 210 000,,200 000 ,180 000 , 220 000,,210 000 ,180 000 , 230 000,,210 000 ,190 000 , 240 000,,220 000 ,200 000 , 250 000,,230 000 ,210 000 , 260 000,,240 000 ,210 000 , 260 000,,250 000 ,220 000 , 270 000,,250 000 ,220 000 , 280 000,,260 000 ,230 000 , 290 000,,260 000 ,230 000 , 290 000,,270 000 ,240 000 , 300 000,,270 000 ,240 000 , 300 000,,270 000 ,240 000 , 300 000,,280 000 ,250 000 , 310 000,
Antigua and Barbuda,<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , 510,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , 530,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , 540,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , 550,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",500 ,<500 , 570,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",510 ,<500 , 580,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",530 ,<500 , 600,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,17 000 ,15 000 , 18 000,,21 000 ,20 000 , 22 000,,25 000 ,24 000 , 27 000,,29 000 ,28 000 , 31 000,,33 000 ,31 000 , 34 000,,36 000 ,34 000 , 38 000,,39 000 ,37 000 , 41 000,,42 000 ,39 000 , 44 000,,45 000 ,42 000 , 47 000,,48 000 ,45 000 , 51 000,,51 000 ,48 000 , 54 000,,55 000 ,51 000 , 57 000,,58 000 ,54 000 , 60 000,,61 000 ,57 000 , 64 000,,64 000 ,60 000 , 67 000,,67 000 ,62 000 , 70 000,,69 000 ,65 000 , 73 000,,72 000 ,67 000 , 76 000,,75 000 ,70 000 , 79 000,,77 000 ,72 000 , 81 000,,80 000 ,74 000 , 84 000,,82 000 ,76 000 , 86 000,,84 000 ,78 000 , 89 000,,86 000 ,80 000 , 91 000,,88 000 ,81 000 , 93 000,,89 000 ,83 000 , 95 000,,91 000 ,84 000 , 97 000,,92 000 ,85 000 , 98 000,,93 000 ,86 000 , 99 000,,94 000 ,86 000 , 100 000,,94 000 ,87 000 , 100 000,,95 000 ,87 000 , 100 000,,95 000 ,87 000 , 100 000,,95 000 ,87 000 , 100 000,,95 000 ,86 000 , 100 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , 610,,530 ,<500 , 780,,680 ,<500 , 970,,850 ,610 , 1200,,1000 ,760 , 1400,,1200 ,950 , 1600,,1500 ,1100 , 1900,,1700 ,1300 , 2200,,2000 ,1600 , 2400,,2200 ,1800 , 2700,,2500 ,2100 , 3000,,2800 ,2300 , 3200,,3000 ,2600 , 3500,,3300 ,2800 , 3900,,3600 ,3100 , 4300,,3900 ,3300 , 4700,,4200 ,3400 , 5200,,4400 ,3500 , 5600,,4700 ,3700 , 6400,,5200 ,4000 , 7300,,5400 ,4000 , 8100,
Australia,9200 ,7700 , 11 000,,9200 ,7700 , 11 000,,9000 ,7600 , 11 000,,8800 ,7300 , 10 000,,8500 ,7100 , 9900,,8100 ,6800 , 9500,,8100 ,6700 , 9400,,8200 ,6900 , 9600,,8400 ,7100 , 9900,,8700 ,7300 , 10 000,,9000 ,7600 , 10 000,,9300 ,7800 , 11 000,,9600 ,8100 , 11 000,,9900 ,8400 , 12 000,,10 000 ,8700 , 12 000,,11 000 ,8900 , 13 000,,11 000 ,9200 , 13 000,,11 000 ,9400 , 13 000,,11 000 ,9500 , 14 000,,12 000 ,9600 , 14 000,,12 000 ,9800 , 14 000,,12 000 ,9900 , 14 000,,12 000 ,10 000 , 15 000,,12 000 ,10 000 , 15 000,,12 000 ,10 000 , 15 000,,13 000 ,10 000 , 15 000,,13 000 ,10 000 , 15 000,,13 000 ,11 000 , 16 000,,13 000 ,11 000 , 16 000,,13 000 ,11 000 , 16 000,,13 000 ,11 000 , 16 000,,13 000 ,11 000 , 16 000,,13 000 ,11 000 , 16 000,,13 000 ,11 000 , 16 000,,13 000 ,10 000 , 15 000,
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , 590,"Children estimates were not available at the time of publication.",<500 ,<500 , 750,"Children estimates were not available at the time of publication.",630 ,<500 , 1000,"Children estimates were not available at the time of publication.",900 ,530 , 1400,"Children estimates were not available at the time of publication.",1300 ,740 , 1900,"Children estimates were not available at the time of publication.",1700 ,1100 , 2600,"Children estimates were not available at the time of publication.",2300 ,1500 , 3300,"Children estimates were not available at the time of publication.",3000 ,1900 , 4200,"Children estimates were not available at the time of publication.",3600 ,2400 , 5000,"Children estimates were not available at the time of publication.",4200 ,2900 , 5700,"Children estimates were not available at the time of publication.",4800 ,3400 , 6400,"Children estimates were not available at the time of publication.",5200 ,3800 , 6900,"Children estimates were not available at the time of publication.",5600 ,4200 , 7400,"Children estimates were not available at the time of publication.",5900 ,4600 , 7500,"Children estimates were not available at the time of publication.",6100 ,4900 , 7800,"Children estimates were not available at the time of publication.",6300 ,5100 , 8000,"Children estimates were not available at the time of publication.",6500 ,5100 , 8000,"Children estimates were not available at the time of publication.",6600 ,5300 , 8100,"Children estimates were not available at the time of publication.",6700 ,5400 , 8100,"Children estimates were not available at the time of publication.",6800 ,5600 , 8100,"Children estimates were not available at the time of publication.",6800 ,5700 , 8200,"Children estimates were not available at the time of publication.",6900 ,5800 , 8300,"Children estimates were not available at the time of publication.",6900 ,5800 , 8200,"Children estimates were not available at the time of publication.",7000 ,5900 , 8200,"Children estimates were not available at the time of publication.",7000 ,6000 , 8200,"Children estimates were not available at the time of publication.",7000 ,6100 , 8200,"Children estimates were not available at the time of publication.",7100 ,6100 , 8300,"Children estimates were not available at the time of publication.",7200 ,6200 , 8400,"Children estimates were not available at the time of publication.",7200 ,6200 , 8400,"Children estimates were not available at the time of publication.",7200 ,6200 , 8500,"Children estimates were not available at the time of publication.",7200 ,6100 , 8400,"Children estimates were not available at the time of publication.",7200 ,6100 , 8400,"Children estimates were not available at the time of publication.",7100 ,6000 , 8500,"Children estimates were not available at the time of publication."
