Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Belarus,97.1,"Source: Behavioral surveillance survey, 2024"
China,93.4,"Source: National AIDS Comprehensive Response Data Information Management"
Colombia,61.9,"Source: Información programática reportada a la Cuenta de Alto Costo, 2024"
Dominican Republic,56.1,"Source: Sistema de Registro Nacional de Atención Integral (SIRNAI)-Modulo FAPPS"
India,73.8,"Source: HSS 2024"
Indonesia,52,"Source: Behavioral surveillance survey, 2023"
Kazakhstan,75.3,"Source: Programme data, 2024"
Kenya,99.4,"Source: Behavioral surveillance survey, 2024"
Kyrgyzstan,77,"Source: BSS, 2021"
Pakistan,4.3,"Source: Program Data/Health Facility Data"
Philippines,57.6,"Source: HIV/AIDS Registry of the Philippines, 2024"
Republic of Moldova,67,"Source: Behavioral surveillance survey, 2024"
Rwanda,61.2,"Source: Behavioral surveillance survey, 2024"
South Africa,61.7,"Source: Behavioral surveillance survey, 2024"
Tajikistan,76.2,"Source: Programme data, 2024"
Thailand,77.3,"Source: NAP report, 2024"
Togo,52.4,"Source: DHIS2 et ESSG 2017"
Ukraine,86.2,"Source: BBS, 2020"
Viet Nam,61.7,"Source: Sentinel surveillance, 2023"
Zambia,74.6,"Source: Programme Data (DATIM), 2023"
