Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Albania,27.6,"Source: Behavioral surveillance survey, 2024"
Algeria,37.7,"Source: Behavioral surveillance survey, 2024"
Azerbaijan,35.7,"Source: BSS, 2022"
Bangladesh,48.6,"Source: Integrated Biological and Behavioural surveillance Survey, 2020-2021 (unpublished)"
Belarus,46.3,"Source: Behavioral surveillance survey, 2024"
Benin,71.3,"Source: IBBS, 2022"
Cameroon,100,"Source: Behavioral surveillance survey, 2023"
China,67,"Source: Sentinel surveillance, 2024"
Croatia,31.2,"Source: ECDC (Behavioral surveillance survey)"
Democratic Republic of the Congo,29.5,"Source: Rapport de cartographie et estimation de la taille des populations clés dans 9 provinces de la RDC"
Ethiopia,76.6,"Source: Behavioral surveillance survey, 2024"
Georgia,38.1,"Source: IBBS, 2022"
Greece,26.9,"Source: ECDC (Routine programme data)"
India,65.9,"Source: HSS 2024"
Indonesia,26,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),30.4,"Source: Behavioral surveillance survey, 2023"
Kazakhstan,62.4,"Source: Behavioral surveillance survey, 2024"
Kyrgyzstan,53.7,"Source: BSS, 2021"
Malaysia,10,"Source: IBBS, 2022"
Mauritius,28.2,"Source: BSS, 2021"
Montenegro,33.3,"Source: Integrated Behavioral Biological Study among PWID in Podgorica"
Morocco,33.3,"Source: Behavioral surveillance survey, 2023"
Nepal,66.3,"Source: Behavioral Surveillance Survey, 2020"
Nigeria,46.5,"Source: Behavioral Surveillance Survey, 2020"
Portugal,30.1,"Source: ECDC (Portuguese Community Screening Network and Lisbon Cohort of MSM)"
Republic of Moldova,29.8,"Source: Behavioral surveillance survey, 2024"
Romania,34,"Source: ECDC (Behavioral surveillance survey)"
Rwanda,30.3,"Source: Behavioral surveillanve survey, 2024"
Serbia,34.3,"Source: BSS, 2021"
Sierra Leone,4.1,"Source: BBSS, 2021"
Tajikistan,37.8,"Source: Behavioral Surveillance Survey, 2022"
Thailand,32.6,"Source: Behavioral surveillance survey, 2023"
Togo,79.7,"Source: ESSG-Togo 2022"
Ukraine,43.4,"Source:  IBBS among PWID 2020"
Uzbekistan,54.6,"Source: Behavioral surveillance survey, 2023"
Viet Nam,49.3,"Source: Sentinel surveillance, 2023"
Zambia,44.4,"Source: Behavioral surveillance survey, 2023"
