Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Azerbaijan,33.9,"Source: Behavioral Surveillance Survey, 2022"
Bangladesh,53.7,"Source: Integrated Biological and Behavioural surveillance Survey, 2020-2021 (unpublished)"
Belarus,71.7,"Source: Behavioral surveillance survey and programme data, 2024"
Benin,26.8,"Source: IBBS, 2022"
Cameroon,3,"Source: Behavioral surveillance survey and programme data, 2023"
Colombia,37.8,"Source: BSS, 2021"
Democratic Republic of the Congo,22.5,
Georgia,49.3,"Source: IBBS, 2022"
Indonesia,5,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),11.7,"Source: Behavioral surveillance survey, 2023"
Kazakhstan,74.2,"Source: IBBS, 2022"
Kyrgyzstan,53.9,"Source: BSS, 2021"
Malaysia,20.6,"Source: IBBS, 2022"
Montenegro,55,"Source: Bio-behavioural study among PWID, 2020"
Morocco,49.3,"Source: Behavioral surveillance survey, 2023"
Republic of Moldova,41.3,"Source: Behavioral surveillance survey and programme data, 2024"
Tajikistan,39.9,"Source: IBBS, 2022"
Thailand,62.1,"Source: Behavioral surveillance survey, 2023"
Togo,24.2,"Source: IBBS, 2022"
Viet Nam,22.1,"Source: Sentinel surveillance, 2023"
Zambia,37.7,
