Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Albania,0.8,"Source: Behavioral surveillance survey, 2024"
Algeria,1.1,"Source: Behavioral surveillance survey, 2024"
Austria,0.5,"Source: ECDC (Drug treatment facilities)"
Azerbaijan,6.2,"Source: BSS, 2022"
Bangladesh,2.4,"Source: Integrated Biological and Behavioural surveillance Survey, 2020-2021 (unpublished)"
Belarus,28.7,"Source: Sentinel surveillance, 2024"
Benin,2.1,"Source: IBBS, 2022"
Bulgaria,2.5,"Source: ECDC (National programme data, 2023)"
Chad,3.7,"Source: Behavioral surveillance survey, 2024"
China,4.8,"Source: Sentinel surveillance, 2024"
Comoros,0,"Source: Behavioral surveillance survey, 2023"
Croatia,1,"Source: ECDC (Behavioral surveillance survey, 2022)"
Cyprus,7.5,"Source: ECDC (Programme data, 2023)"
Czechia,0.3,"Source: ECDC (https://www.drogy-info.cz/en/situation-reports-cz/summary-of-the-report-on-illicit-drugs-in-the-czech-republic-2022)"
Egypt,10.9,"Source: Behavioral surveillance survey, 2024"
Ethiopia,3.7,"Source: EPHI"
Georgia,0.1,"Source: National programme data, 2023"
Greece,9,"Source: ECDC (Greek Reitox Focal Point)"
Guatemala,3,"Source: Behavioral surveillance survey, 2024"
India,8.1,"Source: HSS 2024"
Indonesia,28,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),1.2,"Source: Behavioral surveillance survey, 2023"
Kazakhstan,7.2,"Source: Sentinel surveillance, 2024"
Kenya,9.1,"Source: Behavioral surveillance survey, 2024"
Kyrgyzstan,18,"Source: BSS, 2021"
Latvia,7,"Source: ECDC (Cross-sectional study)"
Lithuania,13.3,"Source: ECDC (Drug, tobacco and alcohol control department)"
Malaysia,7.5,"Source: IBBS, 2022"
Mauritius,21.2,"Source: BSS, 2021"
Montenegro,0.5,"Source: Integrated Behavioral Biological Study among PWID in Podgorica"
Morocco,5.3,"Source: Behavioral surveillance survey, 2023"
Myanmar,22.3,"Source: HSS, 2023"
Nepal,2.7,"Source: Behavioral Surveillance Survey, 2020"
Netherlands,0.3,"Source: ECDC (Sentinel surveillance)"
Nicaragua,0,"Source: Behavioral Surveillance Survey, 2020"
Nigeria,10.9,"Source: BSS, 2020"
Poland,14,"Source: ECDC (IBBS)"
Portugal,20.3,"Source: ECDC (Multidisciplinary Information System)"
Republic of Moldova,16.7,"Source: Behavioral surveillance survey, 2024"
Romania,20.9,"Source: ECDC (Behavioral surveillance survey)"
Rwanda,10.9,"Source: Behavioral surveillance survey, 2024"
Serbia,2.3,"Source: BSS, 2021"
Sierra Leone,4.2,"Source: BBSS, 2021"
Spain,33.4,"Source: ECDC (https://pnsd.sanidad.gob.es/profesionales/sistemasInformacion/informesEstadisticas/pdf/2024_OEDA-Informe.pdf)"
Tajikistan,8.9,"Source: Behavioral Surveillance Survey, 2022"
Thailand,10.3,"Source: Behavioral surveillance survey, 2023"
Togo,3.4,"Source: Enquête de Surveillance de Seconde Génération (SSG) du VIH couplée de la cartographie programmatique chez les populations clés"
Tunisia,8.8,"Source: Enquête IBBS 2021 Usagers des drogues injectables"
Ukraine,20.9,"Source: IBBS among PWID 2020"
United Kingdom,2,"Source: ECDC (National programme data, 2021)"
Uzbekistan,2.4,"Source: Sentinel surveillance survey, 2024"
Viet Nam,9.1,"Source: Sentinel surveillance, 2023"
Zambia,10.9,"Source: Program data, 2023"
