Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Algeria,5000,"Region: Annaba, Alger, Tiaret and Oran; Methods: Unique object multiplier; Source: Enquête IBBS, 2024"
Azerbaijan,56 500,"Region: 9 cities; Method: Capture-recapture and multiplier; Source: Size estimation 2022"
Bangladesh,34 400,"Region: 22 districts; Method: Unknown; Source: Mapping and Size Estimation of Key Populations and HIV Risk Behaviors in Bangladesh 2023"
Belarus,80 000,"Region: National; Methods: Multiplier and experts' opinion;"
Benin,800,"Region: National; Methods: SS-PSE; Source: ENQUETE DE SURVEILLANCE DE DEUXIEME GENERATION AU SEIN DES HSH ET CDI, CARTOGRAPHIE DES LIEUX DE SOCIALISATION ET ESTIMATION DE TAILLE, 2022"
Cambodia,1300,"Region: Phnom Penh; Methods: Unique object multiplier and RDS-SS; Source: Behavioral surveillance survey, 2024"
Cameroon,2600,"Region: Douala and Yaoundé; Methods: Wisdom of the crowds and unique object and service multiplier; Source: Behavioral surveillance survey, 2023"
Canada,90 000,"Region: National; Methods: % of adult population;"
Chad,1700,"Region: 6 cities; Methods: RDS-SS; Source: Behavioral surveillance survey, 2024"
Colombia,7600,"Region: National; Source: Proyecciones DANE 2021 a partir de Encuesta Nacional de Demografía y Salud 2015. Estudio de prevalencia de VIH, Hepatitis C, Hepatitis B, Sífilis y comportamientos asociados en las personas que se inyectan drogas en 2021."
Czechia,45 000,"Region: National; Methods: Service multiplier; Source: ECDC"
Democratic Republic of the Congo,168 000,"Region: National; Methods: Objet unique, Événement social and extrapolation; Source: KP workbook"
Denmark,16 000,"Region: National; Method: Unknown; Source: ECDC"
Egypt,272 900,"Region: National; Methods: Unique object and service multiplier; Source: Population size estimate, 2024"
Eswatini,300,"Region: National; Methods: Delphi method; Source: IBBS 2020"
Georgia,50 000,"Region: National; Methods: 1. Network scale-up  2. benchmark-multiplier method with sinthetic estimation; Source: IBBS, 2022"
Guinea,600,"Region: Conakry; Methods: Unique object multiplier, service multiplier, mapping, SS-PSE and population growth; Source: ESCOMB"
India,288 700,"Region: 654 districts; Methods: Programmatic Mapping; Source: PROGRAMMATIC MAPPING AND POPULATION SIZE ESTIMATION (p-MPSE) OF HIGH-RISK GROUPS"
Indonesia,27 100,"Region: National; Methods: Multiple regression models;"
Kazakhstan,74 000,"Region: National; Methods: Multiplier;"
Kenya,30 600,"Region: National; Methods: RDS-SS; Source: Behavioral surveillance survey, 2024"
Lao People's Democratic Republic,1900,"Region: National; Methods: AEM; Source: AEM"
Malawi,8400,"Region: National; Methods: Unknown; Source: KP workbook"
Malaysia,60 000,"Region: National; Methods: Multiplier; Source: BSS, 2022"
Mali,7900,"Region: National; Methods: Small-area estimation; Source: Spectrum and SAE"
Myanmar,117 000,"Region: National; Methods: Mapping and extrapolation; Source: PWID hotspot and PSE mapping"
Nepal,44 400,"Region: National; Methods: Mapping, capture-recapture, network scale-up, multiplier and further Bayesian modeling ; Source: MAPPING AND SIZE ESTIMATION OF KEY POPULATIONS IN NEPAL, 2024"
New Zealand,2800,"Region: Northern Region; Methods: Service multiplier; Source: New Zealand Needle Exchange Programme"
Nigeria,446 000,"Region: National; Methods: Programmatic mapping and capture -  recapture; Source: Key population size estimate, 2022"
Philippines,9800,"Region: Cebu province; Methods: Unique object multiplier and service multiplier; Source: 2024 Key Population Size Estimates Philippine Statistics Authority Census 2020 World Population Prospects 2022"
Republic of Moldova,21 800,"Region: National; Methods: Multiplier, capture-recapture, successive sampling and consensus ; Source: Behavioral surveillance survey, 2024"
Rwanda,3300,"Region: National; Methods: Cross Network Analysis; Source: Mapping & Size estimation of People Who use Drugs (PWUD) and determination of their risks to HIV and Viral Hepatitis infections."
Senegal,1000,"Region: National; Methods: % of adult population and projection; Source: Estimation ajustée PSN 2018-2023"
Serbia,15 000,"Region: National; Methods: Multiplier method and programmatic data;"
Seychelles,2600,"Region: National; Methods: Active client Register; Source: Harm Reduction Service Data"
South Africa,82 500,"Region: National; Methods: Delphi;"
Tajikistan,18 000,"Region: 6 sites; Methods: Multiplier; Source: IBBS, 2022"
Thailand,58 200,"Region: National; Methods: RDS, SSPSE and Service multiplier; Source: Behavioral surveillance survey, 2024"
Uganda,7200,"Region: National; Method: Data triangulation; Source: Key population size mapping & estimation and its role in determining HIV testing and prevention priorities in Uganda"
United Republic of Tanzania,32 000,"Region: National; Method: Capture-recapture and others; Source: Population size estimates and NMSF V, 2023"
Zambia,30 000,"Region: National; Method: 3 source capture recapture and extrapolation; Source: Johns Hopkins University Estimates , 2022"
