Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Argentina,100,"Source: Programme data, 2023"
Belarus,95.6,"Source: Programme data, 2024"
Burkina Faso,21.8,"Source: Programme data, 2021"
Cambodia,100,"Source: Programme data, 2024"
Canada,98,"Source: Programme data, 2024"
Chad,41,"Source: Behavioral surveillance survey, 2024"
Chile,95.2,"Source: Gendarmería de Chile y el Servicio Nacional de Menores (SENAME)"
Colombia,89.2,"Source: Programme data, 2024"
Costa Rica,90.9,"Source: Ministerio de Justicia y Paz"
Côte d'Ivoire,86.1,"Source: Programme data, 2021"
Dominican Republic,6.7,"Source: Sistema de Registro Nacional de Atención Integral (SIRNAI)-Modulo FAPPS"
Ecuador,33.1,"Source: REGISTROS ADMINISTRATIVOS SNAI - SERVICIO DE ATENCIÓN INTEGRAL A PERSONAS PRIVADAS DE LA LIBERTAD"
El Salvador,100,"Source: Herramienta de monitoreo y evaluación CP y MINSAL"
Estonia,98,"Source: Programme data, 2020"
Ghana,100,"Source: Programme data, 2023"
Guatemala,96.4,"Source: Unidades de Atención Integral del Ministerio de Salud Publica y Asistencia Social (MSPAS), 2024"
Haiti,100,"Source: Rapport HTW Haiti"
Honduras,49.5,"Source: Programme data, 2024"
India,50.9,"Source: HSS Plus 2023"
Iran (Islamic Republic of),78.9,"Source: Programme data, 2024"
Kazakhstan,97.3,"Source: Programme data, 2024"
Malawi,97.1,"Source: Programme data, 2024"
Mauritius,82,"Source: Programme data, 2021"
Namibia,99.8,"Source: Programme data, 2024"
Oman,0.5,"Source: Programme data, 2024"
Pakistan,99.2,"Source: Electronic tracking system for HIV cases, 2020"
Panama,91,"Source: Programme data, 2024"
Peru,97.6,"Source: HOJA DE MONITOREO PROGRAMA ITS-VIH INPE, 2024"
Romania,96.7,"Source: ECDC (Surveillance data)"
Singapore,100,"Source: Programme data, 2024"
South Africa,99.6,"Source: Programme data, 2024"
Tajikistan,100,"Source: Programme data, 2024"
Thailand,64,"Source: NAP report, 2024"
Togo,35.6,"Source: Programme data, 2022"
Uganda,100,"Source: Programme data, 2023"
Ukraine,98.2,"Source: Programme data, 2024"
Uruguay,100,"Source: DIGECOOR"
Zambia,100,"Source: Programme data, 2021"
Zimbabwe,100,"Source: OI Green booklets"
