Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Albania,0,"Source: Programme data, 2021"
Argentina,1.4,"Source: HIV tests conducted by jails, prisons and other closed settings, 2021"
Azerbaijan,1.7,"Source: BSS, 2022"
Bahamas,2.5,"Source: HIV tests conducted by jails, prisons and other closed settings, 2023"
Belgium,0,"Source: ECDC (Multicentric survey in 11 Belgian prisons)"
Benin,1.2,"Source: Rapport Monitoring PSLS s2 2022"
Brunei Darussalam,0.5,"Source: HIV tests conducted in jails, prisons and other closed settings, 2023"
Cambodia,1.1,"Source: HIV tests conducted by jails, prisons and other closed settings"
Canada,1.1,"Source: HIV tests conducted by jails, prisons and, other closed settings"
Central African Republic,4.8,"Source: HIV tests conducted by jails, prisons and other closed settings, 2023"
Chad,3.7,"Source: Behavioral surveillance survey, 2024"
Chile,0.5,"Source: Gendarmería de Chile y el Servicio Nacional de Menores (SENAME)"
Colombia,2.9,"Source: HIV Tests conducted by jails, prisons and other closed settings, 2022"
Costa Rica,0.4,"Source: Ministerio de Justicia y Paz"
Czechia,2,"Source: ECDC (HIV tests conducted by prisons and protective detentions)"
Côte d'Ivoire,2,"Source: Programme data, 2023"
Democratic Republic of the Congo,1.4,"Source: HIV tests conducted by jails, prisons and other closed settings 2023"
Dominican Republic,4.8,"Source: Encuesta de Vigilancia de Comportamiento con Vinculación Serológica para el VIH, 2020"
El Salvador,0,"Source: HIV tests conducted by jails, prisons and other closed settings, 2024"
Estonia,0.4,"Source: HIV test conducted by jails, prisons and other closed settings, 2020"
Finland,1,"Source: ECDC (Prison heath study)"
Gambia,2.4,"Source: Program Registers, 2024"
Georgia,0.9,"Source: Programme data, 2024"
Ghana,2.1,"Source: ASSESSMENT TO INFORM STRATEGIC IMPROVEMENT IN HIV SERVICE DELIVERY IN GHANA PRISONS"
Greece,2.4,"Source: ECDC (programme data)"
Guatemala,0.5,"Source: Sistema Penitenciario, 2024"
Haiti,3.3,"Source: Programme data, 2024"
Honduras,0.3,"Source: HIV Tests conducted by jails, prisons and other closed settings, 2022"
India,1.9,"Source: HIV Sentinel Surveillance 2021 among inmates in central prisons"
Indonesia,0.9,"Source: Programme data, 2022"
Iran (Islamic Republic of),0.1,"Source: Programme data, 2024"
Jamaica,2,"Source: Programme data, 2024"
Kazakhstan,3.8,"Source: Programme data, 2024"
Lithuania,3.8,"Source: ECDC (HIV tests conducted by jails, prisons and other closed settings)"
Malawi,14.7,"Source: HIV tests conducted by jails, prisons and other closed settings, 2024"
Monaco,0,"Source: HIV tests conducted by jails, prisons and other closed settings"
Montenegro,0,"Source: BSS, 2021"
Morocco,0.2,"Source: Base de données tenue à la Délégation générale à l’administration pénitentiaire et à la réinsertion (DGAPR)"
Myanmar,2.7,"Source: Programme data, 2024"
Namibia,1.8,"Source: HIV tests conducted by jails, prisons and other closed settings"
Nicaragua,2.1,"Source: HIV tests conducted by jails, prisons and other closed settings"
Oman,0.8,"Source: Programme data, 2023"
Panama,2,"Source: Programme data, 2024"
Philippines,0.4,"Source: HIV tests conducted by jails, prisons and other closed settings, 2023"
Portugal,3,"Source: ECDC (Direção Geral de Reinserção e Serviços Prisionais)"
Republic of Moldova,3.8,"Source: Behavioral surveillance survey, 2024"
Romania,5,"Source: ECDC (HIV tests conducted by jails, prisons and other closed settings)"
Saint Lucia,1,"Source: HIV tests conducted by jails, prisons and other closed settings, 2021"
Serbia,0,"Source: ECDC (HIV tests conducted by jails, prisons and other closed settings)"
Seychelles,0.4,"Source: Programme data, 2024"
Sierra Leone,3.7,"Source: BSSS, 2021"
Singapore,1.5,"Source: HIV tests conducted by jails, prisons and other closed settings, 2024"
South Africa,7,"Source: HIV tests conducted by jails, prisons and other closed settings, 2024"
Spain,2.9,"Source: ECDC (HIV tests conducted by jails, prisons and other closed settings)"
Tajikistan,3.4,"Source: Sentinel surveillance, 2023"
Thailand,0.7,"Source: NAP database from NHSO"
Togo,3.5,"Source: Enquête de Surveillance de Seconde Génération (SSG) du VIH couplée de la cartographie programmatique chez les populations clés (HSH, PS, UDI et détenus), Togo-2022"
Tonga,0,"Source: Programme data, 2024"
Trinidad and Tobago,0.7,"Source: HIV Testing Prison Programme Reports, 2024"
Uganda,2.3,"Source: Programme data, 2023"
Ukraine,7.9,"Source: Programme data, 2024"
United Arab Emirates,1.2,"Source: Programme data, 2023"
Uruguay,0.8,"Source: DIGECOOR (Dirección General de Coordinación)"
Venezuela (Bolivarian Republic of),0.7,"Source: Programme data, 2024"
Zambia,12.3,"Source: Sero-prevalence survey"
Zimbabwe,9.9,"Source: Prison programmes"
