,Most recent data as of 2024,Most recent data as of 2024_Footnote, Most recent data as of 2024,Most recent data as of 2024_Footnote, Most recent data as of 2024,Most recent data as of 2024_Footnote
Country,Condoms distributed to prisoners,Condoms distributed to prisoners_Footnote, Sterile needles distributed to prisoners,Sterile needles distributed to prisoners_Footnote, Prisoners receiving opioid agonist maintenance therapy,Prisoners receiving opioid agonist maintenance therapy_Footnote
Afghanistan,504,"Source: Routine programme data, 2023",,,95,"Source: Routine programme data, 2023"
Albania,6230,"Source: Programme data, 2022",,,120,"Source: Routine programme data, 2024"
Antigua and Barbuda,10 257,"Source: Routine programme data, 2024",,,,
Argentina,187 200,"Source: Routine programme data, 2023",,,,
Armenia,2487,"Source: Routine programme data, 2024",,,210,"Source: Routine programme data, 2024"
Azerbaijan,16 896,"Source: Routine programme data, 2023",,,,
Belarus,,,,,3.1,"Source: National programme data, 2024"
Bhutan,432,"Source: Routine programe data, 2022",,,,
Bulgaria,,,,,783,"Source: ECDC (Specific surveys)"
Canada,,,,,3063,"Source: Routine programme data, 2024"
Chile,25 552,"Source: Gendarmería de Chile y el Servicio Nacional de Menores (SENAME)",,,,
Colombia,13 520,"Source: Routine programme data, 2024",,,,
Costa Rica,4100,"Source: Ministerio de Justicia y Paz",,,,
Czechia,164,"Source: Statistical Yearbook of the Prison Service of the Czech Republic",,,182,"Source: ECDC (Routine programme data)"
Democratic Republic of the Congo,38 992,"Source: Rapport d'activités du Ministère de la Justice en 2023",,,,
Dominican Republic,120 750,"Source: Routine programme data, 2022",,,,
El Salvador,4054,"Source: Routine programme data, 2021",,,,
Estonia,,,,,85,"Source: ECDC (Routine programme data)"
Georgia,5000,"Source: Routine programme data, 2024",,,28.8,"Source: National programme data, 2024"
Greece,,,,,216,"Source: ECDC (Routine programme data)"
Guatemala,25 008,"Source: Routine programme data, 2024",,,,
Honduras,52 772,"Source: Instituto Nacional Penitenciario, 2022",,,,
Indonesia,,,,,2.9,"Source: National programme data, 2024"
Iran (Islamic Republic of),54 417,"Source: Programme data, 2024",,,83 240,"Source: Programme data, 2024"
Kazakhstan,150 225,"Source: Routine programme data, 2024",,,7,"Source: National programme data, 2024"
Kenya,,,,,14,
Kyrgyzstan,21 928,"Source: Routine programme data, 2020",126 005,"Source: Routine programme data, 2020",19.6,"Source: National programme data, 2024"
Lithuania,,,,,223,"Source: ECDC (Routine statistical reports of the health care units of the Lithuanian Prison Service)"
Malaysia,,,,,84.7,"Source: National programme data, 2024"
Mauritius,,,,,298,"Source: Routine programme data, 2021"
Monaco,,,,,4,"Source: Routine programme data, 2023"
Morocco,,,,,273,"Source: Base de données tenue à la Délégation générale à l’administration pénitentiaire et à la réinsertion (DGAPR)."
Myanmar,,,,,15.3,"Source: National programme data, 2024"
Nepal,,,,,3.3,"Source: National programme data, 2024"
Nicaragua,29 550,"Source: Registros del sistema penitenciario (MINT)",,,,
Panama,6246,"Source: Routine programme data, 2024",,,,
Paraguay,28 123,"Source: Routine programme data, 2022",,,,
Peru,229 062,"Source: HOJA DE MONITOREO PROGRAMA ITS - VIH INPE, 2024",47 500,"Source: HOJA DE MONITOREO PROGRAMA ITS - VIH INPE, 2024",,
Portugal,26 800,"Source: ECDC (Routine programme data)",,,873,"Source: ECDC (Routine programme data)"
Republic of Moldova,31 762,"Source: Routine programme data, 2024",188 242,"Source: Routine programme data, 2024",161,"Source: Routine programme data, 2024"
Serbia,,,,,41.5,"Source: Republican Health Insurance Fund (RHIF), 2024"
Seychelles,23,"Source: Routine programme data, 2024",,,107,"Source: Routine programme data, 2024"
South Africa,2 198 242,"Source: Routine programme data, 2024",,,,
Spain,1 773 160,"Source: ECDC (Routine programme data)",914,"Source: ECDC (Routine programme data)",5830,"Source: ECDC (Routine programme data)"
Sweden,,,,,344,"Source: ECDC (Swedish Prison and Probation Services  )"
Tajikistan,11 261,"Source: Routine programme data, 2024",19 777,"Source: Routine programme data, 2023",15,"Source: Routine programme data, 2024"
Thailand,187 455,"Source: Routine programme data, 2024",,,4,"Source: Routine programme data, 2024"
Uganda,85 178,"Source: KP Tracker",,,,
Ukraine,642 000,"Source: Routine programme data, 2024",57 760,"Source: Routine programme data, 2024",781,"Source: Routine programme data, 2024"
Venezuela (Bolivarian Republic of),392,"Source: Routine programme data, 2024",,,,
Zimbabwe,164 100,"Source: Routine programme data, 2021",,,,
