Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Albania,1700,"Region: National; Methods: Census; Source: Official data, General Directorate of Prisons, Ministry of Justice"
Antigua and Barbuda,320,"Region: National; Methods: Census;"
Argentina,117 800,"Region: National; Method: Census; Source: Sistema Nacional de Estadística sobre Ejecución de la Pena, 2022"
Austria,9100,"Region: National; Methods: Census; Source: ECDC"
Azerbaijan,26 200,"Region: Baku; Methods: Census; Source: Prisoner registration database"
Bahamas,1500,"Region: National; Method: Census; Source: Department of Correction Records."
Belgium,10 900,"Region: National; Methods: Census; Source: ECDC"
Brazil,837 000,"Region: National; Methods: Census; Source: National Penitentiary Department, 2022"
Burkina Faso,5000,"Region: National; Methods: Census; Source: RAPPORT DE l’ETUDE BIO-COMPORTEMENTALE DU VIH-SIDA EN MILIEU CARCERAL AU BURKINA FASO, 2020"
Canada,14 100,"Region: National; Methods: Census; Source: Federal correctional institutions"
Central African Republic,1500,"Region: Bangui, Bossangoa, Bouar and Bambari; Method: Documental review"
Chad,5700,"Region: N’Djaména Moundou Doba Koumra Bongor Sarh Abéché Koro Toro; Source: Enquête biologique, comportementale et d’estimation de la taille chez les populations clés et vulnérables au VIH/sida au TCHAD : Détenus"
Chile,58 800,"Region: National; Methods: Census; Source: Gendarmería de Chile y el Servicio Nacional de Menores (SENAME)"
Colombia,103 700,"Region: National; Methods: Census; Source: Reporte del Instituto Nacional Penitenciario y Carcelario (INPEC)."
Costa Rica,16 300,"Region: National; Methods: Census; Source: Datos del Ministerio de Justicia y Paz"
Czechia,20 000,"Region: National; Methods: Census; Source: ECDC"
Côte d'Ivoire,44 000,"Region: National; Methods: Census; Source: Routine programme data, 2020"
Democratic Republic of the Congo,36 700,"Region: National; Methods: Census; Source: Direction des services pénitentiaires du Ministère de la Justice"
Dominican Republic,29 300,"Region: National; Methods: Literature review and population growth;"
Estonia,1800,"Region: National; Methods: Census; Source: ECDC"
Finland,3100,"Region: National; Methods: Census; Source: ECDC"
France,75 700,"Region: National; Methods: Census; Source: ECDC"
Georgia,9000,"Region: National; Methods: Census; Source: Ministry of Justice, 2024"
Germany,44 200,"Region: National; Methods: Census; Source: ECDC"
Greece,10 500,"Region: National; Methods: Census; Source: ECDC"
Guatemala,23 100,"Region: National; Methods: Census; Source: Dirección General del Sistema Penitenciario, 2024"
Haiti,11 900,"Region: National; Method: Census; Source: Rapport HTW"
India,2 255 800,"Region: National; Methods: Census; Source: Prison Statistics of India 2022, National Crime Records Bureau"
Indonesia,287 800,"Region: National; Methods: Census; Source:  Directorate General of Correction Ministry of Immigration and Correction"
Iran (Islamic Republic of),250 400,"Region: National; Methods: Census; Source: Programme data, 2024"
Ireland,4100,"Region: National; Methods: Census; Source: ECDC"
Italy,60 900,"Region: National; Methods: Census; Source: ECDC"
Jamaica,3600,"Region: National; Methods: Census; Source: Programmatic data, 2024"
Kazakhstan,36 400,"Region: National; Method: Census"
Kiribati,40,"Region: National; Methods: Census; Source: Programme data, 2024"
Lithuania,4800,"Region: National; Methods: Census; Source: ECDC"
Luxembourg,700,"Region: National; Methods: Census; Source: ECDC"
Malawi,17 300,"Region: National; Methods: Census; Source: Prison Registry"
Malta,700,"Region: National; Methods: Census; Source: ECDC"
Marshall Islands,50,"Region: National; Methods: Census; Source: Programme statistics data, 2024"
Mauritius,2700,"Source: Prison register, 2021"
Monaco,60,"Region: National; Methods: Census; Source: Prison census"
Morocco,105 100,"Region: National; Methods: Census; Source: Les données des programmes de DGAPR"
Namibia,4700,"Region: National; Methods: Census; Source: Offender Management System"
Nepal,27 800,"Region: National; Methods: Census; Source: Ministry of Home Affairs, Department of Prison Management"
New Zealand,10 100,"Region: National; Methods: Census; Source: New Zealand Department of Corrections"
Nicaragua,22 000,"Region: National; Method: Census; Source: Registros del Sistema Penitenciario (MINT)"
Niger,22 700,"Region: National; Methods: Unknown; Source: Spectrum Niger 2024"
Nigeria,78 600,"Region: National; Method: Census; Source: Statistics Summary from the Nigerian Correctional Services 11th March 2024"
Oman,4200,"Region: Central prison; Methods: Census; Source: Communication with prison health authorities"
Palau,80,"Region: National; Methods: Census; Source: Programme statistics data, 2024"
Peru,94 900,"Region: National; Method: Census; Source: Censo del INPE"
Philippines,125 000,"Region: National; Method: Census; Source: Bureau of Jail Management and Penology National Headquarters Jail Population Census"
Portugal,21 900,"Region: National; Methods: Census; Source: ECDC"
Republic of Moldova,5700,"Region: National; Method: Census"
Saint Kitts and Nevis,200,"Region: National; Methods: Census; Source: Prison Total Report, 2022"
Saint Lucia,600,"Region: National; Methods: Census; Source: Prison Census 2024"
Senegal,11 000,"Region: National; Methods: % of adult population; Source: Estimation ajustée PSN 2018-2023"
Serbia,11 000,"Region: National; Methods: Census; Source: Ministry of Justice - Administration for the Enforcement of Penal Sanctions."
Seychelles,450,"Region: National; Methods: Census; Source: Prison Register, 2024"
Singapore,8300,"Region: National; Methods: Census; Source: Singapore Prisons Service"
Slovakia,8400,"Region: National; Methods: Census; Source: ECDC"
South Africa,163 200,"Region: National; Methods: Census; Source: Department of correctional services"
Spain,56 700,"Region: National; Methods: Census; Source: ECDC"
Sweden,2700,"Region: National; Methods: Census; Source: ECDC"
Thailand,298 800,"Region: National; Methods: Census; Source: Registration report fromThe Department of  Corrections (DOC)"
Togo,5800,"Region: National; Methods: Census; Source: Statistiques de l'Administration pénitentiaire, 2022"
Tonga,270,"Region: National; Methods: Census; Source: Prison Services Registry, 2024"
Trinidad and Tobago,3100,"Region: National; Methods: Census; Source: Prison population census, 2024"
Türkiye,348 000,"Region: National; Methods: Census; Source: Republic of Türkiye Ministry of Justice"
