Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Burkina Faso,22.5,"Source: Programme data, 2021"
Cameroon,76.3,"Source: Behavioral surveillance survey, 2023"
Chile,93.9,"Source: Programme data, 2021"
Colombia,69.6,"Source: Reporte anual nominal a la Cuenta de Alto Costo, 2024"
Cuba,81.7,"Source: Registro informatizado Nacional de casos de VIH, 2024"
Dominican Republic,43,"Source: Sistema de Registro Nacional de Atención Integral (SIRNAI)-Modulo FAPPS"
El Salvador,65.9,"Source: Sistema unico de monotireo evaluación y vigilancia epidemiologica del VIH-SIDA (SUMEVE)"
Gambia,8.4,"Source: ART registers, 2021"
Guatemala,5.4,"Source: Numerador: Unidades de Atención Integral del Ministerio de Salud Publica y Asistencia Social (MSPAS), Hospicio San José y Sanidad Militar; Denominador: Estimaciones anuales del año 2021 utilizando el modelo 2022 software Spectrum versión 6.18"
Guinea,100,"Source: Programma data from International Plan"
Honduras,12.5,"Source: Programme data, 2024"
India,75.8,"Source: HSS 2024"
Indonesia,14.6,"Source: Behavioral surveillance survey, 2023"
Kenya,29.6,"Source: MOH 731 Key Population Summary"
Malawi,90.7,"Source: Behavioral Surveillance Survey, 2020"
Niger,1.7,"Source: Rapport SongES"
Nigeria,23.1,"Source: Behavioral Surveillance Survey, 2020"
Pakistan,2.3,"Source: Programme data, 2024"
Panama,25,"Source: Clínicas de Terapia Antirretrovirales, 2024"
Papua New Guinea,49.7,"Source: Spectrum"
Peru,18.3,"Source: HISMINSA, 2024"
Philippines,68.6,"Source: HIV/AIDS Registry of the Philippines"
Rwanda,67.9,"Source: Behavioral surveillance survey, 2023"
South Africa,80,"Source: Thembisa Model 4.7 and PSE from JHU"
Tajikistan,86.5,"Source: Programme data, 2024"
Thailand,66.7,"Source: NAP report"
Togo,62.2,"Source: DHIS2 et Estimation JHU 2021"
Ukraine,76.7,"Source: BBS, 2021"
Zambia,68.4,"Source: National Programme Data (DATIM)."
Zimbabwe,94.5,"Source: OI Green booklets"
