Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Azerbaijan,16.6,"Source: BSS, 2020"
Bangladesh,6.8,"Source: Integrated Biological and Behavioral Surveillance (IBBS) survey, 2020-2021"
Belarus,21.9,"Source: Behavioral surveillance survey, 2024"
Burkina Faso,11.3,"Source: IBBS, 2022"
Cambodia,17.7,"Source: BSS, 2022"
Cameroon,8,"Source: Behavioral surveillance survey, 2023"
Comoros,29.6,"Source: Behavioral surveillance survey, 2023"
Côte d'Ivoire,6,"Source: Behavioral surveillan survey, 2024"
Eritrea,3.3,"Source: Behavioral surveillance survey, 2023"
Eswatini,34,"Source: BSS, 2020"
Ethiopia,30.6,"Source: BSS, 2020"
Haiti,11,"Source: Behavioral surveillance survey, 2023"
India,30.3,"Source: HIV Sentinel Surveillance under NACP, 2021"
Indonesia,22.1,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),30.1,"Source: Behavioral surveillance survey, 2024"
Kenya,7.3,"Source: Behavioral surveillance survey, 2024"
Kyrgyzstan,5.9,"Source: Behavioral Surveillance Survey, 2022"
Lao People's Democratic Republic,47.2,"Source: Sentinel surveillance, 2024"
Malawi,49,
Malaysia,6,"Source: IBBS, 2022"
Mongolia,18.8,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2022"
Montenegro,24,"Source: BSS, 2021"
Morocco,13.9,"Source: Behavioral Surveillance Survey, 2022"
Philippines,12.9,"Source: Behavioral surveillance survey, 2023"
Republic of Moldova,5.4,"Source: Behavioral surveillance survey, 2024"
Rwanda,3.7,"Source: Behavioral surveillance survey, 2023"
Serbia,2.1,"Source: BBS, 2021"
Ukraine,20.9,"Source: BSS, 2021"
Viet Nam,5.6,"Source: HSS+ 2024"
Zimbabwe,43.7,"Source: Survey, 2023"
