Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Antigua and Barbuda,100,"Source: HIV testing register, 2024"
Azerbaijan,57.8,"Source: BSS, 2022"
Belarus,78.4,"Source: Behavioral surveillance survey, 2024"
Benin,90.4,"Source: IBBS, 2022"
Cambodia,93.8,"Source: BSS, 2022"
Cameroon,91,"Source: Behavioral surveillance survey, 2023"
China,94.7,"Source: Sentinel surveillance, 2024"
Comoros,62.6,"Source: Behavioral surveillance survey, 2023"
Côte d'Ivoire,91.5,"Source: RAPPORT DE L’EVALUATION RAPIDE DE L’UTILISATION DES PRESERVATIFS ET GELS LUBRIFIANTS (ERUP 2021)"
Democratic Republic of the Congo,47.6,"Source: Rapport de cartographie et estimation de la taille des populations clés dans 9 provinces de la RDC"
Egypt,42.7,"Source: Behavioral surveillance survey, 2024"
El Salvador,87.2,
Eritrea,95.8,"Source: Behavioral surveillance survey, 2023"
Eswatini,50,"Source: Behavioral Surveillance Survey, 2020"
Ethiopia,95,"Source: BSS, 2020"
Gambia,94.2,"Source: Behavioral surveillance survey, 2023"
Georgia,95.7,"Source: Behavioral surveillance survey, 2024"
Greece,70.9,"Source: ECDC (NGO's)"
Guinea,92.7,"Source: ESCOMB, 2022"
Haiti,88.1,"Source: IBBS, 2023"
Honduras,30.9,"Source: VICITS, 2024"
India,98.1,"Source: HSS 2024"
Indonesia,69.3,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),84,"Source: Behavioral surveillance survey, 2024"
Kazakhstan,96.7,"Source: Behavioral surveillance survey, 2023"
Kenya,83.9,"Source: Behavioral surveillance survey, 2024"
Kyrgyzstan,93,"Source: BSS, 2023"
Lao People's Democratic Republic,73.3,"Source: Sentinel surveillance, 2024"
Malaysia,93.8,"Source: IBBS, 2022"
Mongolia,84.7,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2022"
Montenegro,70.1,"Source: BBS, 2021"
Morocco,54,"Source: Behavioral Surveillance Survey, 2022"
Namibia,52.9,"Source: IBBS 2019"
Netherlands,96.4,"Source: ECDC (Cross-sectional)"
Nicaragua,90.1,"Source: Estudio de vigilancia de comportamiento sexual en población clave, Nicaragua 2020"
Nigeria,89.6,"Source: Behavioral Surveillance Survey, 2020"
Panama,94,"Source: VICITS, 2024"
Paraguay,98.7,"Source: Encuesta de Prevalencia del VIH/Sífilis/Hepatitis B/C Comportamientos, Prácticas y  Actitudes de la Población MTS (Mujeres Trabajadoras Sexuales) en el Paraguay, 2023. Asunción - Paraguay."
Philippines,70.8,"Source: Behavioral surveillance survey, 2023"
Republic of Moldova,90.7,"Source: Behavioral surveillance survey, 2024"
Rwanda,80.9,"Source: Behavioral surveillance survey, 2023"
Serbia,97.4,"Source: BBS, 2021"
Singapore,95.4,"Source: Knowledge, Attitudes, Behaviour Survey, 2024"
Tajikistan,82.2,"Source: Behavioral Surveillance Survey, 2022"
Thailand,94.7,"Source: Behavioral surveillance survey, 2024"
Togo,71.7,"Source: Enquête de Surveillance de Seconde Génération (SSG) du VIH couplée de la cartographie programmatique chez les populations clés, 2022"
Ukraine,93,"Source: BBS, 2021"
Uzbekistan,72,"Source: Sentinel surveillance, 2023"
Venezuela (Bolivarian Republic of),96.4,"Source: Estudio sobre el impacto de la pandemia por covid-19 en personas que ejercen el trabajo sexual en la Región capital de la República Bolivariana de Venezuela 2021"
Viet Nam,90.5,"Source: HSS+ 2024"
Zimbabwe,51.4,"Source: Programme data, 2024"
