Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Algeria,16.4,"Source: Behavioral surveillance survey and programme data, 2024"
Azerbaijan,50.1,"Source: Behavioral Surveillance Survey, 2022"
Bangladesh,73.4,"Source: Integrated Biological and Behavioural surveillance Survey, 2020-2021 (unpublished)"
Belarus,72.7,"Source: Behavioral surveillance survey and programme data, 2024"
Burkina Faso,18.2,"Source: IBBS, 2022"
Cambodia,70.1,"Source: IBBS, 2022"
Cameroon,27,"Source: Behavioral surveillance survey and programme data, 2023"
Comoros,59.2,"Source: Behavioral surveillance survey, 2023"
Côte d'Ivoire,36,"Source: Behavioral surveillance survey and programme, 2024"
Democratic Republic of the Congo,37.9,"Source: IBBS, 2022"
El Salvador,73.4,"Source: ESTUDIO DE ESTIMACIÓN DE TAMAÑO DE POBLACIÓN DE ALTA PREVALENCIA EN VIH, SUS COMPORTAMIENTOS, ACTITUDES, PRÁCTICAS SEXUALES Y CONDICIONANTES SOCIALES EN EL SALVADOR, 2023/2024"
Georgia,57.1,"Source: Behavioral surveillance survey and programme data, 2024"
Guinea,85.8,"Source: ESCOMB, 2022"
Indonesia,14.6,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),53.5,"Source: Behavioral surveillance survey and programme data, 2024"
Kazakhstan,91.9,"Source: BSS, 2021"
Kyrgyzstan,57,
Lao People's Democratic Republic,38.3,"Source: Sentinel surveillance and programme data, 2024"
Malaysia,47,"Source: IBBS, 2022"
Mongolia,24.6,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2022"
Montenegro,17.2,"Source: BSS, 2021"
Panama,91.9,"Source: VICITS, 2022"
Philippines,15.4,"Source: Behavioral surveillance survey, 2023"
Republic of Moldova,26.2,"Source: Behavioral surveillance survey and programme data, 2024"
Singapore,53.8,"Source: Knowledge, Attitudes, Behaviour Survey and programme data, 2024"
Thailand,85.9,"Source: BSS, 2021"
Togo,21.1,"Source: IBBS, 2022"
Ukraine,30.5,"Source: BSS, 2021"
Viet Nam,19.3,"Source: HSS+ 2024"
Zimbabwe,20.7,"Source: Survey, 2023"
