Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Azerbaijan,63.4,"Source: Behavioral Surveillance Survey, 2022"
Belarus,23.6,"Source: Behavioral surveillance survey, 2024"
Benin,62.3,"Source: Special study, 2022"
Burkina Faso,26.7,"Time period: During the past 6 months. Source: IBBS, 2022"
Cambodia,13.6,"Source: BSS, 2022"
Cameroon,21,"Source: Behavioral surveillance survey, 2023"
Chad,13.7,"Source: Behavioral surveillance survey, 2024"
Côte d'Ivoire,13,"Source: Behavioral surveillance survey, 2024"
Democratic Republic of the Congo,27.8,"Source: Rapport cartographie et estimation de la taille des populations clés dans 9 provinces de la RDC en 2022"
Eritrea,13.4,"Source: Behavioral surveillance survey, 2023"
Eswatini,18,"Source:  BSS, 2020"
Ethiopia,22.3,"Source: National HIV and other STIs Bio-Behavioral Survey (NHSBS)-Round-II"
Gambia,85.8,"Source: Behavioral Surveillance Survey"
Georgia,9.4,"Source: Behavioral surveillance survey, 2024"
Guinea,15.2,"Source: Behavioral surveillance survey, 2023"
Haiti,29.3,"Source: IBBS 2023"
Indonesia,6.1,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),41.5,"Source: Behavioral surveillance survey, 2024"
Kyrgyzstan,20.7,"Source: Behavioral Surveillance Survey, 2022"
Lao People's Democratic Republic,3.4,"Source:  IBBS 2020"
Malawi,19,"Source:  BBS, 2020"
Mauritius,12,"Source: BSS, 2021"
Mongolia,13.2,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2022"
Montenegro,19.9,"Source: BSS, 2021"
Morocco,54.4,"Source: Behavioral Surveillance Survey, 2022"
Nicaragua,8.5,"Source:  EVC, 2020"
Papua New Guinea,8.6,"Source: HIV-KP Prevention outreach program"
Philippines,8.9,"Source: Behavioral surveillance survey, 2023"
Republic of Moldova,43.7,"Source: Behavioral surveillance survey, 2024"
Rwanda,38,"Source: Behavioral surveillance survey, 2023"
Serbia,15,"Source: BBS, 2021"
Sierra Leone,30,"Source: BBSS, 2021"
South Sudan,66,"Source: UNFPA Survey"
Tajikistan,13.6,"Source: Behavioral Surveillance Survey, 2022"
Uganda,33,"Source: Behavioral surveillance survey, 2023"
Ukraine,28.8,"Source: BBS, 2021"
Viet Nam,5.3,"Source: HSS+ 2024"
Zambia,80.9,"Source: Behavioral surveillance survey, 2023"
Zimbabwe,3.9,"Source: Program data GBV screening form"
