Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Azerbaijan,48.2,"Source: BSS, 2020"
Belarus,48.6,"Source: Behavioral surveillance survey, 2024"
Burkina Faso,34.7,"Source: IBBS, 2022"
Cameroon,37,"Source: Behavioral surveillance survey, 2023"
Chad,2.4,"Source: Behavioral surveillance survey, 2024"
Comoros,29.6,"Source: Behavioral surveillance survey, 2023"
Côte d'Ivoire,13,"Source: Behavioral surveillance survey, 2024"
Democratic Republic of the Congo,33.2,"Source: Rapport de cartographie et estimation de la taille des populations clés dans 9 provinces de la RDC en 2022"
Eritrea,49.3,"Source: Behavioral surveillance survey, 2023"
Eswatini,33.3,"Source: BSS, 2020"
Gambia,1.4,"Source: Behavioral surveillance survey, 2023"
Haiti,29,"Source: Behavioral surveillance survey, 2023"
Indonesia,7.5,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),46.1,"Source: Behavioral surveillance survey, 2024"
Kenya,45.7,"Source: Behavioral surveillance survey, 2024"
Kyrgyzstan,34.6,"Source: Behavioral surveillance survey, 2023"
Lao People's Democratic Republic,28.2,"Source: Sentinel surveillance, 2024"
Mongolia,6.7,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2022"
Morocco,13.2,"Source: Behavioral Surveillance Survey, 2022"
Republic of Moldova,14.2,"Source: Behavioral surveillance survey, 2024"
Serbia,21.5,"Source: BSS, 2021"
Sierra Leone,2.9,"Source: BSSS, 2021"
Thailand,8.3,"Source: Behavioral surveillance survey, 2024"
Viet Nam,7.4,"Source: HSS+ 2024"
Zambia,61.5,"Source: Behavioral surveillance survey, 2023"
Zimbabwe,4.7,"Source: Community Led Monitoring"
