Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Albania,0.7,"Source: Behavioral surveillance survey, 2024"
Algeria,4.4,"Source: Behavioral surveillance survey, 2024"
Azerbaijan,3,"Source: BSS, 2022"
Bangladesh,0.1,"Source: Integrated Biological and Behavioural surveillance Survey, 2020-2021 (unpublished)"
Belarus,13,"Source: Sentinel surveillance, 2024"
Belgium,3.1,"Source: ECDC (National programme data)"
Benin,7.2,"Source: IBBS, 2022"
Botswana,41.1,"Source: Integrated Behavioural & Biological Survelliance Survey (IBBSS) III 2024"
Burkina Faso,6.8,"Source: IBBS, 2022"
Cambodia,4.9,"Source: BSS, 2022"
Cameroon,12.2,"Source: Behavioral surveillance survey, 2023"
Central African Republic,6.1,"Source: National programme data, 2021"
Chad,9.7,"Source: Behavioral surveillance survey, 2024"
China,0.1,"Source: Sentinel surveillance, 2024"
Comoros,0.5,"Source: Behavioral surveillance survey, 2023"
Czechia,0,"Source: ECDC"
Côte d'Ivoire,5.6,"Source: Behavioral surveillance survey, 2024"
Djibouti,0.9,"Source: Programme data, 2024"
Dominica,1.6,"Source: Programme data, 2024"
Dominican Republic,4.6,"Source: Encuesta de Vigilancia de Comportamiento con Vinculación Serológica"
Ecuador,1,"Source: ESTUDIO DE PREVALENCIA DE VIH E ITS EN HOMBRES QUE TIENEN SEXO CON HOMBRES (HSH), MUJERES TRANS FEMENINAS (MTF) Y TRA/ES SUALES (TS) EN SEIS PROVINCIAS DEL ECUADOR: PICHINCHA, GUAYAS, AZUAY, ESMERALDAS, EL ORO Y MANABÍ, 2021"
Egypt,2.5,"Source: Behavioral surveillance survey, 2024"
El Salvador,2.3,"Source: Sentinel surveillance, 2024"
Eritrea,11.8,"Source: Behavioral surveillance survey, 2023"
Eswatini,60.8,"Source: Behavioral Surveillance Survey, 2020"
Ethiopia,18.3,"Source: BBS, 2020"
Gambia,14.1,"Source: Behavioral surveillance survey, 2023"
Georgia,0.3,"Source: Behavioral surveillance survey, 2024"
Greece,3.3,"Source: ECDC (programme data)"
Guatemala,0.7,"Source: Behavioral surveillance survey, 2024"
Guinea,4.9,"Source: ESCOMB, 2022"
Haiti,8.6,"Source: IBBS, 2023"
Honduras,0.6,"Source: VICITS, 2024"
India,1.6,"Source: HIV Sentinel surveillance 2024"
Indonesia,8,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),1.3,"Source: Behavioral surveillance survey, 2024"
Italy,21.6,"Source: ECDC (Data collected by community organizations)"
Jamaica,2.5,"Source: Behavioral surveillance survey, 2024"
Kazakhstan,1.5,"Source: Sentinel surveillance, 2023"
Kenya,27.5,"Source: Behavioral surveillance survey, 2024"
Kyrgyzstan,3.4,"Source: Behavioral Surveillance Survey, 2022"
Lao People's Democratic Republic,1.8,"Source: Sentinel surveillance, 2024"
Malawi,49.9,"Source: Behavioral Surveillance Survey, 2020"
Malaysia,1.9,"Source: IBBS, 2022"
Mauritius,18.2,"Source: BSS, 2021"
Mongolia,0,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2022"
Montenegro,0.9,"Source: BSS, 2021"
Morocco,2.3,"Source: Behavioral Surveillance Survey, 2022"
Myanmar,4.9,"Source: HSS, 2023"
Namibia,29.9,"Source: IBBS 2019"
Netherlands,0.3,"Source: ECDC (Sentinel surveillance)"
Nicaragua,2.2,"Source: Estudio de Vigilancia  y comportamiento Sexual en Poblacion clave, Nicaragua 2020"
Nigeria,16.7,"Source: Behavioral Surveillance Survey, 2020"
Panama,1.7,"Source: Sentinel surveillance, 2024"
Paraguay,0.6,"Source: Encuesta de Prevalencia del VIH/Sífilis/Hepatitis B/C Comportamientos, Prácticas y  Actitudes de la Población Mujeres Trabajadoras Sexuales en el Paraguay, 2023."
Peru,1.3,"Source: HISMINSA-Oficina General de Tecnologías de la Información MINSA"
Philippines,1.2,"Source: Behavioral surveillance survey, 2023"
Republic of Moldova,4.2,"Source: Behavioral surveillance survey, 2024"
Rwanda,35.2,"Source: Behavioral surveillance survey, 2023"
Serbia,1.5,"Source: BSS, 2021"
Sierra Leone,11.8,"Source: Integrated Biological and Behavioural Surveillance Survey (IBSSS)"
Singapore,0,"Source: Sentinel surveillance, 2023"
South Africa,51.6,"Source: Thembisa Model. version 4.7"
South Sudan,16,"Source: National programme data, 2020"
Sudan,0.4,"Source: National programme data, 2023"
Tajikistan,2.9,"Source: Behavioral Surveillance Survey, 2022"
Thailand,0.8,"Source: Behavioral surveillance survey, 2024"
Togo,7,"Source: Enquête de Surveillance de Seconde Génération (SSG) du VIH couplée de la cartographie programmatique chez les populations clés, 2022"
Tonga,0,"Source: Program Data 2024"
Tunisia,0.5,"Source: Enquête IBBS 2021 travailleuses de sexe"
Türkiye,0.2,"Source: Registered sex workers, 2024"
Uganda,33,"Source: Behavioral surveillance survey, 2023"
Ukraine,3.1,"Source: BSS, 2021"
Uzbekistan,1.6,"Source: Sentinel surveillance, 2024"
Venezuela (Bolivarian Republic of),1.4,"Source: National programme data, 2024"
Viet Nam,2,"Source: Sentinel surveillance, 2024"
Zimbabwe,40.2,"Source: Survey, 2023"
