Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Algeria,11 600,"Region: Annaba, Alger, Tiaret, Tamanrasset et Oran; Methods: Unique object multiplier; Source: Enquête IBBS 2024"
Austria,5200,"Region: National; Methods: Registered sex workers; Source: ECDC (Austrian Criminal Intelligence)"
Azerbaijan,26 400,"Region: 3 cities; Method: Capture-recapture, multiplier; Source: Size estimation 2022"
Bangladesh,161 800,"Region: 22 districts; Method: Unknown; Source: Mapping and Size Estimation of Key Populations and HIV Risk Behaviors in Bangladesh 2023"
Belarus,18 600,"Region: National; Methods: Multiplier and experts opinion; Source: Региональная оценка численности женщин секс-бизнеса"
Burkina Faso,51 000,"Region: National; Methods: Unique object multiplier and wisdom of the crowds; Source: IBBS, 2022"
Cambodia,52 000,"Region: National; Methods: Unique object multiplier, service multiplier, SS-PSE, stakeholder consultation and consensus; Source: Female Entertainment Workers IBBS 2022 using RDS in 9 provinces"
Cameroon,32 900,"Region: 10 capitales régionales et 3 villes satellites (Dschang, Kribi, Limbé); Methods: Wisdom of the crowd, unique object and service multiplier; Source: Behavioral surveillance survey, 2023"
Chad,22 400,"Region: 17 villes; Methods: Capture-recapture; Source: Behavioral surveillance survey, 2024"
Colombia,336 700,"Region: National; Method: Expert's opinion;"
Côte d'Ivoire,27 800,"Region: Abidjan, San Pedro, Divo, Bouake, Yamoussoukro, Odienné, Korhogo, et Méagui; Methods: SS-PSE; Source: Behavioral surveillance survey, 2024"
Democratic Republic of the Congo,526 000,"Region: National; Methods: Objet unique, Evénement social et Capture-recapture; Source: KP workbook, 2022"
Djibouti,2500,"Region: Djibouti ville; Method: Unknown ; Source: Behavioral surveillence survey, 2023"
Dominican Republic,103 700,"Region: National; Methods: Literature review and population growth;"
Egypt,218 200,"Region: National; Methods: Unique object and service multiplier; Source: Population size estimate, 2024"
El Salvador,23 700,"Region: National; Method: RDS-SS; Source: ESTUDIO DE ESTIMACIÓN DE TAMAÑO DE POBLACIÓN DE ALTA PREVALENCIA EN VIH, SUS COMPORTAMIENTOS, ACTITUDES, PRÁCTICAS SEXUALES Y CONDICIONANTES SOCIALES EN EL SALVADOR, 2023/2024"
Gambia,5500,"Region: National; Method: Unique object services; Source: IBBS study 2023"
Georgia,6700,"Region: National; Methods: Census, Service Multiplier, Capture-Recapture and Wisdom of Crowd;"
Guatemala,89 500,"Region: National; Methods: Projected from the census and enumeration results from 2010; Source: Projected from the Estimación del tamaño de poblaciones en mayor riesgo y vulnerabilidad al VIH: hombres que tienen sexo con hombres y trabajadoras sexuales en seis ciudades de Guatemala using the XII Censo Nacional de Población y VII de Vivienda"
Guinea,51 600,"Region: National; Methods: Unique object multiplier, service multiplier, SS-PSE and population growth; Source: ESCOMB 2022 projetée dans le CSN 2023-2027"
Haiti,87 600,"Region: Cap-Haitien / Carrefour / Cayes / Gonaives / Hinche / jacmel / Ouanaminthe / Pétiion-Ville / Saint-Marc; Method: Unique object, SS-RDS, hotspot and programmatic mapping; Source: Enquête IBBS, 2023"
Honduras,28 500,"Region: National; Methods: Extrapolation and projection of program mapping data; Source: Estudio Estimación de Tamaño de población clave con mayor exposición al VIH en Honduras"
India,995 500,"Region: 654 districts; Methods: Programmatic Mapping; Source: PROGRAMMATIC MAPPING AND POPULATION SIZE ESTIMATION (p-MPSE) OF HIGH-RISK GROUPS"
Indonesia,271 800,"Region: National; Method: Service multiplier, program data and extrapolation; Source: PSER report, 2023"
Jamaica,16 900,"Region: National; Methods: Upper 95% IC; Source: Behavioral surveillance survey, 2024"
