Country,2012,2012_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote, 2020,2020_Footnote, 2022,2022_Footnote, 2024,2024_Footnote
Albania,,,,,,,,,,,68.5,"Source: 2017-18 DHS",,,,,,,,
Angola,,,,,,,34.6,"Source: 2015-16 DHS",,,,,,,,,,,,
Barbados,,,,,,,,,,,46.4,"Source: KABP Survey 2018",,,,,,,,
Belize,,,,,,,36.9,"Source: 2015-16 MICS",,,,,,,,,,,,
Benin,,,,,,,,,,,73,"Source: 2017-18 DHS",,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,25.9,"2021-22 DHS",,
Chad,,,,,,,,,,,,,51.1,"Source: 2019 MICS",,,,,,
Congo,,,47.2,"Source: 2014 MICS",,,,,,,,,,,,,,,,
Côte d'Ivoire,,,,,,,53,"Source: 2016 MICS",,,,,,,,,,,52.8,"DHS 2021"
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,63,"DHS 2023-24"
Ecuador,43.9,"Source: Encuesta Nacional de Salud y Nutrición 2012",,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,45,"Source: 2017 Sexual Behaviour among Estonian Adult Population (Respondents aged 18‒79 years)",,,,,,,,,,
Eswatini,,,,,,,,,,,,,,,,,8.9,"2021-22 MICS",,
Ethiopia,,,,,,,58.5,"Source: 2016 DHS",,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,32.8,"DHS 2019-21"
Gambia,,,,,,,,,,,72.3,"Source: 2018 MICS",,,,,,,,
Georgia,,,,,,,,,,,58.5,"Source: 2018 MICS",,,,,,,,
Ghana,,,,,,,,,,,,,,,,,76.5,"2022 DHS",,
Guinea,,,,,,,,,,,,,79.7,"Source: 2018 DHS",,,,,,
India,,,,,,,32.8,"Source: 2015-16 DHS",,,,,,,,,,,,
Indonesia,,,,,,,,,68.7,"Source: 2017 DHS",,,,,,,,,,
Jordan,,,,,,,,,,,89.1,"Source: 2017-18 DHS",,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,67.5,"DHS 2019-20"
Madagascar,,,,,,,,,,,72.2,"Source: 2018 MICS",,,,,,,,
Malawi,,,,,,,17.6,"Source: 2015-16 DHS",,,,,,,,,,,,
Mali,,,,,55.9,"Source: 2015 MICS",,,,,,,,,,,,,,
Mauritania,,,,,76,"Source: 2015 MICS",,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,64.2,"Source: 2018 MICS",,,,,,,,
Montenegro,,,,,,,,,,,52.3,"Source: 2018 MICS",,,,,,,,
Nepal,,,,,,,38,"Source: 2016 DHS",,,,,,,,,,,48.5,"DHS 2022"
Nigeria,,,,,,,52.8,"Source: 2016 MICS",,,59.2,"Source: 2018 DHS",,,,,,,,
Sierra Leone,,,,,,,,,72.1,"Source: 2017 MICS",,,,,,,,,,
South Africa,,,,,,,,,16.9,"Source: HSRC 2017 (GAM 2019)",,,,,,,,,,
Suriname,,,,,,,,,,,66.4,"Source: 2018 MICS",,,,,,,,
Tajikistan,,,,,,,,,,,,,,,47,"Source: National Study to Assess Awareness, Behaviour and practices measures to combat HIV/AIDS among the population aged 15-49 in the Republic of Tajikistan, 2020",,,,
Thailand,,,,,26.1,"Source: 2015 MICS",,,,,,,26.7,"Source: 2019 MICS",,,27.9,"2022 MICS",,
Timor-Leste,,,,,,,64.1,"Source: 2016 DHS",,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,21.1,"MICS 2022, data for women only"
Tunisia,,,,,,,,,,,65.3,"Source: 2018 MICS",,,,,,,,
Uganda,,,,,,,33.2,"Source: 2016 DHS",,,,,,,,,24,"2022 DHS",,
Ukraine,,,,,,,,,,,,,,,66.6,"Source: Health Index, 2020",,,,
United Republic of Tanzania,,,,,,,,,,,,,,,,,28,"2022 DHS",,
Zimbabwe,,,,,20.9,"Source: 2015 DHS",,,,,,,28.7,"Source: 2019 MICS",,,,,,
