Country,2021,2021_Footnote, 2022,2022_Footnote, 2023,2023_Footnote, 2024,2024_Footnote
Argentina,11,"Source: People Living with HIV Stigma Index 2021",,,,,,
Armenia,,,,,,,9.3,"People living with HIV Stigma Index 2.0 2023"
Belarus,,,35,"People Living with HIV Stigma Index 2022",,,,
Chad,26.6,"Source: People Living with HIV Stigma Index 2021",,,,,,
Eswatini,,,,,14.9,"People Living with HIV Stigma Index 2023",,
Ethiopia,29.6,"Source: People Living with HIV Stigma Index 2020-21",,,,,,
Germany,56,"Source: People Living with HIV Stigma Index 2020-2021",,,,,,
Haiti,1.4,"Source: People Living with HIV Stigma Index 2021",,,,,,
Indonesia,,,,,21.5,"People Living with HIV Stigma Index 2023",,
Iran (Islamic Republic of),41.8,"Source: People Living with HIV Stigma Index 2021",,,,,,
Kazakhstan,17.7,"Source: People Living with HIV Stigma Index 2020-21",,,,,,
Lesotho,4.8,"People Living with HIV Stigma Index 2021",,,,,,
Morocco,18.5,"Source: People Living with HIV Stigma Index 2021",21,"People Living with HIV Stigma Index 2022",,,,
Senegal,5.3,"Source: People Living with HIV Stigma Index 2021",,,,,,
Thailand,,,8.7,"Source: Global AIDS Monitoring 2022",,,,
Togo,10.5,"Source: People Living with HIV Stigma Index 2021",,,,,,
Ukraine,,,,,,,19.9,"People Living with HIV Stigma Index 2024"
Zambia,,,,,21.6,"People Living with HIV Stigma Index 2023",,
Zimbabwe,30.7,"Source: People Living with HIV Stigma Index 2021",,,,,,
