Country,2021,2021_Footnote, 2022,2022_Footnote, 2023,2023_Footnote, 2024,2024_Footnote
Argentina,16.5,"Source: People Living with HIV Stigma Index 2021",,,,,,
Armenia,,,,,,,56.7,"People living with HIV Stigma Index 2.0 2023"
Belarus,,,43,"People Living with HIV Stigma Index 2022",,,,
Cameroon,,,,,,,12.6,"People living with HIV Stigma Index 2.0 2023"
Dominican Republic,,,,,,,61.3,"People living with HIV Stigma Index 2.0 2023-24"
El Salvador,,,,,22.3,"People Living with HIV Stigma Index 2023",,
Eswatini,,,,,17.9,"People Living with HIV Stigma Index 2023",,
Haiti,46.5,"Source: People Living with HIV Stigma Index 2021",,,,,,
Iran (Islamic Republic of),96.9,"Source: People Living with HIV Stigma Index 2021",,,,,,
Kazakhstan,43.4,"Source: People Living with HIV Stigma Index 2020-21",,,,,,
Lesotho,,,,,17,"People Living with HIV Stigma Index 2023",,
Liberia,,,50.2,"People Living with HIV Stigma Index 2022",,,,
Morocco,57.9,"People Living with HIV Stigma Index 2021",,,,,,
Nigeria,31.4,"People Living with HIV Stigma Index 2021",,,,,,
Senegal,62.5,"Source: People Living with HIV Stigma Index 2021",,,,,,
Tajikistan,71.5,"Source: People Living with HIV Stigma Index 2021",,,,,,
Togo,57.4,"Source: People Living with HIV Stigma Index 2021",,,,,,
Uganda,,,,,68.6,"People Living with HIV Stigma Index 2023",,
Ukraine,,,,,,,42.3,"People Living with HIV Stigma Index 2024"
United Republic of Tanzania,6.4,"Source: People Living with HIV Stigma Index 2021",,,,,,
Zambia,,,,,49.9,"People Living with HIV Stigma Index 2023",,
Zimbabwe,48.4,"Source: People Living with HIV Stigma Index 2021",21.1,"People Living with HIV Stigma Index 2022",,,,
