Country,2021,2021_Footnote, 2022,2022_Footnote, 2023,2023_Footnote, 2024,2024_Footnote
Armenia,,,,,,,16.7,"People living with HIV Stigma Index 2.0 2023"
Belarus,,,7.1,"People Living with HIV Stigma Index 2022",,,,
Chad,27.3,"Source: People Living with HIV Stigma Index 2021",,,,,,
Dominican Republic,,,,,,,83.3,"People living with HIV Stigma Index 2.0 2023-24"
El Salvador,,,,,41.7,"People Living with HIV Stigma Index 2023",,
Eswatini,,,6.5,"People Living with HIV Stigma Index 2022",,,,
Ghana,,,,,22.2,"People Living with HIV Stigma Index 2023",,
Guinea,,,,,,,39.7,"People living with HIV Stigma Index 2.0 2024"
Haiti,7.5,"Source: People Living with HIV Stigma Index 2021",,,,,,
Kazakhstan,9,"Source: People Living with HIV Stigma Index 2020-21",,,,,,
Kenya,27.4,"Source: People Living with HIV Stigma Index 2021",,,,,6,"People living with HIV Stigma Index 2.0 2024"
Lesotho,21.4,"Source: People Living with HIV Stigma Index 2021",,,12.5,"People Living with HIV Stigma Index 2023",,
Liberia,,,19.7,"People Living with HIV Stigma Index 2022",,,,
Morocco,40.9,"People Living with HIV Stigma Index 2021",,,,,,
Nigeria,23.7,"Source: People Living with HIV Stigma Index 2021",,,,,,
Panama,,,,,,,15.8,"People living with HIV Stigma Index 2.0 2024"
Tajikistan,21.6,"Source: People Living with HIV Stigma Index 2021",,,,,,
Uganda,18.8,"Source: People Living with HIV Stigma Index 2021",,,,,,
Ukraine,,,,,,,22.9,"People Living with HIV Stigma Index 2024"
Zambia,,,,,29.2,"People Living with HIV Stigma Index 2023",,
