Country,2021,2021_Footnote, 2022,2022_Footnote, 2023,2023_Footnote, 2024,2024_Footnote
Argentina,6.9,"Source: People Living with HIV Stigma Index 2021",,,,,,
Armenia,,,,,,,1.7,"People living with HIV Stigma Index 2.0 2023"
Belarus,,,21.4,"People Living with HIV Stigma Index 2022",,,,
Benin,,,,,,,13.6,"People living with HIV Stigma Index 2.0 2021"
Central African Republic,,,,,,,8.5,"People living with HIV Stigma Index 2.0 2024"
Dominican Republic,,,,,,,2.8,"People living with HIV Stigma Index 2.0 2023-24"
El Salvador,,,,,2.4,"People Living with HIV Stigma Index 2023",,
Eswatini,,,,,9.1,"People Living with HIV Stigma Index 2023",,
Ethiopia,24.2,"Source: People Living with HIV Stigma Index 2020-21",,,,,,
Guinea,,,,,,,18.9,"People living with HIV Stigma Index 2.0 2023"
Iran (Islamic Republic of),58.7,"Source: People Living with HIV Stigma Index 2021",,,,,,
Kazakhstan,36.5,"Source: People Living with HIV Stigma Index 2020-21",,,,,,
Kenya,,,,,,,42.9,"Demographic and Health Survey 2022"
Lesotho,,,,,6.2,"People Living with HIV Stigma Index 2023",,
Liberia,,,11.3,"People Living with HIV Stigma Index 2022",,,,
Morocco,9.9,"People Living with HIV Stigma Index 2021",,,,,,
Nigeria,19.4,"People Living with HIV Stigma Index 2021",,,,,,
Senegal,45.8,"Source: People Living with HIV Stigma Index 2021",,,,,,
Sierra Leone,,,,,,,33,"People living with HIV Stigma Index 2.0 2023"
Togo,22.2,"Source: People Living with HIV Stigma Index 2021",,,,,,
Uganda,,,,,30.9,"People Living with HIV Stigma Index 2023",,
Ukraine,,,,,,,6.2,"People Living with HIV Stigma Index 2024"
Zambia,,,,,29.1,"People Living with HIV Stigma Index 2023",,
Zimbabwe,33.5,"Source: People Living with HIV Stigma Index 2021",28,"People Living with HIV Stigma Index 2022",,,,
