Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Bolivia (Plurinational State of),53.3,"Source: Programme data, 2024"
Cameroon,73,"Source: Behavioral surveillance survey, 2023"
Chile,98.5,"Source: Programme data, 2024"
Colombia,51.6,"Source: Información programática reportada a partir de la Cuenta de Alto Costo, 2024"
Cuba,84.6,"Source: Registro Informatizado de VIH/sida, 2024"
Dominican Republic,10.4,"Source: Sistema de Registro Nacional de Atención Integral (SIRNAI)-Modulo FAPPS"
El Salvador,68.2,"Source: Sistema único de monitoreo evaluación y vigilancia epidemiológica del VIH-SIDA (SUMEVE)"
Ghana,54.5,"Source: Behavioral surveillance survey, 2023"
Guatemala,36.3,"Source: Numerador: Unidades de Atención Integral del Ministerio de Salud Publica y Asistencia Social (MSPAS), Hospicio San José y Sanidad Militar.  Denominador: Estimaciones anuales del año 2024  utilizando el Modelo 2024 software Spectrum versión 6.36"
Haiti,71.3,"Source: IBBS 2023"
Honduras,27.4,"Source: Programme data, 2024"
India,75.1,"Source: HSS 2024"
Indonesia,32,"Source: Behavioral surveillance survey, 2023"
Kenya,98.7,"Source: Behavioral surveillance survey, 2024"
Nigeria,19.5,"Source: Behavioral Surveillance Survey, 2020"
Pakistan,13.5,"Source: Programme data, 2024"
Panama,82.2,"Source:  Clínicas de terapia Antirretrovirales, 2024"
Peru,8.7,"Source: SIHCE, 2024"
Philippines,86.9,"Source: HIV/AIDS Registry of the Philippines, 2024"
Thailand,75,"Source: NAP report, 2024"
Zambia,17.1,"Source: Program Data (DATIM), 2023"
Zimbabwe,100,"Source: OI Green Booklets, 2024"
