Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Azerbaijan,85.7,"Source: BSS, 2022"
Bangladesh,36.3,"Source: Integrated Biological and Behavioral Surveillance (IBBS) survey, 2020-2021"
Bolivia (Plurinational State of),82.1,"Source: BBS, 2021"
Cambodia,94.3,"Source: Behavioral surveillance survey, 2023"
Cuba,48.2,"Source: Encuesta de seroprevalencia de VIH, sífilis, VHB, VHC y vigilancia del comportamiento en grupos de población clave HSH y mujeres trans, La Habana"
Côte d'Ivoire,50.6,"Source: RAPPORT DE L’ETUDE POUR L’IDENTIFICATION DES BESOINS SPECIFIQUES EN MATIERE DE PREVENTION ET PRISE EN CHARGE IST-VIH/SIDA CHEZ LES PERSONNES TRANSGENRES A ABIDJAN – COTE D’IVOIRE"
El Salvador,69.1,"Source: Sentinel surveillance, 2024"
Georgia,66.7,"Source: Behavioral surveillance survey, 2024"
Ghana,82.7,"Source: Behavioral surveillance survey, 2023"
Haiti,67.7,"Source: IBBS 2023"
Indonesia,59,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),71.5,"Source: Behavioral Surveillance Survey, 2022"
Malaysia,91.1,"Source: Rapport de cartographie et estimation de la taille des populations clés dans 9 provinces de la RDC"
Nigeria,66.2,"Source: Behavioral Surveillance Survey, 2020"
Panama,90,"Source: Clínicas Amigables (CLAM) donde se llevan a cabo la Vigilancia Centinela de las ITS (VICITS)"
Paraguay,73.8,"Source: PREVALENCIA DEL VIH/SIFILIS/HEPATITIS B Y COMPORTAMIENTOS, PRÁCTICAS Y ACTITUDES DE LA POBLACION TRANS EN EL PARAGUAY, 2020"
Philippines,52.9,"Source: Behavioral surveillance survey, 2023"
Thailand,79.1,"Source: Behavioral surveillance survey, 2023"
Ukraine,61.4,"Source: Behavioral surveillance survey, 2024"
Zimbabwe,88.7,"Source: Programme Data DHIS2, 2024"
