Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Azerbaijan,96.7,"Source: BSS, 2021"
Bangladesh,89.2,"Source: BSS, 2022"
Côte d'Ivoire,47.1,"Source: BSS, 2021"
Georgia,50,"Source: Behavioral surveillance survey and programme data, 2024"
Indonesia,25,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),1.4,"Source: Behavioral Surveillance Survey, 2022"
Malaysia,57.8,"Source: IBBS, 2022"
Nigeria,80,"Source: BSS, 2021"
Panama,100,"Source: Registro de  las Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Philippines,40.4,"Source: Behavioral surveillance survey, 2023"
Thailand,35.9,"Source: Behavioral surveillance survey, 2023"
Ukraine,12.2,"Source: Behavioral surveillance survey and Syrex database, 2024"
