Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Azerbaijan,1.3,"Source: BSS, 2022"
Bangladesh,0.9,"Source: Integrated Biological and Behavioral Surveillance (IBSS) survey, 2020-2021"
Belarus,2.5,"Source: Sentinel surveillance, 2024"
Benin,21.9,"Source: Behavioral Surveillance Survey, 2020"
Bolivia (Plurinational State of),30.8,"Source: BSS, 2021"
Burkina Faso,33.7,"Source: ETUDE BIOCOMPORTEMENTALE SUR LE VIH ET LES INFECTIONS SEXUELLEMENT TRANSMISSIBLES CHEZ LES FEMMES TRANSGENRES AU BURKINA FASO EN 2024"
Cambodia,13.5,"Source: Behavioral surveillance survey, 2023"
Cameroon,38.1,"Source: Behavioral surveillance survey, 2023"
Canada,1.8,"Source: Behavioural Surveillance Survey, 2024"
Cuba,60,"Source: Encuesta de seroprevalencia de VIH, sífilis, VHB, VHC y vigilancia del comportamiento en grupos de población clave HSH y mujeres trans. La Habana"
Côte d'Ivoire,24.7,"Source: IBBS, 2020"
Dominican Republic,27.7,"Source: Encuesta de Vigilancia de Comportamiento con Vinculación Serológica"
Ecuador,18.2,"Source: ESTUDIO DE PREVALENCIA DE VIH E ITS EN HOMBRES QUE TIENEN SEXO CON HOMBRES (HSH), MUJERES TRANS FEMENINAS (MTF) Y TRA/ES SUALES (TS) EN SEIS PROVINCIAS DEL ECUADOR: PICHINCHA, GUAYAS, AZUAY, ESMERALDAS, EL ORO Y MANABÍ 2021"
El Salvador,15.3,"Source: Sentinel surveillance survey, 2024"
Georgia,8,"Source: Behavioral surveillance survey, 2024"
Ghana,29.7,"Source: Behavioral surveillance survey, 2023"
Guatemala,14.8,"Source: Behavioral surveillance survey, 2024"
Haiti,34.8,"Source: IBBS 2023"
Honduras,3.8,"Source: VICITS, 2024"
India,3.3,"Source: HSS 2024"
Indonesia,25,"Source: Behavioral surveillance survey, 2023"
Iran (Islamic Republic of),0.8,"Source: Behavioral Surveillance Survey, 2022"
Italy,32.4,"Source: ECDC (Data collected by community organizations)"
Kenya,22,"Source: Behavioral surveillance survey, 2024"
Malaysia,5.9,"Source: IBBS, 2022"
Myanmar,23.5,"Source: HSS, 2023"
Netherlands,3,"Source: ECDC (programme data)"
Nicaragua,9.5,"Source: Estudio de vigilancia de comportamiento sexual en población clave, Nicaragua 2020"
Nigeria,28.8,"Source: Behavioral Surveillance Survey, 2020"
Panama,6.8,"Source: VICITS, 2023"
Paraguay,29.9,"Source: Estudio de la Prevalencia VIH/Sífilis/Hepatitis B/C y comportamientos, prácticas y actitudes de la población TRANS en el Paraguay. 2023."
Philippines,2.8,"Source: Behavioral surveillance survey, 2023"
Romania,0.8,"Source: ECDC (Romanian Association Against AIDS)"
Sierra Leone,4.2,"Source: BSSS, 2021"
South Africa,0.3,"Source: Programme data, 2024"
Thailand,2.2,"Source: Behavioral surveillance survey, 2023"
Tonga,0,"Source: Program data, 2024"
Ukraine,2.7,"Source: Behavioral surveillance survey, 2024"
Zambia,8.9,"Source: National programme data, 2023"
Zimbabwe,17.6,"Source: National programme data, 2023"
