Country,Most recent data as of 2024,Most recent data as of 2024_Footnote
Bangladesh,12 600,"Region: 22 districts; Method: Unknown; Source: Mapping and Size Estimation of Key Populations and HIV Risk Behaviors in Bangladesh 2023"
Belarus,3700,"Region: National; Method: Coefficient, double coverage, nomination, mapping, and expert opinion methods; Source: Оценка численности ТГЛ в Республике Беларусь"
Belize,100,"Region: National; Methods: RDS-SS; Source: HIV INTEGRATED BIOLOGICAL AND BEHAVIORAL SURVEILLANCE SURVEY AMONG MEN WHO HAVE SEX WITH MEN IN BELIZE-2024"
Benin,2200,"Region: National; Methods: Unique object multiplier and SS-PSE; Source: ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020"
Burkina Faso,1100,"Region: Centre (Ouagadougou),  Hauts Bassins (Bobo Diuolasso); Methods: RDS-SS; Source: Etude biocomportementale sur le VIH et estimation des femmes transgenre au Burina Faso en 2024"
Cambodia,15 700,"Region: National; Method: Service multiplier; Source: IBBS, 2023"
Cameroon,2500,"Region: Douala and Yaoundé; Methods: Wisdom of the crowds, unique object and service multiplier; Source: Behavioral surveillance survey, 2023"
Canada,101 000,"Region: National; Methods: Census; Source: Survey of Safety in Public and Private Spaces"
Chile,19 600,"Region: National; Methods: Multiplier; Source: Estudio de tamaño poblacional de poblaciones clave de Hombres que tienen Sexo con Hombres (HSH) y Trans Femeninas en Chile, 2021"
Colombia,22 900,"Region: National; Method: Population based survey; Source: Gran Encuesta Integrada de Hogares (GEIH) del DANE."
Cuba,1400,"Region: La Habana; Methods: Bayesian method and SS-PSE; Source: Encuesta de seroprevalencia de VIH, sífilis, VHB, VHC y vigilancia del comportamiento en grupos de población clave HSH y mujeres trans"
Côte d'Ivoire,700,"Region: Abidjan; Methods: Unique object multiplier and social event;"
Democratic Republic of the Congo,57 000,"Region: National; Methods: Objet unique, Evénement social et Capture-recapture; Source: Rapport de cartographie et estimation de la taille des populations clés réalisée dans 9 provinces de la RDC"
Dominican Republic,8900,"Region: National; Methods: Literature review and population growth;"
Ecuador,8000,"Region: National; Methods: Multiplier; Source: Estimación del tamaño poblacional en grupos de población clave (GPC) en Ecuador, 2021"
