Country,2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote, 2020,2020_Footnote, 2024,2024_Footnote
Afghanistan,31,,...,,31,,35,,37,,45,"Denominator less than 50.",,
Albania,45,,49,,37,,50,,48,"Denominator less than 50.",44,,,
Algeria,35,,12,,14,,17,,...,,...,,,
Andorra,,,...,,...,,...,,...,,...,,,
Angola,,,...,,...,,...,,...,,...,,,
Antigua and Barbuda,18,,30,,34,"Denominator less than 50.",20,,...,,...,,,
Argentina,32,,33,,32,,20,,31,,24,,,
Armenia,,,,,,,,,,,,,43,
Australia,28,,...,,...,,...,,21,,...,,,
Austria,,,...,,...,,...,,...,,...,,,
Azerbaijan,21,,21,,23,,31,,30,,...,,1,
Bahamas,38,,35,,37,,...,,...,,...,,,
Bahrain,,,...,,...,,18,"Denominator less than 50.",...,,...,,,
Bangladesh,47,,29,,8,,12,,...,,...,,,
Barbados,36,,36,,43,,41,,39,"Denominator less than 50.",...,,,
Belarus,,,...,,13,,11,,...,,11,,,
Belgium,23,,...,,...,,...,,...,,...,,,
Belize,,,...,,...,,...,,45,,26,,,
Benin,,,...,,...,,...,,...,,...,,,
Bhutan,21,"Denominator is less than 50.",...,,...,,...,,...,,40,"Denominator less than 50.",27,
Bolivia (Plurinational State of),,,...,,...,,...,,...,,...,,31,
Bosnia and Herzegovina,>98,"Denominator is less than 50.",37,,...,,...,,...,,...,,,
Botswana,,,38,,25,,...,,...,,...,,3,
Brazil,25,,25,,25,,26,,27,,27,,29,
Brunei Darussalam,,,...,,...,,9,,32,,...,,,
Bulgaria,26,,22,,...,,...,,...,,...,,,
Burkina Faso,,,...,,...,,...,,...,,...,,,
Burundi,,,...,,...,,...,,...,,...,,,
Cabo Verde,,,...,,...,,...,,...,,...,,,
Cambodia,47,,36,,33,,...,,16,,34,,,
Cameroon,,,...,,...,,...,,...,,...,,,
Canada,,,...,,...,,...,,...,,...,,,
Central African Republic,,,...,,...,,...,,...,,13,,,
Chad,,,...,,...,,...,,...,,...,,,
Chile,40,,43,,32,,31,,21,,30,,,
China,,,31,,31,,30,,32,,33,,33,"Data reported 2022"
Colombia,40,,40,,...,,35,,35,,35,,,
Comoros,,,...,,6,,40,"Denominator less than 50.",33,"Denominator less than 50.",55,"Denominator less than 50.",,
Congo,,,...,,...,,...,,...,,...,,,
Costa Rica,,,...,,...,,...,,...,,...,,,
Croatia,22,,...,,...,,...,,...,,...,,,
Cuba,15,,17,,15,,21,,18,,25,,,
Cyprus,,,...,,...,,...,,...,,...,,,
Czechia,,,21,,...,,26,,...,,25,,,
Côte d'Ivoire,,,...,,...,,...,,...,,...,,,
Democratic People's Republic of Korea,,,...,,...,,...,,...,,...,,,
Democratic Republic of the Congo,,,...,,...,,...,,...,,19,,,
Denmark,36,,...,,...,,...,,...,,...,,,
Djibouti,...,"Suppressed because the value is too low.",...,,...,,...,,...,,...,,,
