Country,2010,2010_Footnote, 2011,2011_Footnote, 2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote, 2020,2020_Footnote, 2021,2021_Footnote, 2022,2022_Footnote, 2023,2023_Footnote, 2024,2024_Footnote
Afghanistan,<100,,<200,,<200,,<500,,<500,,<500,,550,,850,,920,,1000,,1100,,1100,,1100,,1200,,1400,
Albania,<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",510,"Children estimates were not available at the time of publication.",570,"Children estimates were not available at the time of publication.",580,"Children estimates were not available at the time of publication.",610,"Children estimates were not available at the time of publication.",680,"Children estimates were not available at the time of publication.",760,"Children estimates were not available at the time of publication.",840,"Children estimates were not available at the time of publication.",860,"Children estimates were not available at the time of publication.",960,"Children estimates were not available at the time of publication."
Algeria,2200,,2700,,3400,,4600,,6000,,7700,,9600,,11 000,,13 000,,14 000,,16 000,,17 000,,18 000,,20 000,,20 000,
Angola,22 000,,27 000,,32 000,,48 000,,63 000,,72 000,,70 000,,79 000,,89 000,,93 000,,110 000,,130 000,,140 000,,160 000,,180 000,
Antigua and Barbuda,<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",510,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",570,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",590,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,43 000,,47 000,,52 000,,57 000,,62 000,,67 000,,73 000,,78 000,,83 000,,87 000,,92 000,,97 000,,100 000,,110 000,,110 000,
Armenia,<500,,<500,,<500,,570,,730,,930,,1200,,1500,,1900,,2200,,2300,,2600,,3100,,3400,,3800,
Australia,12 000,,14 000,,15 000,,17 000,,18 000,,19 000,,20 000,,22 000,,22 000,,23 000,,24 000,,25 000,,25 000,,27 000,,...,
Austria,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Azerbaijan,<500,"Children estimates were not available at the time of publication.",710,"Children estimates were not available at the time of publication.",910,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1800,"Children estimates were not available at the time of publication.",2300,"Children estimates were not available at the time of publication.",2800,"Children estimates were not available at the time of publication.",3400,"Children estimates were not available at the time of publication.",4100,"Children estimates were not available at the time of publication.",5100,"Children estimates were not available at the time of publication.",5600,"Children estimates were not available at the time of publication.",6200,"Children estimates were not available at the time of publication.",6400,"Children estimates were not available at the time of publication.",7500,"Children estimates were not available at the time of publication.",8500,"Children estimates were not available at the time of publication."
Bahamas,1400,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1700,"Children estimates were not available at the time of publication.",2000,"Children estimates were not available at the time of publication.",2400,"Children estimates were not available at the time of publication.",2300,"Children estimates were not available at the time of publication.",2300,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",3100,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",2800,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication."
Bahrain,<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication."
Bangladesh,<500,,660,,830,,1100,,1300,,1500,,1800,,2500,,3000,,3300,,4200,,4600,,5200,,6200,,7000,
Barbados,870,"Children estimates were not available at the time of publication.",930,"Children estimates were not available at the time of publication.",1000,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1400,"Children estimates were not available at the time of publication.",1400,"Children estimates were not available at the time of publication.",1400,"Children estimates were not available at the time of publication.",1400,"Children estimates were not available at the time of publication.",1400,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication."
Belarus,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Belgium,9300,,10 000,,11 000,,12 000,,12 000,,13 000,,14 000,,15 000,,15 000,,15 000,,15 000,,16 000,,16 000,,17 000,,...,
Belize,780,"Children estimates were not available at the time of publication.",910,"Children estimates were not available at the time of publication.",970,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1400,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1600,"Children estimates were not available at the time of publication.",1800,"Children estimates were not available at the time of publication.",1900,"Children estimates were not available at the time of publication."
Benin,20 000,,26 000,,28 000,,25 000,,29 000,,26 000,,24 000,,38 000,,41 000,,45 000,,51 000,,56 000,,61 000,,57 000,,61 000,
Bhutan,<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",540,"Children estimates were not available at the time of publication.",580,"Children estimates were not available at the time of publication.",640,"Children estimates were not available at the time of publication.",700,"Children estimates were not available at the time of publication.",770,"Children estimates were not available at the time of publication."
Bolivia (Plurinational State of),1300,,1300,,2300,,3000,,3800,,5400,,6600,,8200,,10 000,,12 000,,13 000,,15 000,,15 000,,18 000,,19 000,
Bosnia and Herzegovina,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Botswana,160 000,,180 000,,210 000,,220 000,,230 000,,260 000,,270 000,,290 000,,310 000,,310 000,,320 000,,330 000,,340 000,,340 000,,340 000,
Brazil,240 000,,270 000,,300 000,,340 000,,390 000,,450 000,,490 000,,540 000,,590 000,,640 000,,660 000,,700 000,,740 000,,780 000,,830 000,
Brunei Darussalam,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Bulgaria,<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",540,"Children estimates were not available at the time of publication.",640,"Children estimates were not available at the time of publication.",730,"Children estimates were not available at the time of publication.",840,"Children estimates were not available at the time of publication.",980,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1700,"Children estimates were not available at the time of publication.",1800,"Children estimates were not available at the time of publication.",1900,"Children estimates were not available at the time of publication.",2200,"Children estimates were not available at the time of publication.",2300,"Children estimates were not available at the time of publication.",2500,"Children estimates were not available at the time of publication."
Burkina Faso,32 000,,36 000,,39 000,,42 000,,47 000,,52 000,,57 000,,62 000,,60 000,,69 000,,63 000,,67 000,,71 000,,74 000,,77 000,
Burundi,23 000,,26 000,,29 000,,33 000,,37 000,,42 000,,51 000,,57 000,,62 000,,68 000,,69 000,,71 000,,72 000,,73 000,,74 000,
Cabo Verde,770,,890,,1100,,1300,,1500,,1500,,1600,,1900,,2200,,2400,,2600,,2800,,2800,,2900,,3100,
Cambodia,41 000,,44 000,,46 000,,48 000,,50 000,,52 000,,55 000,,57 000,,59 000,,61 000,,62 000,,63 000,,65 000,,68 000,,70 000,
Cameroon,84 000,,100 000,,120 000,,120 000,,140 000,,160 000,,190 000,,240 000,,270 000,,300 000,,340 000,,380 000,,410 000,,440 000,,450 000,
Canada,23 000,,24 000,,25 000,,33 000,,35 000,,38 000,,41 000,,43 000,,45 000,,47 000,,49 000,,49 000,,50 000,,...,,...,
Central African Republic,15 000,,14 000,,17 000,,17 000,,24 000,,27 000,,32 000,,37 000,,40 000,,47 000,,51 000,,56 000,,61 000,,64 000,,67 000,
Chad,20 000,,24 000,,27 000,,30 000,,34 000,,37 000,,41 000,,44 000,,48 000,,50 000,,55 000,,59 000,,62 000,,69 000,,79 000,
Chile,14 000,,16 000,,19 000,,22 000,,25 000,,28 000,,33 000,,39 000,,45 000,,50 000,,54 000,,57 000,,62 000,,64 000,,65 000,
China,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Colombia,23 000,,33 000,,40 000,,48 000,,55 000,,67 000,,76 000,,78 000,,92 000,,110 000,,120 000,,130 000,,140 000,,150 000,,...,
Comoros,<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication."
Congo,15 000,,17 000,,17 000,,20 000,,19 000,,21 000,,22 000,,23 000,,25 000,,26 000,,27 000,,29 000,,34 000,,38 000,,44 000,
Costa Rica,3300,,3700,,4000,,4300,,4700,,5600,,6200,,7000,,8100,,9100,,9200,,11 000,,12 000,,13 000,,13 000,
