Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Afghanistan,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,7 ,2 , 30,,7 ,2 , 31,,... ,... , ...,
Albania,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",38 ,32 , 42,"Children estimates were not available at the time of publication.",42 ,36 , 46,"Children estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Algeria,45 ,42 , 47,,52 ,49 , 55,,56 ,52 , 59,,60 ,56 , 64,,65 ,60 , 70,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Angola,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Antigua and Barbuda,,,,,,,,,,,,,45 ,40 , 49,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Armenia,20 ,17 , 24,,21 ,18 , 25,,30 ,26 , 36,,34 ,29 , 40,,38 ,32 , 45,,35 ,29 , 42,,32 ,26 , 40,,34 ,28 , 43,,42 ,33 , 55,,45 ,35 , 63,
Australia,76 ,69 , 82,,77 ,70 , 83,,80 ,73 , 87,,80 ,73 , 87,,81 ,74 , 88,,82 ,74 , 89,,83 ,75 , 91,,84 ,76 , 93,,86 ,77 , 95,,,,,
Austria,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,
Azerbaijan,,,,,,,,,29 ,25 , 34,"Children estimates were not available at the time of publication.",38 ,33 , 45,"Children estimates were not available at the time of publication.",45 ,39 , 53,"Children estimates were not available at the time of publication.",52 ,45 , 61,"Children estimates were not available at the time of publication.",54 ,47 , 64,"Children estimates were not available at the time of publication.",64 ,54 , 74,"Children estimates were not available at the time of publication.",71 ,61 , 83,"Children estimates were not available at the time of publication.",80 ,67 , 93,"Children estimates were not available at the time of publication."
Bahamas,,,,,,,,,49 ,45 , 53,"Children estimates were not available at the time of publication.",56 ,50 , 61,"Children estimates were not available at the time of publication.",,,,,53 ,48 , 59,"Children estimates were not available at the time of publication.",59 ,53 , 66,"Children estimates were not available at the time of publication.",59 ,53 , 66,"Children estimates were not available at the time of publication.",64 ,57 , 72,"Children estimates were not available at the time of publication.",68 ,60 , 76,"Children estimates were not available at the time of publication."
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 ,43 , 56,"Children estimates were not available at the time of publication.",53 ,46 , 61,"Children estimates were not available at the time of publication.",53 ,46 , 62,"Children estimates were not available at the time of publication."
Bangladesh,,,,,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,31 ,28 , 33,,35 ,32 , 38,,37 ,34 , 40,
Barbados,,,,,,,,,46 ,41 , 51,"Children estimates were not available at the time of publication.",49 ,44 , 54,"Children estimates were not available at the time of publication.",51 ,45 , 56,"Children estimates were not available at the time of publication.",53 ,47 , 59,"Children estimates were not available at the time of publication.",54 ,47 , 60,"Children estimates were not available at the time of publication.",53 ,46 , 59,"Children estimates were not available at the time of publication.",53 ,47 , 59,"Children estimates were not available at the time of publication.",58 ,51 , 65,"Children estimates were not available at the time of publication."
Belarus,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belgium,86 ,81 , 91,,87 ,82 , 92,,89 ,83 , 94,,89 ,84 , 95,,88 ,82 , 93,,87 ,80 , 92,,87 ,81 , 94,,88 ,81 , 95,,88 ,80 , 96,,,,,
Belize,,,,,22 ,21 , 24,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",27 ,25 , 29,"Children estimates were not available at the time of publication.",22 ,20 , 23,"Children estimates were not available at the time of publication.",27 ,25 , 29,"Children estimates were not available at the time of publication.",26 ,23 , 27,"Children estimates were not available at the time of publication.",32 ,29 , 34,"Children estimates were not available at the time of publication.",37 ,34 , 40,"Children estimates were not available at the time of publication.",38 ,35 , 41,"Children estimates were not available at the time of publication."
Benin,... ,... , ...,,... ,... , ...,,... ,... , ...,,43 ,37 , 50,,44 ,38 , 52,,57 ,50 , 68,,62 ,54 , 73,,70 ,60 , 82,,73 ,63 , 86,,80 ,69 , 95,
Bhutan,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",59 ,49 , 69,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",57 ,48 , 66,"Children estimates were not available at the time of publication.",61 ,52 , 72,"Children estimates were not available at the time of publication.",57 ,48 , 66,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Bolivia (Plurinational State of),,,,,19 ,16 , 23,,22 ,19 , 27,,29 ,24 , 35,,33 ,28 , 40,,36 ,31 , 44,,42 ,36 , 51,,43 ,36 , 51,,46 ,40 , 55,,51 ,43 , 60,
Botswana,,,,,,,,,,,,,82 ,78 , 86,,83 ,78 , 87,,87 ,82 , 91,,90 ,86 , 95,,92 ,87 , 97,,93 ,88 , >98,,94 ,88 , >98,
Brazil,57 ,52 , 60,,59 ,54 , 63,,61 ,56 , 65,,64 ,58 , 68,,65 ,60 , 70,,65 ,59 , 70,,66 ,60 , 70,,66 ,60 , 71,,68 ,61 , 73,,69 ,63 , 74,
Bulgaria,32 ,27 , 36,"Children estimates were not available at the time of publication.",36 ,31 , 41,"Children estimates were not available at the time of publication.",41 ,34 , 45,"Children estimates were not available at the time of publication.",46 ,39 , 51,"Children estimates were not available at the time of publication.",52 ,44 , 58,"Children estimates were not available at the time of publication.",53 ,45 , 59,"Children estimates were not available at the time of publication.",56 ,47 , 63,"Children estimates were not available at the time of publication.",58 ,50 , 65,"Children estimates were not available at the time of publication.",58 ,49 , 64,"Children estimates were not available at the time of publication.",59 ,50 , 66,"Children estimates were not available at the time of publication."
Burkina Faso,,,,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,64 ,55 , 74,,65 ,56 , 75,,73 ,63 , 84,,74 ,63 , 86,
Burundi,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,77 ,69 , 90,,82 ,73 , 95,,84 ,75 , 98,,82 ,73 , 95,,87 ,78 , >98,
Cabo Verde,,,,,,,,,,,,,,,,,34 ,29 , 40,,25 ,21 , 29,,43 ,36 , 51,,56 ,47 , 67,,58 ,48 , 71,,56 ,45 , 68,
