Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Afghanistan,32 ,12 , >98,,32 ,12 , >98,,33 ,12 , >98,,32 ,11 , >98,,32 ,11 , >98,,31 ,10 , >98,,30 ,10 , >98,,30 ,10 , >98,,29 ,9 , >98,,29 ,9 , >98,
Albania,68 ,58 , 75,"Children estimates were not available at the time of publication.",73 ,62 , 80,"Children estimates were not available at the time of publication.",74 ,64 , 82,"Children estimates were not available at the time of publication.",77 ,66 , 85,"Children estimates were not available at the time of publication.",79 ,67 , 87,"Children estimates were not available at the time of publication.",82 ,70 , 91,"Children estimates were not available at the time of publication.",86 ,73 , 95,"Children estimates were not available at the time of publication.",88 ,75 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",88 ,75 , >98,"Children estimates were not available at the time of publication."
Algeria,66 ,62 , 70,,75 ,70 , 79,,80 ,75 , 86,,84 ,79 , 91,,86 ,80 , 94,,87 ,80 , 95,,88 ,80 , 97,,86 ,77 , 96,,87 ,78 , >98,,86 ,76 , >98,
Angola,50 ,45 , 56,,52 ,46 , 58,,53 ,47 , 60,,55 ,50 , 63,,58 ,52 , 65,,61 ,55 , 69,,64 ,57 , 72,,67 ,60 , 76,,69 ,61 , 78,,71 ,62 , 79,
Antigua and Barbuda,93 ,82 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",94 ,82 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",93 ,83 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",94 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",93 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",94 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",95 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",95 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",95 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",94 ,82 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,91 ,83 , 98,,92 ,83 , >98,,92 ,84 , >98,,93 ,84 , >98,,93 ,84 , >98,,93 ,84 , >98,,93 ,85 , >98,,94 ,85 , >98,,94 ,85 , >98,,94 ,85 , >98,
Armenia,49 ,41 , 58,,50 ,43 , 59,,52 ,44 , 60,,54 ,46 , 64,,57 ,48 , 69,,58 ,48 , 70,,60 ,49 , 73,,62 ,50 , 78,,62 ,49 , 82,,65 ,51 , 91,
Australia,90 ,82 , 97,,90 ,82 , 98,,90 ,82 , 98,,90 ,82 , 98,,91 ,82 , >98,,91 ,82 , >98,,90 ,82 , >98,,90 ,81 , >98,,91 ,81 , >98,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,
Azerbaijan,53 ,44 , 63,"Children estimates were not available at the time of publication.",59 ,50 , 69,"Children estimates were not available at the time of publication.",64 ,55 , 75,"Children estimates were not available at the time of publication.",69 ,60 , 82,"Children estimates were not available at the time of publication.",75 ,65 , 88,"Children estimates were not available at the time of publication.",78 ,68 , 92,"Children estimates were not available at the time of publication.",83 ,71 , 98,"Children estimates were not available at the time of publication.",89 ,75 , >98,"Children estimates were not available at the time of publication.",95 ,80 , >98,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication."
Bahamas,93 ,85 , >98,"Children estimates were not available at the time of publication.",93 ,85 , >98,"Children estimates were not available at the time of publication.",95 ,86 , >98,"Children estimates were not available at the time of publication.",95 ,86 , >98,"Children estimates were not available at the time of publication.",95 ,85 , >98,"Children estimates were not available at the time of publication.",95 ,85 , >98,"Children estimates were not available at the time of publication.",95 ,85 , >98,"Children estimates were not available at the time of publication.",95 ,85 , >98,"Children estimates were not available at the time of publication.",95 ,84 , >98,"Children estimates were not available at the time of publication.",95 ,84 , >98,"Children estimates were not available at the time of publication."
