,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote
Afghanistan,32 ,12 , >98,,17 ,6 , 61,,,,,,32 ,12 , >98,,24 ,9 , 90,,,,,,33 ,12 , >98,,34 ,12 , >98,,... ,... , ...,,32 ,11 , >98,,34 ,12 , >98,,... ,... , ...,,32 ,11 , >98,,36 ,12 , >98,,... ,... , ...,,31 ,10 , >98,,36 ,12 , >98,,... ,... , ...,,30 ,10 , >98,,36 ,12 , >98,,... ,... , ...,,30 ,10 , >98,,35 ,11 , >98,,66 ,22 , >98,,29 ,9 , >98,,34 ,11 , >98,,66 ,21 , >98,,29 ,9 , >98,,37 ,11 , >98,,... ,... , ...,
Albania,68 ,58 , 75,"Children estimates were not available at the time of publication.",63 ,54 , 70,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",73 ,62 , 80,"Children estimates were not available at the time of publication.",64 ,55 , 71,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",74 ,64 , 82,"Children estimates were not available at the time of publication.",66 ,57 , 73,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",77 ,66 , 85,"Children estimates were not available at the time of publication.",62 ,53 , 68,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",79 ,67 , 87,"Children estimates were not available at the time of publication.",60 ,51 , 67,"Children estimates were not available at the time of publication.",79 ,67 , 87,"Children estimates were not available at the time of publication.",82 ,70 , 91,"Children estimates were not available at the time of publication.",62 ,53 , 68,"Children estimates were not available at the time of publication.",83 ,70 , 91,"Children estimates were not available at the time of publication.",86 ,73 , 95,"Children estimates were not available at the time of publication.",64 ,55 , 71,"Children estimates were not available at the time of publication.",,,,,88 ,75 , >98,"Children estimates were not available at the time of publication.",66 ,57 , 75,"Children estimates were not available at the time of publication.",,,,,90 ,77 , >98,"Children estimates were not available at the time of publication.",64 ,54 , 72,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",88 ,75 , >98,"Children estimates were not available at the time of publication.",69 ,59 , 80,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Algeria,66 ,62 , 70,,78 ,74 , 83,,87 ,82 , 92,,75 ,70 , 79,,80 ,75 , 84,,87 ,82 , 92,,80 ,75 , 86,,80 ,74 , 85,,87 ,81 , 93,,84 ,79 , 91,,81 ,76 , 87,,87 ,81 , 93,,86 ,80 , 94,,83 ,77 , 90,,90 ,83 , 98,,87 ,80 , 95,,83 ,76 , 91,,... ,... , ...,,88 ,80 , 97,,84 ,77 , 93,,... ,... , ...,,86 ,77 , 96,,80 ,72 , 90,,... ,... , ...,,87 ,78 , >98,,81 ,72 , 92,,... ,... , ...,,86 ,76 , >98,,79 ,70 , 90,,... ,... , ...,
Angola,50 ,45 , 56,,47 ,42 , 53,,,,,,52 ,46 , 58,,43 ,38 , 49,,,,,,53 ,47 , 60,,46 ,41 , 52,,,,,,55 ,50 , 63,,48 ,43 , 55,,... ,... , ...,,58 ,52 , 65,,48 ,43 , 54,,... ,... , ...,,61 ,55 , 69,,53 ,47 , 59,,... ,... , ...,,64 ,57 , 72,,57 ,51 , 64,,... ,... , ...,,67 ,60 , 76,,60 ,53 , 67,,... ,... , ...,,69 ,61 , 78,,64 ,57 , 72,,... ,... , ...,,71 ,62 , 79,,68 ,60 , 76,,... ,... , ...,
Antigua and Barbuda,93 ,82 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",49 ,43 , 53,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,94 ,82 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",59 ,52 , 64,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,93 ,83 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",61 ,54 , 66,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,94 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",61 ,55 , 66,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",78 ,70 , 85,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",93 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",56 ,50 , 61,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,94 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",58 ,52 , 63,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,95 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",64 ,58 , 71,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,95 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",72 ,65 , 80,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,95 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",78 ,69 , 87,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,94 ,82 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",78 ,68 , 88,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,91 ,83 , 98,,66 ,60 , 71,,,,,,92 ,83 , >98,,69 ,62 , 74,,,,,,92 ,84 , >98,,71 ,64 , 76,,,,,,93 ,84 , >98,,73 ,66 , 78,,,,,,93 ,84 , >98,,75 ,68 , 80,,,,,,93 ,84 , >98,,77 ,70 , 82,,,,,,93 ,85 , >98,,79 ,71 , 84,,,,,,94 ,85 , >98,,81 ,73 , 86,,,,,,94 ,85 , >98,,82 ,75 , 88,,,,,,94 ,85 , >98,,84 ,76 , 90,,,,,
Armenia,49 ,41 , 58,,54 ,46 , 65,,77 ,65 , 91,,50 ,43 , 59,,60 ,51 , 71,,69 ,59 , 82,,52 ,44 , 60,,69 ,59 , 81,,85 ,73 , >98,,54 ,46 , 64,,73 ,62 , 86,,86 ,73 , >98,,57 ,48 , 69,,75 ,63 , 90,,88 ,75 , >98,,58 ,48 , 70,,72 ,60 , 87,,82 ,69 , >98,,60 ,49 , 73,,75 ,62 , 93,,72 ,59 , 88,,62 ,50 , 78,,79 ,63 , >98,,70 ,57 , 89,,62 ,49 , 82,,78 ,62 , >98,,85 ,68 , >98,,65 ,51 , 91,,80 ,62 , >98,,86 ,67 , >98,
Australia,90 ,82 , 97,,89 ,81 , 96,,95 ,87 , >98,,90 ,82 , 98,,90 ,82 , 97,,95 ,87 , >98,,90 ,82 , 98,,92 ,84 , >98,,97 ,88 , >98,,90 ,82 , 98,,92 ,83 , >98,,97 ,89 , >98,,91 ,82 , >98,,93 ,84 , >98,,97 ,88 , >98,,91 ,82 , >98,,93 ,85 , >98,,97 ,88 , >98,,90 ,82 , >98,,94 ,85 , >98,,98 ,88 , >98,,90 ,81 , >98,,95 ,85 , >98,,>98 ,88 , >98,,91 ,81 , >98,,97 ,86 , >98,,98 ,87 , >98,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,,,,,,,,
