,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote
Afghanistan,66 ,28 , >98,,24 ,10 , 80,,,,,,76 ,32 , >98,,40 ,17 , >98,,,,,,76 ,31 , >98,,40 ,16 , >98,,... ,... , ...,,75 ,31 , >98,,39 ,16 , >98,,75 ,31 , >98,,72 ,28 , >98,,45 ,18 , >98,,... ,... , ...,,77 ,30 , >98,,41 ,16 , >98,,88 ,35 , >98,,77 ,30 , >98,,42 ,16 , >98,,... ,... , ...,,77 ,29 , >98,,42 ,16 , >98,,75 ,28 , >98,,78 ,29 , >98,,45 ,17 , >98,,71 ,27 , >98,,79 ,29 , >98,,48 ,17 , >98,,92 ,33 , >98,
Albania,78 ,69 , 85,"Children estimates were not available at the time of publication.",62 ,55 , 68,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",78 ,69 , 85,"Children estimates were not available at the time of publication.",64 ,57 , 69,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",80 ,72 , 87,"Children estimates were not available at the time of publication.",61 ,54 , 66,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",83 ,74 , 91,"Children estimates were not available at the time of publication.",63 ,56 , 69,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",86 ,77 , 93,"Children estimates were not available at the time of publication.",62 ,56 , 68,"Children estimates were not available at the time of publication.",81 ,72 , 88,"Children estimates were not available at the time of publication.",90 ,81 , >98,"Children estimates were not available at the time of publication.",64 ,57 , 70,"Children estimates were not available at the time of publication.",85 ,77 , 93,"Children estimates were not available at the time of publication.",93 ,83 , >98,"Children estimates were not available at the time of publication.",65 ,59 , 72,"Children estimates were not available at the time of publication.",,,,,95 ,84 , >98,"Children estimates were not available at the time of publication.",67 ,59 , 74,"Children estimates were not available at the time of publication.",,,,,94 ,83 , >98,"Children estimates were not available at the time of publication.",64 ,57 , 72,"Children estimates were not available at the time of publication.",93 ,82 , >98,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",69 ,61 , 78,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Algeria,56 ,52 , 59,,94 ,88 , >98,,88 ,82 , 92,,65 ,61 , 69,,93 ,87 , >98,,88 ,82 , 93,,71 ,67 , 76,,91 ,85 , 97,,88 ,82 , 94,,77 ,71 , 83,,90 ,83 , 97,,88 ,81 , 94,,80 ,74 , 87,,90 ,83 , 97,,90 ,83 , 98,,81 ,74 , 89,,88 ,80 , 96,,... ,... , ...,,83 ,75 , 92,,87 ,79 , 97,,... ,... , ...,,82 ,74 , 92,,82 ,75 , 92,,... ,... , ...,,84 ,75 , 95,,82 ,73 , 93,,... ,... , ...,,83 ,74 , 95,,78 ,70 , 90,,... ,... , ...,
Angola,59 ,52 , 67,,44 ,39 , 50,,,,,,61 ,54 , 69,,39 ,34 , 44,,,,,,62 ,55 , 71,,40 ,36 , 46,,,,,,64 ,57 , 73,,43 ,38 , 49,,... ,... , ...,,67 ,59 , 76,,45 ,39 , 51,,... ,... , ...,,70 ,62 , 79,,51 ,45 , 57,,... ,... , ...,,72 ,64 , 82,,55 ,48 , 62,,... ,... , ...,,76 ,67 , 85,,57 ,50 , 64,,... ,... , ...,,77 ,68 , 86,,61 ,54 , 69,,... ,... , ...,,78 ,68 , 87,,65 ,57 , 73,,... ,... , ...,
Antigua and Barbuda,93 ,83 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",50 ,44 , 54,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,94 ,83 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",62 ,55 , 67,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,93 ,83 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",64 ,57 , 69,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,93 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",65 ,58 , 70,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",81 ,73 , 88,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",92 ,82 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",51 ,46 , 55,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,93 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",52 ,47 , 57,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,95 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",65 ,58 , 72,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,94 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",71 ,64 , 79,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,93 ,83 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",77 ,69 , 86,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,92 ,81 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",78 ,69 , 89,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,91 ,84 , >98,,70 ,64 , 75,,,,,,92 ,85 , >98,,72 ,67 , 78,,,,,,92 ,85 , >98,,75 ,69 , 80,,,,,,92 ,85 , >98,,77 ,71 , 82,,,,,,93 ,86 , >98,,79 ,73 , 84,,,,,,93 ,86 , >98,,80 ,74 , 87,,,,,,93 ,86 , >98,,82 ,76 , 88,,,,,,95 ,87 , >98,,90 ,82 , 96,,,,,,94 ,86 , >98,,92 ,84 , >98,,,,,,95 ,87 , >98,,94 ,85 , >98,,,,,
Armenia,50 ,42 , 59,,57 ,48 , 68,,80 ,67 , 96,,51 ,43 , 60,,65 ,56 , 77,,73 ,63 , 87,,52 ,44 , 61,,75 ,64 , 88,,90 ,77 , >98,,54 ,46 , 64,,78 ,66 , 92,,90 ,76 , >98,,57 ,48 , 68,,80 ,67 , 96,,93 ,79 , >98,,58 ,48 , 70,,76 ,64 , 93,,87 ,72 , >98,,60 ,49 , 73,,80 ,66 , >98,,75 ,62 , 93,,61 ,49 , 77,,83 ,66 , >98,,76 ,61 , 97,,61 ,48 , 80,,81 ,64 , >98,,88 ,69 , >98,,62 ,48 , 86,,83 ,64 , >98,,89 ,68 , >98,
Australia,79 ,72 , 86,,86 ,78 , 93,,94 ,85 , >98,,79 ,72 , 86,,87 ,80 , 95,,94 ,86 , >98,,81 ,74 , 88,,89 ,81 , 97,,98 ,89 , >98,,82 ,74 , 89,,89 ,81 , 97,,97 ,88 , >98,,84 ,76 , 92,,90 ,82 , >98,,96 ,87 , >98,,86 ,77 , 94,,92 ,83 , >98,,98 ,89 , >98,,87 ,78 , 96,,91 ,82 , >98,,97 ,87 , >98,,89 ,80 , >98,,91 ,81 , >98,,>98 ,88 , >98,,93 ,82 , >98,,94 ,83 , >98,,97 ,86 , >98,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,58 ,49 , 69,"Children estimates were not available at the time of publication.",57 ,48 , 67,"Children estimates were not available at the time of publication.",,,,,65 ,55 , 77,"Children estimates were not available at the time of publication.",63 ,53 , 74,"Children estimates were not available at the time of publication.",,,,,71 ,61 , 84,"Children estimates were not available at the time of publication.",70 ,59 , 82,"Children estimates were not available at the time of publication.",>98 ,>98 , >98,"Children estimates were not available at the time of publication.",77 ,66 , 91,"Children estimates were not available at the time of publication.",76 ,66 , 90,"Children estimates were not available at the time of publication.",82 ,71 , 98,"Children estimates were not available at the time of publication.",83 ,71 , >98,"Children estimates were not available at the time of publication.",83 ,71 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",86 ,74 , >98,"Children estimates were not available at the time of publication.",85 ,72 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",91 ,77 , >98,"Children estimates were not available at the time of publication.",86 ,73 , >98,"Children estimates were not available at the time of publication.",90 ,76 , >98,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",84 ,71 , >98,"Children estimates were not available at the time of publication.",89 ,75 , >98,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",87 ,73 , >98,"Children estimates were not available at the time of publication.",88 ,74 , >98,"Children estimates were not available at the time of publication.",>98 ,93 , >98,"Children estimates were not available at the time of publication.",89 ,74 , >98,"Children estimates were not available at the time of publication.",88 ,74 , >98,"Children estimates were not available at the time of publication."
