,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people living with HIV who know their status_Footnote, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people who know their status who are on ART_Footnote, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people on ART who achieve viral suppression_Footnote
Afghanistan,28 ,10 , >98,,15 ,6 , 54,,,,,,26 ,9 , >98,,19 ,7 , 72,,,,,,27 ,9 , >98,,31 ,11 , >98,,... ,... , ...,,26 ,9 , >98,,32 ,11 , >98,,... ,... , ...,,26 ,9 , >98,,33 ,11 , >98,,... ,... , ...,,24 ,8 , 98,,35 ,11 , >98,,... ,... , ...,,24 ,8 , >98,,34 ,11 , >98,,... ,... , ...,,23 ,7 , >98,,32 ,10 , >98,,62 ,20 , >98,,23 ,7 , >98,,30 ,9 , >98,,65 ,20 , >98,,22 ,6 , >98,,33 ,9 , >98,,... ,... , ...,
Albania,63 ,51 , 71,"Children estimates were not available at the time of publication.",63 ,51 , 71,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",70 ,57 , 79,"Children estimates were not available at the time of publication.",63 ,51 , 72,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",71 ,58 , 80,"Children estimates were not available at the time of publication.",67 ,54 , 76,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",74 ,60 , 83,"Children estimates were not available at the time of publication.",60 ,49 , 68,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",77 ,62 , 87,"Children estimates were not available at the time of publication.",59 ,47 , 67,"Children estimates were not available at the time of publication.",78 ,63 , 88,"Children estimates were not available at the time of publication.",80 ,64 , 91,"Children estimates were not available at the time of publication.",60 ,48 , 68,"Children estimates were not available at the time of publication.",81 ,65 , 92,"Children estimates were not available at the time of publication.",83 ,67 , 95,"Children estimates were not available at the time of publication.",63 ,51 , 71,"Children estimates were not available at the time of publication.",,,,,85 ,69 , 98,"Children estimates were not available at the time of publication.",66 ,53 , 75,"Children estimates were not available at the time of publication.",,,,,89 ,72 , >98,"Children estimates were not available at the time of publication.",63 ,51 , 74,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",87 ,70 , >98,"Children estimates were not available at the time of publication.",69 ,56 , 82,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Algeria,71 ,65 , 78,,65 ,59 , 71,,87 ,79 , 95,,80 ,73 , 88,,68 ,62 , 74,,87 ,79 , 95,,86 ,78 , 94,,69 ,63 , 76,,87 ,78 , 95,,89 ,80 , >98,,73 ,66 , 81,,87 ,78 , 96,,90 ,80 , >98,,77 ,68 , 84,,90 ,80 , >98,,89 ,79 , >98,,78 ,69 , 87,,... ,... , ...,,89 ,79 , >98,,80 ,71 , 91,,... ,... , ...,,88 ,76 , >98,,77 ,67 , 88,,... ,... , ...,,89 ,76 , >98,,79 ,68 , 92,,... ,... , ...,,88 ,74 , >98,,78 ,66 , 91,,78 ,65 , 91,
Angola,52 ,46 , 60,,50 ,44 , 58,,,,,,55 ,49 , 64,,51 ,45 , 59,,,,,,57 ,50 , 65,,57 ,50 , 65,,,,,,59 ,52 , 68,,58 ,51 , 67,,... ,... , ...,,60 ,54 , 70,,51 ,45 , 58,,... ,... , ...,,64 ,57 , 74,,53 ,47 , 61,,... ,... , ...,,67 ,59 , 76,,58 ,52 , 67,,... ,... , ...,,70 ,62 , 79,,62 ,55 , 70,,... ,... , ...,,71 ,63 , 81,,67 ,59 , 76,,... ,... , ...,,73 ,64 , 83,,71 ,63 , 81,,... ,... , ...,
Antigua and Barbuda,93 ,82 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",47 ,42 , 51,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,94 ,83 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",57 ,50 , 61,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,94 ,83 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",58 ,52 , 63,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,94 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",58 ,52 , 63,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",78 ,69 , 84,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",94 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",59 ,53 , 65,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,95 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",61 ,55 , 67,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,95 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",63 ,56 , 69,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,96 ,85 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",73 ,64 , 81,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,96 ,84 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",78 ,68 , 87,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,96 ,83 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",77 ,67 , 87,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",... ,... , ...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,91 ,81 , >98,,64 ,56 , 70,,,,,,92 ,81 , >98,,67 ,59 , 73,,,,,,92 ,82 , >98,,69 ,61 , 75,,,,,,93 ,82 , >98,,71 ,63 , 78,,,,,,93 ,82 , >98,,73 ,65 , 80,,,,,,93 ,83 , >98,,75 ,66 , 82,,,,,,93 ,83 , >98,,77 ,68 , 84,,,,,,93 ,83 , >98,,75 ,67 , 82,,,,,,94 ,83 , >98,,77 ,68 , 84,,,,,,94 ,84 , >98,,79 ,70 , 86,,,,,
Armenia,48 ,41 , 57,,54 ,46 , 64,,75 ,64 , 89,,50 ,42 , 58,,59 ,50 , 69,,67 ,57 , 79,,51 ,44 , 60,,66 ,57 , 78,,82 ,70 , 96,,54 ,46 , 64,,71 ,61 , 84,,83 ,71 , >98,,57 ,48 , 68,,73 ,62 , 88,,86 ,73 , >98,,58 ,48 , 69,,70 ,59 , 85,,80 ,67 , 97,,59 ,48 , 73,,73 ,59 , 89,,70 ,57 , 86,,62 ,50 , 79,,76 ,61 , 97,,67 ,54 , 86,,63 ,50 , 84,,77 ,61 , >98,,84 ,66 , >98,,66 ,51 , 94,,78 ,60 , >98,,85 ,65 , >98,
Australia,91 ,84 , >98,,89 ,82 , 98,,95 ,87 , >98,,92 ,84 , >98,,90 ,82 , >98,,95 ,86 , >98,,92 ,83 , >98,,92 ,84 , >98,,97 ,88 , >98,,91 ,83 , >98,,92 ,84 , >98,,97 ,88 , >98,,92 ,83 , >98,,93 ,84 , >98,,97 ,88 , >98,,91 ,82 , >98,,94 ,84 , >98,,96 ,87 , >98,,91 ,81 , >98,,94 ,84 , >98,,98 ,87 , >98,,90 ,80 , >98,,95 ,85 , >98,,>98 ,87 , >98,,91 ,80 , >98,,97 ,86 , >98,,98 ,86 , >98,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,,,,,,,,
