Country,2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2024,2024_Footnote
Afghanistan,,,1.75,"Source: DHS 2015",,,,,,,,
Angola,,,32.25,"Source: DHS 2015",,,,,,,,
Antigua and Barbuda,,,,,85.67,"Source: Population Survey 2016",,,,,,
Bahamas,4.4,"Source: Other BSS 2014",,,,,,,,,,
Barbados,46.3,"Source: KABP 2014",,,,,,,,,,
Belize,76.4,"Source: KABS 2014",,,43.03,"Source: MICS 2016",,,,,,
Benin,23.87,"Source: MICS 2014",,,,,,,,,,
Bhutan,,,,,23.2,"Source: Population Based Survey - Demographic and Health Survey (DHS) 2016",,,,,,
Botswana,,,,,47.2,"Source: Population Based Survey - AIDS Indicator Survey (AIS) 2016",,,,,,
Bulgaria,,,,,18.8,"Source: 2016 Other General Population Based Survey",,,,,,
Burkina Faso,,,,,,,,,,,32.1,"Demographic and Health Survey (DHS)"
Cambodia,39.5,"Source: DHS 2014",,,,,,,,,,
Cameroon,34.76,"Source: MICS 2014",,,,,,,39.1,"Source: DHS 2018",,
Chad,13.07,"Source: DHS 2014",,,,,,,,,,
Colombia,,,30.2,"Source: 2015 DHS",,,,,,,,
Congo,,,32.58,"Source: MICS 2015",,,,,,,,
Cuba,60.18,"Source: MICS 2014",,,,,,,,,,
Côte d'Ivoire,,,26.63,"Source: MICS 2015",,,,,,,,
Democratic Republic of the Congo,20.41,"Source: DHS 2014",,,,,,,,,22.92,"Demographic and Health Survey (DHS)"
Dominican Republic,0.45,"Source: MICS 2014",,,,,,,,,,
Egypt,,,5.23,"Source: Survey 2015",,,,,,,,
El Salvador,36.5,"Source: 2014 DHS",,,,,,,,,,
Eswatini,49.53,"Source: MICS 2014",,,,,,,,,,
Ethiopia,,,,,30.52,"Source: DHS 2016",,,,,,
Ghana,22.15,"Source: DHS 2014",,,,,,,,,,
Guatemala,,,22.11,"Source: DHS 2015",,,,,,,,
Guinea,,,,,20.26,"Source: MICS 2016",,,21.7,"Source: DHS 2018",,
Guinea-Bissau,22.25,"Source: MICS 2014",,,,,,,,,,
Guyana,48.6,"Source: MICS 2014",,,,,,,,,,
Haiti,,,,,,,37.3,"Source: DHS 2017",,,,
India,,,,,26.17,"Source: NFHS 2016",,,,,,
Kenya,59.89,"Source: DHS 2014",,,,,,,,,,
Lesotho,35.51,"Source: DHS 2014",,,,,,,,,40.2,"2024 Demographic and Health Survey (DHS)"
Lithuania,70.7,"Source: 2014 BSS",,,,,,,,,,
Madagascar,,,24.1,"Source: 2015 BSS",,,,,,,,
Malawi,,,79.3,"Source: 2015 DHS",41.86,"Source: DHS 2016",,,,,,
Malaysia,,,41.4,"Source: 2015 BSS",,,,,,,,
Mali,,,22.89,"Source: MICS 2015",,,,,15.8,"Source: DHS 2018",,
Mauritania,,,8.47,"Source: MICS 2015",57.8,"Source: 2016 (MICS)",,,,,,
Mauritius,31.8,"Source: 2014 BSS",,,,,,,,,,
Mongolia,22.12,"Source: MICS 2014",,,,,,,,,,
Mozambique,,,30.55,"Source: AIS 2015",,,,,,,,
Myanmar,,,16.6,"Source: 2015 DHS",16.65,"Source: DHS 2016",,,,,,
Niger,,,,,21.5,"Source: 2016 BSS",,,,,,
Nigeria,,,,,,,28.86,"Source: MICS 2017",40.8,"Source: DHS 2018",,
Papua New Guinea,,,,,,,25,"Source: DHS 2017",,,,
Peru,,,,,75.3,"Source: 2016 DHS",,,,,82.7,"Demographic and Health Survey (DHS)"
Rwanda,,,64.5,"Source: DHS 2015",,,,,,,,
Sao Tome and Principe,42.65,"Source: MICS 2014",,,,,,,,,,
Senegal,,,,,27.5,"Source: DHS 2016",,,,,,
South Africa,,,,,45.8,"Source: Other General Population Based Survey 2016",,,,,,
Thailand,,,,,45.55,"Source: MICS 2016",,,,,,
Timor-Leste,,,,,11.08,"Source: DHS 2016",,,,,,
Togo,25.96,"Source: DHS 2014",,,,,,,,,,
Uganda,,,,,45.5,"Source: DHS 2016",,,,,,
Ukraine,23,"Source: 2014 Population Based Survey - Multiple Indicator Cluster Survey (MICS)",,,,,,,,,,
Zambia,43.9,"Source: DHS 2014",,,,,,,41.7,"Source: DHS 2018",,
Zimbabwe,,,46.44,"Source: DHS 2015",,,,,,,,
