Year,Component,Indicator,Amount
2024,"HIV","Total number of HIV tests",46638504
2024,"HIV","Pregnant women who know their HIV status",38468240
2024,"HIV","People on antiretroviral therapy for HIV",25618928
2024,"HIV","Individual HIV self-test kits distributed",6412084
2024,"HIV","People on ART with viral load test result",5679616
2024,"HIV","Antenatal care attendees tested for syphilis",3611158
2024,"HIV","Men who have sex with men reached with HIV prevention programs",2738480
2024,"HIV","Sex workers reached with HIV prevention programs",2588615
2024,"HIV","Number of HIV tests among men who have sex with men",2460406
2024,"HIV","Number of HIV tests taken among prisoners",2334874
2024,"HIV","Number of HIV tests among sex workers",2077070
2024,"HIV","Number of HIV tests among other vulnerable population",2002962
2024,"HIV","Adolescent girls and young women (AGYW) reached with HIV prevention programs",2001495
2024,"HIV","Other vulnerable populations reached with HIV prevention programs",1532723
2024,"HIV","People who use drugs reached with HIV prevention programs",1372173
2024,"HIV","Number of HIV tests among adolescents and youth",1183324
2024,"HIV","Number of HIV tests among drug users",1032893
2024,"HIV","People newly diagnosed with HIV initiated on ART",993130
2024,"HIV","Young people aged 10-24 years reached by comprehensive sexuality education and/or life skills-based HIV education",821876
2024,"HIV","Medical male circumcisions performed",771777
2024,"HIV","Prisoners reached with HIV prevention programs",683635
2024,"HIV","HIV-positive pregnant women who received ART during pregnancy",647522
2024,"HIV","People using pre-exposure prophylaxis",545731
2024,"HIV","Early infant diagnosis",449774
2024,"HIV","Care & support services to people Living with HIV",384898
2024,"HIV","Men who have sex with men who received antiretroviral pre-exposure prophylaxis",322587
2024,"HIV","Sex workers who received antiretroviral pre-exposure prophylaxis",317948
2024,"HIV","People on ART who are received multi month supply of antiretroviral medicine",279255
2024,"HIV","Transgender people reached with HIV prevention programs",245819
2024,"HIV","Young people aged 10-24 years reached with HIV prevention programs",171492
2024,"HIV","Number of HIV tests among transgender population",166558
2024,"HIV","Adolescent girls and young women who received antiretroviral pre-exposure prophylaxis",93289
2024,"HIV","Number of HIV positive tests",82176
2024,"HIV","People who use drugs received antiretroviral pre-exposure prophylaxis",75428
2024,"HIV","People receiving Opioid Substitution Therapy",72834
2024,"HIV","People reached with HIV prevention programs",71616
2024,"HIV","Transgender people who received antiretroviral pre-exposure prophylaxis",10663
2023,"HIV","Total number of HIV tests",53860783
2023,"HIV","Pregnant women who know their HIV status",49351055
2023,"HIV","People on antiretroviral therapy for HIV",24907789
2023,"HIV","Antenatal care attendees tested for syphilis",4852813
2023,"HIV","Young people aged 10-24 years reached by comprehensive sexuality education and/or life skills-based HIV education",4499468
2023,"HIV","Adolescent girls and young women (AGYW) reached with HIV prevention programs",3878898
2023,"HIV","Sex workers reached with HIV prevention programs",2994034
2023,"HIV","Men who have sex with men reached with HIV prevention programs",2769687
2023,"HIV","Number of HIV tests among men who have sex with men",2544242
2023,"HIV","Number of HIV tests taken among prisoners",2351069
2023,"HIV","Number of HIV tests among sex workers",2285574
2023,"HIV","Number of HIV tests among adolescents and youth",2181522
2023,"HIV","Number of HIV tests among other vulnerable population",1985359
2023,"HIV","Other vulnerable populations reached with HIV prevention programs",1461370
2023,"HIV","People who use drugs reached with HIV prevention programs",1347616
2023,"HIV","Care & support services to people Living with HIV",1157008
2023,"HIV","Number of HIV positive tests",1102596
2023,"HIV","Number of HIV tests among drug users",1080061
2023,"HIV","Medical male circumcisions performed",1014773
2023,"HIV","HIV-positive pregnant women who received ART during pregnancy",695168
2023,"HIV","Individual HIV self-test kits distributed",683345
2023,"HIV","Prisoners reached with HIV prevention programs",611108
2023,"HIV","People newly diagnosed with HIV initiated on ART",569232
2023,"HIV","Early infant diagnosis",505211
2023,"HIV","Transgender people reached with HIV prevention programs",195974
2023,"HIV","Number of HIV tests among transgender population",162619
2023,"HIV","Young people aged 10-24 years reached with HIV prevention programs",115981
2023,"HIV","Men who have sex with men who received antiretroviral pre-exposure prophylaxis",101257
2023,"HIV","People using pre-exposure prophylaxis",80474
2023,"HIV","Adolescent girls and young women who received antiretroviral pre-exposure prophylaxis",69032
2023,"HIV","Sex workers who received antiretroviral pre-exposure prophylaxis",62513
2023,"HIV","People receiving Opioid Substitution Therapy",59755
2023,"HIV","Transgender people who received antiretroviral pre-exposure prophylaxis",8292
2022,"HIV","Total number of HIV tests",53362341
2022,"HIV","Pregnant women who know their HIV status",43943450
2022,"HIV","People on antiretroviral therapy for HIV",24536262
2022,"HIV","Young people aged 10-24 years reached by comprehensive sexuality education and/or life skills-based HIV education",4001648
2022,"HIV","Adolescent girls and young women (AGYW) reached with HIV prevention programs",3315169
2022,"HIV","Sex workers reached with HIV prevention programs",2762322
2022,"HIV","Antenatal care attendees tested for syphilis",2647380
2022,"HIV","Men who have sex with men reached with HIV prevention programs",2627981
2022,"HIV","Number of HIV tests among men who have sex with men",2429642
2022,"HIV","Number of HIV tests among other vulnerable population",2293313
2022,"HIV","Number of HIV tests among sex workers",2224585
2022,"HIV","Number of HIV tests among adolescents and youth",2127567
2022,"HIV","Number of HIV tests taken among prisoners",1746944
2022,"HIV","Number of HIV positive tests",1295119
2022,"HIV","People who use drugs reached with HIV prevention programs",1245712
2022,"HIV","Number of HIV tests among drug users",1056221
2022,"HIV","Medical male circumcisions performed",942321
2022,"HIV","Other vulnerable populations reached with HIV prevention programs",842941
2022,"HIV","HIV-positive pregnant women who received ART during pregnancy",710015
2022,"HIV","Care & support services to people Living with HIV",651175
2022,"HIV","Early infant diagnosis",473415
2022,"HIV","Prisoners reached with HIV prevention programs",461774
2022,"HIV","People newly diagnosed with HIV initiated on ART",451076
2022,"HIV","Individual HIV self-test kits distributed",199024
2022,"HIV","Transgender people reached with HIV prevention programs",161116
2022,"HIV","Number of HIV tests among transgender population",151129
2022,"HIV","Men who have sex with men who received antiretroviral pre-exposure prophylaxis",62211
2022,"HIV","People receiving Opioid Substitution Therapy",60441
2022,"HIV","Young people aged 10-24 years reached with HIV prevention programs",45863
2022,"HIV","Adolescent girls and young women who received antiretroviral pre-exposure prophylaxis",44273
2022,"HIV","Sex workers who received antiretroviral pre-exposure prophylaxis",37637
2022,"HIV","People using pre-exposure prophylaxis",30167
2022,"HIV","Transgender people who received antiretroviral pre-exposure prophylaxis",3136
2021,"HIV","Total number of HIV tests",70760376
2021,"HIV","Pregnant women who know their HIV status",41307334
2021,"HIV","People on antiretroviral therapy for HIV",23154577
2021,"HIV","Number of HIV tests among other vulnerable population",5248864
2021,"HIV","Adolescent girls and young women (AGYW) reached with HIV prevention programs",3677364
2021,"HIV","Antenatal care attendees tested for syphilis",2460258
2021,"HIV","Young people aged 10-24 years reached by comprehensive sexuality education and/or life skills-based HIV education",2414726
2021,"HIV","Sex workers reached with HIV prevention programs",2182512
2021,"HIV","Men who have sex with men reached with HIV prevention programs",2077880
2021,"HIV","Number of HIV tests among men who have sex with men",1906498
2021,"HIV","Number of HIV tests among adolescents and youth",1751798
2021,"HIV","Care & support services to people Living with HIV",1721871
2021,"HIV","Number of HIV tests among sex workers",1668311
2021,"HIV","Number of HIV positive tests",1204828
2021,"HIV","Medical male circumcisions performed",1113048
2021,"HIV","People who use drugs reached with HIV prevention programs",1078713
2021,"HIV","Number of HIV tests among drug users",926720
2021,"HIV","Number of HIV tests taken among prisoners",675537
2021,"HIV","HIV-positive pregnant women who received ART during pregnancy",667185
2021,"HIV","Other vulnerable populations reached with HIV prevention programs",591918
2021,"HIV","People newly diagnosed with HIV initiated on ART",546787
2021,"HIV","Early infant diagnosis",421907
2021,"HIV","Prisoners reached with HIV prevention programs",294546
2021,"HIV","Number of HIV tests among transgender population",121773
2021,"HIV","Transgender people reached with HIV prevention programs",118730
2021,"HIV","Individual HIV self-test kits distributed",68377
2021,"HIV","People receiving Opioid Substitution Therapy",65086
2021,"HIV","Men who have sex with men who received antiretroviral pre-exposure prophylaxis",40222
2021,"HIV","Adolescent girls and young women who received antiretroviral pre-exposure prophylaxis",30110
2021,"HIV","Young people aged 10-24 years reached with HIV prevention programs",18466
2021,"HIV","Sex workers who received antiretroviral pre-exposure prophylaxis",15944
2021,"HIV","People using pre-exposure prophylaxis",9322
2021,"HIV","Transgender people who received antiretroviral pre-exposure prophylaxis",1739
2020,"HIV","Total number of HIV tests",102545818
2020,"HIV","Pregnant women who know their HIV status",43725693
2020,"HIV","People on antiretroviral therapy for HIV",21885232
2020,"HIV","Sex workers reached with HIV prevention programs",1923489
2020,"HIV","Adolescent girls and young women (AGYW) reached with HIV prevention programs",1707719
2020,"HIV","Men who have sex with men reached with HIV prevention programs",1542769
2020,"HIV","Care & support services to people Living with HIV",1406570
2020,"HIV","Number of HIV tests among sex workers",1288927
2020,"HIV","Number of HIV tests among men who have sex with men",1284819
2020,"HIV","Medical male circumcisions performed",1166613
2020,"HIV","Other vulnerable populations reached with HIV prevention programs",1008861
2020,"HIV","People who use drugs reached with HIV prevention programs",892215
2020,"HIV","Number of HIV tests among drug users",769221
2020,"HIV","Number of HIV tests among other vulnerable population",717891
2020,"HIV","Number of HIV tests among adolescents and youth",705739
2020,"HIV","HIV-positive pregnant women who received ART during pregnancy",686292
2020,"HIV","Young people aged 10-24 years reached by comprehensive sexuality education and/or life skills-based HIV education",658888
2020,"HIV","Antenatal care attendees tested for syphilis",624184
2020,"HIV","Number of HIV tests taken among prisoners",572856
2020,"HIV","Young people aged 10-24 years reached with HIV prevention programs",541444
2020,"HIV","Early infant diagnosis",418342
2020,"HIV","Transgender people reached with HIV prevention programs",101552
2020,"HIV","People receiving Opioid Substitution Therapy",92227
2020,"HIV","Number of HIV tests among transgender population",78399
2020,"HIV","Prisoners reached with HIV prevention programs",50729
2020,"HIV","People using pre-exposure prophylaxis",18907
2020,"HIV","Men who have sex with men who received antiretroviral pre-exposure prophylaxis",12209
2020,"HIV","Sex workers who received antiretroviral pre-exposure prophylaxis",11358
2020,"HIV","Adolescent girls and young women who received antiretroviral pre-exposure prophylaxis",8938
2020,"HIV","People newly diagnosed with HIV initiated on ART",121
2019,"HIV","Total number of HIV tests",127035654
2019,"HIV","Pregnant women who know their HIV status",45249969
2019,"HIV","People on antiretroviral therapy for HIV",20093160
2019,"HIV","Sex workers reached with HIV prevention programs",1921920
2019,"HIV","Men who have sex with men reached with HIV prevention programs",1770721
2019,"HIV","Care & support services to people Living with HIV",1764761
2019,"HIV","Adolescent girls and young women (AGYW) reached with HIV prevention programs",1512424
2019,"HIV","Number of HIV tests among men who have sex with men",1434511
2019,"HIV","Young people aged 10-24 years reached by comprehensive sexuality education and/or life skills-based HIV education",1425760
2019,"HIV","Other vulnerable populations reached with HIV prevention programs",1371473
2019,"HIV","Medical male circumcisions performed",1277911
2019,"HIV","Number of HIV tests among sex workers",1277099
2019,"HIV","Number of HIV tests among other vulnerable population",923244
2019,"HIV","People who use drugs reached with HIV prevention programs",852952
2019,"HIV","Number of HIV tests among drug users",774400
2019,"HIV","Number of HIV tests taken among prisoners",742287
2019,"HIV","HIV-positive pregnant women who received ART during pregnancy",718501
2019,"HIV","Number of HIV tests among adolescents and youth",715755
2019,"HIV","Antenatal care attendees tested for syphilis",600614
2019,"HIV","Early infant diagnosis",435512
2019,"HIV","Young people aged 10-24 years reached with HIV prevention programs",388083
2019,"HIV","Transgender people reached with HIV prevention programs",136810
2019,"HIV","Number of HIV tests among transgender population",106464
2019,"HIV","People receiving Opioid Substitution Therapy",82919
2019,"HIV","Prisoners reached with HIV prevention programs",33597
2019,"HIV","Men who have sex with men who received antiretroviral pre-exposure prophylaxis",12518
2019,"HIV","People using pre-exposure prophylaxis",7645
2019,"HIV","Sex workers who received antiretroviral pre-exposure prophylaxis",6092
2019,"HIV","People newly diagnosed with HIV initiated on ART",231
2018,"HIV","Total number of HIV tests",125429887
