Region Code: AS
"Region Name: Asia"
Country Code: PHL
"Country Name: Philippines"
Export date: 4/17/2026 7:42:03 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0000,All Causes,2000,All,Age_all,[All],366931.00000000,100.00000000,937.51287247,470.47409050,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2000,All,Age_all,[All],100165.00000000,27.29804786,227.75696588,128.43024240,
CG0020,Infectious and parasitic diseases,2000,All,Age_all,[All],45779.00000000,12.47618762,99.71249288,58.69723024,
CG0030,Tuberculosis,2000,All,Age_all,[All],27557.00000000,7.51013133,69.64371112,35.33322208,
CG0040,STDs excluding HIV,2000,All,Age_all,[All],51.00000000,0.01389907,0.12085560,0.06539153,
CG0050,Syphilis,2000,All,Age_all,[All],10.00000000,0.00272531,0.02753791,0.01282187,
CG0060,Chlamydia,2000,All,Age_all,[All],1.00000000,0.00027253,0.00081581,0.00128219,
CG0070,Gonorrhoea,2000,All,Age_all,[All],3.00000000,0.00081759,0.01161200,0.00384656,
CG0080,Other STDs,2000,All,Age_all,[All],37.00000000,0.01008364,0.08088988,0.04744091,
CG0090,HIV/AIDS,2000,All,Age_all,[All],22.00000000,0.00599568,0.03908467,0.02820811,
CG0100,Diarrhoeal diseases,2000,All,Age_all,[All],5384.00000000,1.46730584,8.24065205,6.90329382,
CG0110,Childhood-cluster diseases,2000,All,Age_all,[All],2320.00000000,0.63227146,2.61592073,2.97467341,
CG0120,Pertussis,2000,All,Age_all,[All],2.00000000,0.00054506,0.00642034,0.00256437,
CG0130,Poliomyelitis,2000,All,Age_all,[All],31.00000000,0.00844845,0.04011652,0.03974779,
CG0140,Diphtheria,2000,All,Age_all,[All],24.00000000,0.00654074,0.02009175,0.03077248,
CG0150,Measles,2000,All,Age_all,[All],1464.00000000,0.39898510,1.23965295,1.87712150,
CG0160,Tetanus,2000,All,Age_all,[All],799.00000000,0.21775211,1.30963916,1.02446727,
CG0170,Meningitis,2000,All,Age_all,[All],1851.00000000,0.50445452,2.12617010,2.37332780,
CG0180,Hepatitis B,2000,All,Age_all,[All],857.00000000,0.23355890,1.65947671,1.09883410,
CG0190,Hepatitis C,2000,All,Age_all,[All],17.00000000,0.00463302,0.04196553,0.02179718,
CG0200,Malaria,2000,All,Age_all,[All],287.00000000,0.07821634,0.51305219,0.36798762,
CG0210,Tropical-cluster diseases,2000,All,Age_all,[All],260.00000000,0.07085801,0.57209165,0.33336857,
CG0220,Trypanosomiasis,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
