year	label	file_id
2010	2010 December	1kF1NUaj88wcIBdJ_-yaouV1nafhvc6sM
2010	2010 November	12wXoPLjwPBdCFGSL6-QelYx9hzcLpA_A
2010	2010 October	1u7Gz53YKfDq5ltG5fJ3v1tbl-awQBJAy
2010	2010 September	1ag1PcHGJYXGA1d98DlssmLpe3k1MH50U
2010	2010 July	1Z9TIs9sBmQKWVqtBnLsvH9WTNhpemfue
2010	2010 June	1TFF1vUVR3ldXqDcbc02I27MQn-VhAwMS
2010	2010 March	1Edq4e3ROG2B1_nHEAaFkvmPI_i_rnhap
2010	2010 February	1sP3MOsnInMdS7v149MkhbTk5ySi_3RCv
2010	2010 January	1blRbOHVfRI5vdq-0yXFE_0Q4gNosZdv9
2011	2011 December	1kwE8xxuyQuNXVlXZxrQBax8D4X7I0swl
2011	2011 November	1l7zl1TcOpdCV2__lCgs1AehJdhhU5VVs
2011	2011 October	1onU4-V1BhHv17D8RjjzOETKWwf16roqQ
2011	2011 September	1EXXSs3cdX-zWs_JHTXLy6sjqG14A3rsP
2011	2011 August	1ozbU-ZpnDZ8SvhlYoWK98s2Sj5Kk3GAY
2011	2011 July	1HOblceT8aDLTo2fT-DglgjraOC6p3YoV
2011	2011 June	1XliY3gZq7o40RLSVtkBVbm2nN842WPoI
2011	2011 May	16MHmIlNp6GjUwfsLxl4I5ahvo8g0Aoz6
2011	2011 April	1zAQNGPdWQlIfV8l1cC1KbsUeXNBd2OhK
2011	2011 March	1Ju4NdLrAYjawZJY4Ous41vqap-Mr5hc7
2011	2011 February	1MmXXTr3lCFTxvJ1WJOrWS5ksx_Qe6Fnf
2012	2012 January	1Q0g-blC4DfTN73RqYQgKPM4JkgLkHQRx
2012	2012 February	1bAu8D9wokuLsMdJYnnwZVfd9jKDEkoPj
2012	2012 March	1GukY6LTG6hn_9n1WZPPrONo7ZyiUUEOG
2012	2012 April	1duHlOr0oNwR3UiKgcq0IqdUUGIsam_Ks
2012	2012 May	1puh6IvenqDhgEzmuOpM6zHb2GztipTh-
2012	2012 June	16HOlFBzJTEBlq16h93JrCpRA6ZKVlCNB
2012	2012 July	15sbXtiMbOlhoa_klKpzp5OipDbXk1KQs
2012	2012 August	1gKliDfgE-jjm4fiWg2DKGFJKaIllGjGv
2012	2012 September	1zG8FmQN3uZaLD3uCOyqMA2ph7utQnljL
2012	2012 October	1seJNaW9cVZ51IYl2MsF0O9bdcEGwyU75
2012	2012 November	1q7ologGmQth5fTSXcYjXINaFznxW_5QE
2012	2012 December	1WrWHSzKm6smOs9GKE9YE9oidF5SWSFOm
2013	2013 January	15bMjYrR6JUmUNxWCwcHART1YskMSXXRM
2013	2013 February	1CasViOdDjYnFvHjWwrh4hZ6aIvnaJD4n
2013	2013 March	1asrS6zhsokjUy89_aWCh5N_TE9m3zlOO
2013	2013 April	1YK5yyasxhA-vUf1gxOKvgS3fcNHGm4-x
2013	2013 May	16Cj3wFbqJGfzuSMHdkHS_xMtOEIg7bPA
2013	2013 June	1MDKxZBwDnDSVzyVYHcJxIS7UnuhrOyHi
2013	2013 July	1H1cRPByZojp0YtvGN3344IJjWtGepdIg
2013	2013 August	1BIV_7wMPVjOhlLRP5YsKzqHaZ_G4bl9C
2013	2013 September	1B_A4eCq2GKhl8mEcPPQa_wxLFV7uiQmK
2013	2013 October	1er0Q67IRobVkHYJ6jCF7mV8Viwq_Ml6m
2013	2013 November	1jPLcauXpJSKDhbLAn4V3eem5_CCGENT2
2013	2013 December	1j113O7yaCjEwepHUiKsZdg4UCZItdvnz
2014	2014 January	1dBl95djuuKn2uvFZ071jhj2i77rfCvve
2014	2014 February	1piQuskhdA64AuEbr8T8Vg9Ck2luDcuzQ
2014	2014 March	1KNMR2bYMmA_pvIl-qjA3GjVmv35UlE-x
2014	2014 April	1XafwckqiIY1LQpB3tB8le7rE4Qiv1VMj
2014	2014 May	1d_-HKlop3VSJ6XBD6HNB1_N1WOunPi8o
2014	2014 June	1TMBlTfV-yEY2xVBZGICixN83JxoWEAFm
2014	2014 July	1IWLtGAJe0XuDtLu7mPXKQdC5BLNtx346
2014	2014 August	1Aftbeq4YmAY95R6pBSM0OT2nH1kQR54c
2014	2014 September	1as1lt111Xki2zJgmYjAtF9cUbKW5dHR_
2014	2014 October	1Bni27LC4EEYVdw4TpmEAeM4rtmT9VtX4
2014	2014 November	1asjW3lr-SoySvz8EGnj400vRd53my8dV
2014	2014 December	1b9PkZ6hCQ7tniJoxf8_9vjVvMOIp1X50
2015	2015 December	1F5z6jW6IYrEfXZqpB6Mu7_7QJ7Ur1-6M
2015	2015 November	1wzeb234yiacAO0ZQ8aR6iWMIJVlMqWop
2015	2015 October	1gbX8ZyS0Ooc75ca6CLSnObTU0hSlJhbd
2015	2015 September	1hz2Biuczu7HsVAmzv6UPAjZdgcpqR5Dm
2015	2015 August	1YRPIyefhi0jilO-g4D96kVLjmE2Jehy8
2015	2015 July	1sKuzSFRF2N_nQaaglpUNlWTNGJH3NDuo
2015	2015 May	1YzPVP1bvX_AYBe7J7SpDbzqeswuX1LLy
2015	2015 June	1tL56mw8pYkA4sUN5uboGzTvhG57bvoDL
2015	2015 April	1I-7HN7UwJxNjOBdQyawjIlEG7w24ivex
2015	2015 March	1OBi4rr-hi_yJ89ktXFcthgbllGZS1K42
2015	2015 February	1C5WtEaGLfkhTDAP8r5Su0GazDzRL4k7d
2015	2015 January	1cxjzrcmL0naIh4wBYGftZ65y8lr0j5b4
2016	2016 December	1LGTpU4FcuVwGiWT1CQIKXHbaWecIuDPS
2016	2016 November	1l0ojCqp90WXHCG40-4lurYq9FTzk6mW3
2016	2016 July-October	1QNi1ljdj30GZTkoJ3CmBz0SYDATAktG4
2016	2016 June	1JIt31VR33V6a6dJkmTODDFQUkbfFBkI6
2016	2016 May	1lvN7V7AIQebYRd8ooSCRNIzSUWbFUd3g
2016	2016 April	1RixnazU_YQ6rzyaLfjMq6dJ_YSfrN3Cu
2016	2016 March	1am-wgowdolOIxj5z9Fpj7QPmXDnukGvH
2016	2016 February	1orjRACHhuEvyImgE0sWEnr_emZx0tmf9
2016	2016 January	15wBxY22bUQB-rdG5HDgSZ0FOWmJyaJwV
2017	2017 December	1MW7LL4LMB2Ya1A1IW489-boL92Am-I3V
2017	2017 November	1skUzQdu_b345JDsh8gri3OF2XnSTvakM
2017	2017 October	1FgGRef5iXUPMeu-hJXnYPitoZufL58sU
2017	2017 September	14mePBAr15oPMlztLwpycwzyNSz1mRFfA
2017	2017 July-August	1p8hCXNOBXpJMtgnMaG_BMiDrwa4pZwbn
2017	2017 June	1deQpMmrHDCXEdG6A-duvG0PjalQgHqND
2017	2017 May	1r96_fdIIpJvcLyIgm7cPKWI1CbaKgfT8
2017	2017 April	10Dh4fimFtWf8pe7f7ybLckIuDEGXrPk7
2017	2017 March	1h7boW-b1qrj3IerkUHP_gXPn5nJD9tF6
2017	2017 February	1NLehOjVhOPg69SWCjXnkwEEldSXK0ojO
2017	2017 January	1Spc7tr6xBYYUeTGuutu1q_OdrEg2EWeX
2018	2018 December	1_eCY12LNzmfy3gmmC8y6lMEHDRv8XvYK
2018	2018 November	12yy44QfHlkOYIXbQu0tisQ96iBGvNsEQ
2018	2018 October	1geqx_DS9YGyeXoSmZYyJxQYnk5HdAHBI
2018	2018 September	1bEFy7bHrYpfJFLNrZBunmqUB47vp1CeV
2018	2018 August	1KdBQMEYQ-EvmACfgfuHyojGagd4GQ4jb
2018	2018 July	1_GG2q5ztFBX_Fo2pez9VaCyz5G02VqXg
2018	2018 June	1_gdCT0EIdPu9B-S7u6UIbAydALY9PR_V
2018	2018 May	1cIN1o16bZocuhjqL0dLpBl3Yc3VQgUlH
2018	2018 April	1Dx5-PsYXe5LX9HyFWMCNJ4V5XSU8k0cg
2018	2018 March	1joMRWhShXuEa_MbdGlK-iZJiTOCfEl7l
2018	2018 February	1O10CC3N3Yrer3oxO6lm7U6Aq6U8jhzWo
2018	2018 January	1gMhya7HhW8ULSrRO-3TZXwmrim9jhnXo
2019	2019 October to December	1XgUU5yRqmJO51WFoOt9RgOh4voZL-X-i
2019	2019 September	1IjioidzZo2nVlMlQay-3_7u40QBB4G-X
2019	2019 August	1m2pIGezJljFnZcokKQsnr0aro0on_0lj
2019	2019 July	1R5cw2VnFgE22fXbW5uQnoU6yL_VpdH2S
2019	2019 June	1NzPKsx4qfAnrTRAjbGZ9qdqCPzQzcUOC
2019	2019 May	1NtPEa_bgY9BMLyOao_T_jM6B_MtpvN2P
2019	2019 April	1nLwxyB9TxmpLBKvKfBPmR_7CtQ1sBBzL
2019	2019 March	1CrgEBZrDi_6fQ3bbN1oyH8PaJZFPsf2o
2019	2019 February	1dXFfpBDCBJ0TJzRE4usVgRLKQTubhmmJ
2019	2019 January	1YX6RD6e4ApapdY5L-1PQcFYia75VZESU
