year,time,metric_name,value,unit,measurement_class,series_kind,geo,region,province,evidence_confidence,source_url,source_note,source_quality_tier,extraction_method
2018,2018-12,estimated_plhiv,89500,count_people,model_estimate,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2018,2018-12,diagnosed_plhiv,58975,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2018,2018-12,alive_on_art,30190,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2018,2018-12,tested_for_viral_load,5914,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2018,2018-12,virally_suppressed,4468,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2019,2019-12,estimated_plhiv,104800,count_people,model_estimate,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2019,2019-12,diagnosed_plhiv,71078,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2019,2019-12,alive_on_art,39162,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2019,2019-12,tested_for_viral_load,11269,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2019,2019-12,virally_suppressed,9240,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2020,2020-12,estimated_plhiv,122100,count_people,model_estimate,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2020,2020-12,diagnosed_plhiv,78291,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2020,2020-12,alive_on_art,43367,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2020,2020-12,tested_for_viral_load,7675,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
2020,2020-12,virally_suppressed,6457,count_people,program_observed_harp,annual_snapshot,Philippines,national,Philippines,1.0,user_attached_doh_slide_2026_03_31,Transcribed from user-supplied DOH Philippines 95-95-95 slide image and treated as ground truth.,official_user_provided_slide,manual_transcribed_from_user_image
