year,metric_name,value,unit,measurement_class,series_kind,geo,region,province,evidence_confidence,source_url,source_note,source_quality_tier,extraction_method
2010,population_total,96337125,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2011,population_total,98248614,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2012,population_total,100175512,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2013,population_total,102076336,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2014,population_total,103767130,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2015,population_total,105312992,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2016,population_total,106735719,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2017,population_total,108119693,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2018,population_total,109465287,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2019,population_total,110804683,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2020,population_total,112081264,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2021,population_total,113100950,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2022,population_total,113964338,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2023,population_total,114891199,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
2024,population_total,115843670,count_people,external_reference_population,annual_series,Philippines,national,Philippines,0.98,https://api.worldbank.org/v2/country/PHL/indicator/SP.POP.TOTL?format=json&per_page=10000,World Bank WDI Population total,official_wdi_population,tabular_seed
